Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
45,UCS,N/A,No solution,56,0.20417356491088867
45,GBFS,h1,No solution,56,0.2111814022064209
45,GBFS,h2,No solution,56,0.2186880111694336
45,GBFS,h3,No solution,56,0.20067238807678223
45,GBFS,h4,No solution,56,0.20417499542236328
45,A/A*,h1,No solution,59,0.23470115661621094
45,A/A*,h2,No solution,56,0.2111814022064209
45,A/A*,h3,No solution,59,0.23269939422607422
45,A/A*,h4,No solution,59,0.2452104091644287
46,UCS,N/A,11,138,0.3337862491607666
46,GBFS,h1,11,113,0.2622249126434326
46,GBFS,h2,11,130,0.31076669692993164
46,GBFS,h3,12,98,0.24971413612365723
46,GBFS,h4,11,97,0.22519350051879883
46,A/A*,h1,13,167,0.47740960121154785
46,A/A*,h2,11,132,0.35930800437927246
46,A/A*,h3,11,107,0.29575371742248535
46,A/A*,h4,11,106,0.29825592041015625
47,UCS,N/A,2,19,0.08056950569152832
47,GBFS,h1,2,8,0.032527923583984375
47,GBFS,h2,2,9,0.03653120994567871
47,GBFS,h3,2,8,0.03252816200256348
47,GBFS,h4,2,9,0.04003453254699707
47,A/A*,h1,2,8,0.03753232955932617
47,A/A*,h2,2,9,0.046540021896362305
47,A/A*,h3,2,8,0.03603100776672363
47,A/A*,h4,2,9,0.041034698486328125
48,UCS,N/A,5,18,0.11359691619873047
48,GBFS,h1,5,15,0.09358072280883789
48,GBFS,h2,5,17,0.09958577156066895
48,GBFS,h3,5,14,0.08557343482971191
48,GBFS,h4,5,14,0.09057736396789551
48,A/A*,h1,5,16,0.10108685493469238
48,A/A*,h2,5,18,0.11910247802734375
48,A/A*,h3,5,14,0.08857607841491699
48,A/A*,h4,5,14,0.08907628059387207
49,UCS,N/A,5,68,0.21468472480773926
49,GBFS,h1,5,18,0.055547475814819336
49,GBFS,h2,5,22,0.08056926727294922
49,GBFS,h3,5,15,0.04854130744934082
49,GBFS,h4,5,19,0.06355428695678711
49,A/A*,h1,5,22,0.08957695960998535
49,A/A*,h2,6,42,0.18265676498413086
49,A/A*,h3,5,15,0.0590510368347168
49,A/A*,h4,5,18,0.07406306266784668
50,UCS,N/A,6,46,0.2867457866668701
50,GBFS,h1,6,16,0.09958553314208984
50,GBFS,h2,6,18,0.11860132217407227
50,GBFS,h3,6,14,0.09207916259765625
50,GBFS,h4,6,14,0.09107828140258789
50,A/A*,h1,6,16,0.13361477851867676
50,A/A*,h2,6,18,0.1251070499420166
50,A/A*,h3,6,14,0.0980832576751709
50,A/A*,h4,6,14,0.09508180618286133
