5 3 2	YOOTT.YIIIPFAA..PFMCCDD.M.UUUL.KKEEL Y99 A99 U99 
5 4 1	.OOTTFYIIIPFYAA.P.M.CCDDM.UUUL.KKEEL F99 C99 D99 U99 
5 3 2	YOOTT.YIIIP..AA.PFMCCDDFM.UUUL.KKEEL Y99 F99 U99 
5 3 2	.OO.TTYIIIPFYAA.PFMCC.DDMUUU.LKK.EEL T99 D99 K99 
5 3 2	.OOTT.YIIIPFY.AAPF.CC.DDMUUU.LMKKEEL A99 M99 D99 
5 3 2	YOOTT.YIIIPF.AA.PFMCC.DDMUUU.LKK.EEL Y99 D99 K99 
5 3 2	YOO.TTYIIIPF.AA.PFMCCDD.M.UUUL.KKEEL T99 Y99 U99 
5 4 1	OO.TTFYIIIPFYAA.P..CC.DDMUUU.LMKKEEL O99 F99 D99 M99 
5 3 2	YOOTT.YIIIPFMAA.PFMCCDD..UUU.LKK.EEL Y99 M99 K99 
5 4 1	OOTT.FYIIIPFYAA.P..CCDD.MUUU.LMKKEEL O99 T99 F99 M99 
5 4 1	.OOTTFYIIIPFYAA.P.MCC.DDM.UUULKK.EEL F99 D99 U99 K99 
5 3 2	YOOTT.YIIIPF..AAPFMCCDD.MUUU.LKK.EEL Y99 A99 K99 
5 4 1	.OOTTFYIIIPFYAA.P.M.CCDDMUUU.LKK.EEL F99 C99 D99 K99 
5 4 1	.OOTTFYIIIPFY.AAP.MCC.DDMUUU.LKK.EEL F99 A99 D99 K99 
5 3 2	YOOTT.YIIIPFAA..PFMCCDD.MUUU.LKK.EEL Y99 A99 K99 
5 4 1	YOOTTFYIIIPF.AA.P.MCC.DDMUUU.LKK.EEL Y99 F99 D99 K99 
5 3 2	YOOTT.YIIIPF.AA.PFCC.DD.MUUU.LMKKEEL Y99 M99 C99 
5 3 2	OO.TT.YIIIPFYAA.PFMCCDDLMUUU.L.KK.EE O99 L99 E99 
5 4 1	OO.TTFYIIIPFYAA.P.MCC.DDMUUU.LKK.EEL O99 F99 D99 K99 
5 3 2	YOOTT.YIIIP..AA.PFMCCDDFMUUU.LKK.EEL Y99 F99 K99 
5 3 2	YOOTT.YIIIPF.AA.PFMCCDDLM.UUUL.KKEE. Y99 U99 L99 
5 3 2	YOOTT.YIIIPFMAA.PFMCCDDL.UUU.L.KKEE. Y99 M99 L99 
5 3 2	YOO.TTYIIIPF.AA.PFMCCDD.MUUU.LKK.EEL T99 Y99 K99 
5 3 2	YOOTT.YIIIPFAA..PFMCCDDLMUUU.L.KKEE. Y99 A99 L99 
5 4 1	.OOTTFYIIIPFY.AAP.M.CCDDMUUU.L.KKEEL F99 A99 C99 D99 
5 3 2	YOO.TTYIIIPF.AA.PFMCCDDLMUUU.L.KKEE. T99 Y99 L99 
5 4 1	.OOTTF.IIIPFYAA.P.YCC.DDMUUU.LMKKEEL Y99 F99 M99 D99 
