0 0 0	...BYYGGGBS..AACS.F..C..F..CPPF.DDOO 
6 6 0	YY.B..GGGBS..AACS.F..C..F..CPPFDD.OO Y96 B98 C98 D99 
7 7 0	.YYB..GGGB..AA..S.F..CS.F..CPPFDDCOO Y97 B98 A99 S99 C99 D99 
7 7 0	YY.B..GGGB..AA..S.F..CS.F..CPPFDDCOO Y96 B98 A99 S99 C99 D99 
7 7 0	.YYB..GGGB..FAA.S.F..CS.F..CPP.DDCOO Y97 B98 F99 S99 C99 D99 
7 7 0	YY.B..GGGB..FAA.S.F..CS.F..CPP.DDCOO Y96 B98 F99 S99 C99 D99 
7 7 0	.YYB..GGGB..FAA.S.F..CS.F..CPPDD.COO Y97 B98 F99 S99 C99 D98 
7 7 0	YY.B..GGGB..FAA.S.F..CS.F..CPPDD.COO Y96 B98 F99 S99 C99 D98 
7 7 0	.YYB..GGGB....AAS.F..CS.F..CPPFDDCOO Y97 B98 A99 S99 C99 D99 
7 7 0	.YYB..GGGB...AACS.F..CS.F..CPPFDD.OO Y97 B98 S99 C98 D99 
7 7 0	YY.B..GGGB....AAS.F..CS.F..CPPFDDCOO Y96 B98 A99 S99 C99 D99 
7 7 0	YY.B..GGGB...AACS.F..CS.F..CPPFDD.OO Y96 B98 S99 C98 D99 
7 7 0	.YYBS.GGGBS.AA....F..C..F..CPPFDDCOO Y97 B98 S99 A99 C99 D99 
7 7 0	.YYB..GGGBS.AA.CS.F..C..F..CPPFDD.OO Y97 B98 A99 C98 D99 
7 7 0	YY.BS.GGGBS.AA....F..C..F..CPPFDDCOO Y96 B98 S99 A99 C99 D99 
7 7 0	YY.B..GGGBS.AA.CS.F..C..F..CPPFDD.OO Y96 B98 A99 C98 D99 
7 7 0	.YYBS.GGGBS.FAA...F..C..F..CPP.DDCOO Y97 B98 S99 F99 C99 D99 
7 7 0	.YYB..GGGBS.F.AAS.F..C..F..CPP.DDCOO Y97 B98 F99 A99 C99 D99 
7 7 0	.YYB..GGGBS.FAACS.F..C..F..CPP.DD.OO Y97 B98 F99 C98 D99 
7 7 0	YY.BS.GGGBS.FAA...F..C..F..CPP.DDCOO Y96 B98 S99 F99 C99 D99 
7 7 0	YY.B..GGGBS.F.AAS.F..C..F..CPP.DDCOO Y96 B98 F99 A99 C99 D99 
7 7 0	YY.B..GGGBS.FAACS.F..C..F..CPP.DD.OO Y96 B98 F99 C98 D99 
7 7 0	.YYBS.GGGBS.FAA...F..C..F..CPPDD.COO Y97 B98 S99 F99 C99 D98 
7 7 0	.YYB..GGGBS.F.AAS.F..C..F..CPPDD.COO Y97 B98 F99 A99 C99 D98 
7 7 0	.YYB..GGGBS.FAACS.F..C..F..CPPDD..OO Y97 B98 F99 C98 D98 
7 7 0	YY.BS.GGGBS.FAA...F..C..F..CPPDD.COO Y96 B98 S99 F99 C99 D98 
7 7 0	YY.B..GGGBS.F.AAS.F..C..F..CPPDD.COO Y96 B98 F99 A99 C99 D98 
7 7 0	YY.B..GGGBS.FAACS.F..C..F..CPPDD..OO Y96 B98 F99 C98 D98 
7 7 0	.YYBS.GGGBS...AA..F..C..F..CPPFDDCOO Y97 B98 S99 A99 C99 D99 
7 7 0	.YYBS.GGGBS....AA.F..C..F..CPPFDDCOO Y97 B98 S99 A98 C99 D99 
7 7 0	.YYBS.GGGBS.....AAF..C..F..CPPFDDCOO Y97 B98 S99 A97 C99 D99 
