4 4 0	HH...YC...DYCFAADECFR..E..RITTBB.IPP H99 C99 D99 R99 
4 4 0	HH...YC...DYCFAADECF.I.E..RITTBBR.PP H99 C99 D99 I99 
4 4 0	HH..DYC...DYCF.AAECF...E..RITTBBRIPP H99 C99 A99 D98 
4 4 0	HH..DYC...DYCFAA.ECFR..E..RITTBB.IPP H99 C99 D98 R99 
4 4 0	HH..DYC...DYCFAA.ECF.I.E..RITTBBR.PP H99 C99 D98 I99 
4 4 0	HH...YC....YCFAADECFRIDE..RITTBB..PP H99 C99 R99 I99 
4 4 0	HH...YC....YCFAADECFR.DE..RITT.BBIPP H99 C99 R99 B99 
4 4 0	HH...YC....YCFAADECF.IDE..RITTBBRPP. H99 C99 I99 P99 
4 4 0	..HH.YC....YCAA.DECF..DE.FRITTBBRIPP C99 H99 F99 A99 
4 4 0	..HH.YC...DYC.AADECF...E.FRITTBBRIPP C99 H99 F99 D99 
4 4 0	..HHDYC...DYC.AA.ECF...E.FRITTBBRIPP C99 H99 F99 D98 
4 4 0	..HH.YC....YC.AADECFR.DE.FRITTBB.IPP C99 H99 F99 R99 
4 4 0	..HH.YC....YC.AADECF.IDE.FRITTBBR.PP C99 H99 F99 I99 
4 4 0	..HH.YCF..DYCFAADEC....E..RITTBBRIPP C99 H99 F99 D99 
4 4 0	..HHDYCF..DYCFAA.EC....E..RITTBBRIPP C99 H99 F99 D98 
4 4 0	..HH.YCF...YCFAADEC.R.DE..RITTBB.IPP C99 H99 F99 R99 
4 4 0	..HH.YCF...YCFAADEC..IDE..RITTBBR.PP C99 H99 F99 I99 
4 4 0	.FHH.YCF...YCAA.DEC...DE..RITTBBRIPP C99 H99 F98 A99 
4 4 0	.FHH.YCF..DYC.AADEC....E..RITTBBRIPP C99 H99 F98 D99 
4 4 0	.FHHDYCF..DYC.AA.EC....E..RITTBBRIPP C99 H99 F98 D98 
4 4 0	.FHH.YCF...YC.AADEC.R.DE..RITTBB.IPP C99 H99 F98 R99 
4 4 0	.FHH.YCF...YC.AADEC..IDE..RITTBBR.PP C99 H99 F98 I99 
4 4 0	..HH.YC...DYCFAADECFR..E..RITTBB.IPP C99 H99 D99 R99 
4 4 0	..HH.YC...DYCFAADECF.I.E..RITTBBR.PP C99 H99 D99 I99 
4 4 0	..HHDYC...DYCF.AAECF...E..RITTBBRIPP C99 H99 A99 D98 
4 4 0	..HHDYC...DYCFAA.ECFR..E..RITTBB.IPP C99 H99 D98 R99 
4 4 0	..HHDYC...DYCFAA.ECF.I.E..RITTBBR.PP C99 H99 D98 I99 
4 4 0	..HH.YC....YCFAADECFRIDE..RITTBB..PP C99 H99 R99 I99 
4 4 0	..HH.YC....YCFAADECFR.DE..RITT.BBIPP C99 H99 R99 B99 
4 4 0	..HH.YC....YCFAADECF.IDE..RITTBBRPP. C99 H99 I99 P99 
4 4 0	...HHYC....YCAA.DECF..DE.FRITTBBRIPP C99 H98 F99 A99 
4 4 0	...HHYC...DYC.AADECF...E.FRITTBBRIPP C99 H98 F99 D99 
4 4 0	...HHYC....YC.AADECFR.DE.FRITTBB.IPP C99 H98 F99 R99 
4 4 0	...HHYC....YC.AADECF.IDE.FRITTBBR.PP C99 H98 F99 I99 
4 4 0	...HHYCF..DYCFAADEC....E..RITTBBRIPP C99 H98 F99 D99 
4 4 0	...HHYCF...YCFAADEC.R.DE..RITTBB.IPP C99 H98 F99 R99 
4 4 0	...HHYCF...YCFAADEC..IDE..RITTBBR.PP C99 H98 F99 I99 
4 4 0	.F.HHYCF...YCAA.DEC...DE..RITTBBRIPP C99 H98 F98 A99 
4 4 0	.F.HHYCF..DYC.AADEC....E..RITTBBRIPP C99 H98 F98 D99 
4 4 0	.F.HHYCF...YC.AADEC.R.DE..RITTBB.IPP C99 H98 F98 R99 
4 4 0	.F.HHYCF...YC.AADEC..IDE..RITTBBR.PP C99 H98 F98 I99 
4 4 0	...HHYC...DYCFAADECFR..E..RITTBB.IPP C99 H98 D99 R99 
4 4 0	...HHYC...DYCFAADECF.I.E..RITTBBR.PP C99 H98 D99 I99 
4 4 0	...HHYC....YCFAADECFRIDE..RITTBB..PP C99 H98 R99 I99 
4 4 0	...HHYC....YCFAADECFR.DE..RITT.BBIPP C99 H98 R99 B99 
4 4 0	...HHYC....YCFAADECF.IDE..RITTBBRPP. C99 H98 I99 P99 
4 4 0	.HH..YC...DYCAA.DECF...E.FRITTBBRIPP C99 F99 A99 D99 
4 4 0	.HH.DYC...DYCAA..ECF...E.FRITTBBRIPP C99 F99 A99 D98 
4 4 0	.HH..YC....YCAA.DECFR.DE.FRITTBB.IPP C99 F99 A99 R99 
4 4 0	.HH..YC....YCAA.DECF.IDE.FRITTBBR.PP C99 F99 A99 I99 
4 4 0	.HH..YC....YCAAIDECF.IDE.FR.TTBBR.PP C99 F99 A99 I98 
4 4 0	.HH..YC..I.YCAAIDECF..DE.FR.TTBBR.PP C99 F99 A99 I97 
4 4 0	.HHI.YC..I.YCAA.DECF..DE.FR.TTBBR.PP C99 F99 A99 I96 
4 4 0	.HH..YC...DYC.AADECFR..E.FRITTBB.IPP C99 F99 D99 R99 
4 4 0	.HH..YC...DYC.AADECF.I.E.FRITTBBR.PP C99 F99 D99 I99 
4 4 0	.HH.DYC...DYC..AAECF...E.FRITTBBRIPP C99 F99 A99 D98 
4 4 0	.HH.DYC...DYC.AA.ECFR..E.FRITTBB.IPP C99 F99 D98 R99 
4 4 0	.HH.DYC...DYC.AA.ECF.I.E.FRITTBBR.PP C99 F99 D98 I99 
4 4 0	.HH..YC....YC.AADECFRIDE.FRITTBB..PP C99 F99 R99 I99 
4 4 0	.HH..YC....YC.AADECFR.DE.FRITT.BBIPP C99 F99 R99 B99 
4 4 0	.HH..YC....YC.AADECF.IDE.FRITTBBRPP. C99 F99 I99 P99 
4 4 0	.HH..YCF..DYCFAADEC.R..E..RITTBB.IPP C99 F99 D99 R99 
4 4 0	.HH..YCF..DYCFAADEC..I.E..RITTBBR.PP C99 F99 D99 I99 
4 4 0	.HH.DYCF..DYCF.AAEC....E..RITTBBRIPP C99 F99 A99 D98 
4 4 0	.HH.DYCF..DYCFAA.EC.R..E..RITTBB.IPP C99 F99 D98 R99 
4 4 0	.HH.DYCF..DYCFAA.EC..I.E..RITTBBR.PP C99 F99 D98 I99 
4 4 0	.HH..YCF...YCFAADEC.RIDE..RITTBB..PP C99 F99 R99 I99 
4 4 0	.HH..YCF...YCFAADEC.R.DE..RITT.BBIPP C99 F99 R99 B99 
4 4 0	.HH..YCF...YCFAADEC..IDE..RITTBBRPP. C99 F99 I99 P99 
4 4 0	.HH..YC...DYCFAADECFRI.E..RITTBB..PP C99 D99 R99 I99 
4 4 0	.HH..YC...DYCFAADECFR..E..RITT.BBIPP C99 D99 R99 B99 
4 4 0	.HH..YC...DYCFAADECF.I.E..RITTBBRPP. C99 D99 I99 P99 
4 4 0	.HH.DYC...DYCF.AAECFR..E..RITTBB.IPP C99 A99 D98 R99 
4 4 0	.HH.DYC...DYCFRAAECFR..E...ITTBB.IPP C99 A99 D98 R98 
4 4 0	.HH.DYC.R.DYCFRAAECF...E...ITTBB.IPP C99 A99 D98 R97 
4 4 0	.HH.DYC...DYCF.AAECF.I.E..RITTBBR.PP C99 A99 D98 I99 
4 4 0	.HH.DYC...DYCFAA.ECFRI.E..RITTBB..PP C99 D98 R99 I99 
4 4 0	.HH.DYC...DYCFAA.ECFR..E..RITT.BBIPP C99 D98 R99 B99 
4 4 0	.HH.DYC...DYCFAA.ECF.I.E..RITTBBRPP. C99 D98 I99 P99 
4 4 0	.HH..YC....YCFAADECFRIDE..RITT.BB.PP C99 R99 I99 B99 
4 4 0	.HH..YC....YCFAADECFRIDE..RITT..BBPP C99 R99 I99 B98 
4 4 0	.HH..YC....YCFAADECFRIDE..RITTBB.PP. C99 R99 I99 P99 
4 4 0	.HH..YC....YCFAADECFRIDE..RITTBBPP.. C99 R99 I99 P98 
4 4 0	HH...Y.....YCAA.DECF..DECFRITTBBRIPP H99 C98 F99 A99 
4 4 0	HH...Y....DYC.AADECF...ECFRITTBBRIPP H99 C98 F99 D99 
4 4 0	HH..DY....DYC.AA.ECF...ECFRITTBBRIPP H99 C98 F99 D98 
4 4 0	HH...Y.....YC.AADECFR.DECFRITTBB.IPP H99 C98 F99 R99 
4 4 0	HH...Y.....YC.AADECF.IDECFRITTBBR.PP H99 C98 F99 I99 
4 4 0	HH...Y.F..DYCFAADEC....EC.RITTBBRIPP H99 C98 F99 D99 
4 4 0	HH..DY.F..DYCFAA.EC....EC.RITTBBRIPP H99 C98 F99 D98 
4 4 0	HH...Y.F...YCFAADEC.R.DEC.RITTBB.IPP H99 C98 F99 R99 
