3 3 0	FFFEEDU..R.DUAAR.J.BBBOJIII.O.TT.... O98 B99 T96 
3 3 0	FFFEED...ROD.AAROJUBBB.JUIII......TT U98 B99 I99 
3 3 0	FFFEED...ROD.AAROJ.BBB.JUIII..U...TT U97 B99 I99 
3 3 0	FFFEEDU..RODUAAROJ.BBB.J.III.....TT. B99 I99 T99 
3 3 0	FFFEEDU..RODUAAROJ.BBB.J.III....TT.. B99 I99 T98 
3 3 0	FFFEEDU..RODUAAROJ.BBB.J.III...TT... B99 I99 T97 
3 3 0	FFFEEDU..RODUAAROJ.BBB.J.III..TT.... B99 I99 T96 
3 3 0	FFFEED...ROD.AAROJUBBB.JU.III.....TT U98 B99 I98 
3 3 0	FFFEED...ROD.AAROJ.BBB.JU.III.U...TT U97 B99 I98 
3 3 0	FFFEEDU..RODUAAROJ.BBB.J..III....TT. B99 I98 T99 
3 3 0	FFFEEDU..RODUAAROJ.BBB.J..III...TT.. B99 I98 T98 
3 3 0	FFFEEDU..RODUAAROJ.BBB.J..III..TT... B99 I98 T97 
3 3 0	FFFEEDU..RODUAAROJ.BBB.J..III.TT.... B99 I98 T96 
3 3 0	FFFEED...ROD.AAROJUBBB.JU..III....TT U98 B99 I97 
3 3 0	FFFEED...ROD.AAROJ.BBB.JU..IIIU...TT U97 B99 I97 
3 3 0	FFFEEDU..RODUAAROJ.BBB.J...III...TT. B99 I97 T99 
3 3 0	FFFEEDU..RODUAAROJ.BBB.J...III..TT.. B99 I97 T98 
3 3 0	FFFEEDU..RODUAAROJ.BBB.J...III.TT... B99 I97 T97 
3 3 0	FFFEEDU..RODUAAROJ.BBB.J...IIITT.... B99 I97 T96 
3 3 0	FFFEEDU..RODUAARO..BBB..III..J...TTJ J98 B99 T99 
3 3 0	FFFEEDU..R.DUAAR.J.BBB.JIII.O...TTO. O97 B99 T98 
3 3 0	FFFEEDU..RODUAARO..BBB..III..J..TT.J J98 B99 T98 
3 3 0	FFFEEDU..R.DUAAR.J.BBB.JIII.O..TT.O. O97 B99 T97 
3 3 0	FFFEEDU..RODUAARO..BBB..III..J.TT..J J98 B99 T97 
3 3 0	FFFEEDU..R.DUAAR.J.BBB.JIII.O.TT..O. O97 B99 T96 
3 3 0	FFFEEDU..RODUAARO..BBB..III..JTT...J J98 B99 T96 
3 3 0	FFFEEDU....DUAAROJBBBROJIII.......TT R99 O99 B98 
3 3 0	FFFEEDU....DUAAR.JBBBROJIII.O.....TT R99 O98 B98 
3 3 0	FFFEEDU...ODUAAROJBBBR.J.III......TT R99 B98 I99 
3 3 0	FFFEEDU...ODUAAROJBBBR.J..III.....TT R99 B98 I98 
3 3 0	FFFEEDU...ODUAAROJBBBR.J...III....TT R99 B98 I97 
3 3 0	FFFEEDU...ODUAAROJBBBR.JIII......TT. R99 B98 T99 
3 3 0	FFFEEDU...ODUAAROJBBBR.JIII.....TT.. R99 B98 T98 
3 3 0	FFFEEDU...ODUAAROJBBBR.JIII....TT... R99 B98 T97 
3 3 0	FFFEEDU...ODUAAROJBBBR.JIII...TT.... R99 B98 T96 
3 3 0	FFFEEDU....DUAA.OJBBBROJIIIR......TT R98 O99 B98 
3 3 0	FFFEEDU....DUAA..JBBBROJIIIRO.....TT R98 O98 B98 
3 3 0	FFFEEDU...ODU.AAOJBBBR.JIIIR......TT R98 A99 B98 
3 3 0	FFFEEDU...ODUAA.OJBBBR.JIIIR.....TT. R98 B98 T99 
3 3 0	FFFEEDU...ODUAA.OJBBBR.JIIIR....TT.. R98 B98 T98 
3 3 0	FFFEEDU...ODUAA.OJBBBR.JIIIR...TT... R98 B98 T97 
3 3 0	FFFEEDU...ODUAA.OJBBBR.JIIIR..TT.... R98 B98 T96 
3 3 0	FFFEEDU....DUAA.OJBBB.OJIIIR.....RTT R97 O99 B98 
3 3 0	FFFEEDU....DUAA..JBBB.OJIIIRO....RTT R97 O98 B98 
3 3 0	FFFEEDU...ODU.AAOJBBB..JIIIR.....RTT R97 A99 B98 
3 3 0	FFFEEDU...ODUAA.OJ.BBB.JIIIR.....RTT R97 B97 
3 3 0	FFFEEDU...ODUAA.OJ..BBBJIIIR.....RTT R97 B96 
3 3 0	FFFEEDU..R.DUAAROJBBB.OJ.III......TT O99 B98 I99 
3 3 0	FFFEEDU..R.DUAAROJBBB.OJ..III.....TT O99 B98 I98 
3 3 0	FFFEEDU..R.DUAAROJBBB.OJ...III....TT O99 B98 I97 
3 3 0	FFFEEDU..R.DUAAROJBBB.OJIII......TT. O99 B98 T99 
3 3 0	FFFEEDU..R.DUAAROJBBB.OJIII.....TT.. O99 B98 T98 
3 3 0	FFFEEDU..R.DUAAROJBBB.OJIII....TT... O99 B98 T97 
3 3 0	FFFEEDU..R.DUAAROJBBB.OJIII...TT.... O99 B98 T96 
3 3 0	FFFEEDU..R.DUAAR.JBBB.OJ.IIIO.....TT O98 B98 I99 
3 3 0	FFFEEDU..R.DUAAR.JBBB.OJIII.O....TT. O98 B98 T99 
3 3 0	FFFEEDU..R.DUAAR.JBBB.OJIII.O...TT.. O98 B98 T98 
3 3 0	FFFEEDU..R.DUAAR.JBBB.OJIII.O..TT... O98 B98 T97 
3 3 0	FFFEEDU..R.DUAAR.JBBB.OJIII.O.TT.... O98 B98 T96 
3 3 0	FFFEEDU..RODUAAROJBBB..J.III.....TT. B98 I99 T99 
3 3 0	FFFEEDU..RODUAAROJBBB..J.III....TT.. B98 I99 T98 
3 3 0	FFFEEDU..RODUAAROJBBB..J.III...TT... B98 I99 T97 
3 3 0	FFFEEDU..RODUAAROJBBB..J.III..TT.... B98 I99 T96 
3 3 0	FFFEEDU..RODUAAROJBBB..J..III....TT. B98 I98 T99 
3 3 0	FFFEEDU..RODUAAROJBBB..J..III...TT.. B98 I98 T98 
3 3 0	FFFEEDU..RODUAAROJBBB..J..III..TT... B98 I98 T97 
3 3 0	FFFEEDU..RODUAAROJBBB..J..III.TT.... B98 I98 T96 
3 3 0	FFFEEDU..RODUAAROJBBB..J...III...TT. B98 I97 T99 
3 3 0	FFFEEDU..RODUAAROJBBB..J...III..TT.. B98 I97 T98 
3 3 0	FFFEEDU..RODUAAROJBBB..J...III.TT... B98 I97 T97 
3 3 0	FFFEEDU..RODUAAROJBBB..J...IIITT.... B98 I97 T96 
3 3 0	FFFEEDU..RODUAARO.BBB...III..J...TTJ J98 B98 T99 
3 3 0	FFFEEDU..R.DUAAR.JBBB..JIII.O...TTO. O97 B98 T98 
3 3 0	FFFEEDU..RODUAARO.BBB...III..J..TT.J J98 B98 T98 
3 3 0	FFFEEDU...ODUAA.OJBBB..JIIIR...TTR.. R97 B98 T97 
3 3 0	FFFEEDU..R.DUAAR.JBBB..JIII.O..TT.O. O97 B98 T97 
3 3 0	FFFEEDU..RODUAARO.BBB...III..J.TT..J J98 B98 T97 
3 3 0	FFFEEDU...ODUAA.OJBBB..JIIIR..TT.R.. R97 B98 T96 
3 3 0	FFFEEDU..R.DUAAR.JBBB..JIII.O.TT..O. O97 B98 T96 
3 3 0	FFFEEDU..RODUAARO.BBB...III..JTT...J J98 B98 T96 
3 3 0	FFFEED...RODAA.ROJU.BBBJUIII......TT U98 A99 I99 
3 3 0	FFFEED...ROD.AAROJU.BBBJUIII.....TT. U98 I99 T99 
3 3 0	FFFEED...ROD.AAROJU.BBBJUIII....TT.. U98 I99 T98 
3 3 0	FFFEED...ROD.AAROJU.BBBJUIII...TT... U98 I99 T97 
3 3 0	FFFEED...ROD.AAROJU.BBBJUIII..TT.... U98 I99 T96 
3 3 0	FFFEED...RODAA.ROJ..BBBJUIII..U...TT U97 A99 I99 
3 3 0	FFFEED...ROD.AAROJBBB..JUIII..U...TT U97 B98 I99 
3 3 0	FFFEED...ROD.AAROJ..BBBJUIII..U..TT. U97 I99 T99 
3 3 0	FFFEED...ROD.AAROJ..BBBJUIII..U.TT.. U97 I99 T98 
3 3 0	FFFEED...ROD.AAROJ..BBBJUIII..UTT... U97 I99 T97 
3 3 0	FFFEEDU..RODUAARO...BBB..III.J...TTJ J98 I99 T99 
3 3 0	FFFEEDU..RODUAARO...BBB..III.J..TT.J J98 I99 T98 
3 3 0	FFFEEDU..RODUAARO...BBB..III.J.TT..J J98 I99 T97 
3 3 0	FFFEEDU..RODUAARO...BBB..III.JTT...J J98 I99 T96 
3 3 0	FFFEED...RODAA.ROJU.BBBJU.III.....TT U98 A99 I98 
3 3 0	FFFEED...ROD.AAROJU.BBBJU.III....TT. U98 I98 T99 
3 3 0	FFFEED...ROD.AAROJU.BBBJU.III...TT.. U98 I98 T98 
3 3 0	FFFEED...ROD.AAROJU.BBBJU.III..TT... U98 I98 T97 
3 3 0	FFFEED...ROD.AAROJU.BBBJU.III.TT.... U98 I98 T96 
3 3 0	FFFEED...RODAA.ROJ..BBBJU.III.U...TT U97 A99 I98 
3 3 0	FFFEED...ROD.AAROJBBB..JU.III.U...TT U97 B98 I98 
3 3 0	FFFEED...ROD.AAROJ..BBBJU.III.U..TT. U97 I98 T99 
3 3 0	FFFEED...ROD.AAROJ..BBBJU.III.U.TT.. U97 I98 T98 
3 3 0	FFFEED...ROD.AAROJ..BBBJU.III.UTT... U97 I98 T97 
3 3 0	FFFEEDU..RODUAARO...BBB...IIIJ...TTJ J98 I98 T99 
3 3 0	FFFEEDU..RODUAARO...BBB...IIIJ..TT.J J98 I98 T98 
3 3 0	FFFEEDU..RODUAARO...BBB...IIIJ.TT..J J98 I98 T97 
3 3 0	FFFEEDU..RODUAARO...BBB...IIIJTT...J J98 I98 T96 
3 3 0	FFFEED...RODAA.ROJU.BBBJU..III....TT U98 A99 I97 
3 3 0	FFFEED...ROD.AAROJU.BBBJU..III...TT. U98 I97 T99 
3 3 0	FFFEED...ROD.AAROJU.BBBJU..III..TT.. U98 I97 T98 
3 3 0	FFFEED...ROD.AAROJU.BBBJU..III.TT... U98 I97 T97 
3 3 0	FFFEED...ROD.AAROJU.BBBJU..IIITT.... U98 I97 T96 
3 3 0	FFFEED...RODAA.ROJ..BBBJU..IIIU...TT U97 A99 I97 
3 3 0	FFFEED...ROD.AAROJBBB..JU..IIIU...TT U97 B98 I97 
3 3 0	FFFEED...ROD.AAROJ..BBBJU..IIIU..TT. U97 I97 T99 
3 3 0	FFFEED...ROD.AAROJ..BBBJU..IIIU.TT.. U97 I97 T98 
3 3 0	FFFEED...ROD.AAROJ..BBBJU..IIIUTT... U97 I97 T97 
3 3 0	FFFEE.U..RODUAAROD..BBB.III..J...TTJ D99 J98 T99 
3 3 0	FFFEE.U..RO.UAAROD..BBBDIII..J...TTJ D98 J98 T99 
3 3 0	FFFEEDU..RODUAARO....BBBIII..J...TTJ J98 B99 T99 
3 3 0	FFFEE.U..RODUAAROD..BBB.III..J..TT.J D99 J98 T98 
3 3 0	FFFEE.U..RO.UAAROD..BBBDIII..J..TT.J D98 J98 T98 
3 3 0	FFFEEDU..RODUAARO....BBBIII..J..TT.J J98 B99 T98 
3 3 0	FFFEE.U..RODUAAROD..BBB.III..J.TT..J D99 J98 T97 
3 3 0	FFFEE.U..RO.UAAROD..BBBDIII..J.TT..J D98 J98 T97 
3 3 0	FFFEEDU..RODUAARO....BBBIII..J.TT..J J98 B99 T97 
3 3 0	FFFEE.U..RODUAAROD..BBB.III..JTT...J D99 J98 T96 
3 3 0	FFFEE.U..RO.UAAROD..BBBDIII..JTT...J D98 J98 T96 
3 3 0	FFFEEDU..RODUAARO....BBBIII..JTT...J J98 B99 T96 
4 4 0	FFF.EE...RODUAARODU.BBBJIII..J....TT E99 D99 U99 J99 
4 4 0	FFFEE....RODUAARODUBBB.JIII..J....TT D99 U99 J99 B99 
4 4 0	FFFEE....RODUAARODU.BBBJ.III.J....TT D99 U99 J99 I99 
4 4 0	FFFEE....RODUAARODU.BBBJ..IIIJ....TT D99 U99 J99 I98 
4 4 0	FFFEE....RODUAARODU.BBBJIII..J...TT. D99 U99 J99 T99 
4 4 0	FFFEE....RODUAARODU.BBBJIII..J..TT.. D99 U99 J99 T98 
4 4 0	FFFEE....RODUAARODU.BBBJIII..J.TT... D99 U99 J99 T97 
4 4 0	FFFEE....RODUAARODU.BBBJIII..JTT.... D99 U99 J99 T96 
4 4 0	FFFEED...R.DUAARO.UBBBOJIII..J....TT U99 O99 J99 B99 
4 4 0	FFFEED...R.DUAAR..UBBBOJIII.OJ....TT U99 O98 J99 B99 
4 4 0	FFFEED...RODUAARO.UBBB.J.III.J....TT U99 J99 B99 I99 
4 4 0	FFFEED...RODUAARO.UBBB.J..IIIJ....TT U99 J99 B99 I98 
