6 3 3	..D.....D...AADGB.E..GB.ECCGB..FF... B99 E99 F99 
6 3 3	..D.....DGB.AADGB....GB.ECC...E..FF. G99 B98 F99 
6 3 3	..D.....DGB.AADGB....GB.E...CCE.FF.. G99 B98 C97 
6 3 3	..D.....DGB.AADGB....GB.E..CC.E.FF.. G99 B98 C98 
6 3 3	..D.....D...AADGB.E..GB.ECCGB.FF.... B99 E99 F98 
6 3 3	..DGB...DGB.AADGB.......ECC...E..FF. G98 B97 F99 
6 4 2	..D.....D...AAD.B.E..GB.ECCGB.FF.G.. G99 B99 E99 F98 
7 4 3	..DGB...DGB.AADGB.......E..CC.E...FF G98 B97 C98 F98 
7 4 3	........DGB.AADGB.E.DGB.ECC.....FF.. D99 G99 B98 E99 
7 4 3	..DGB...DGB.AADGB.......E..CC.E..FF. G98 B97 C98 F99 
7 4 3	........DGB.AADGB...DGB.E.CC..E.FF.. D99 G99 B98 C99 
7 4 3	..D.....DG..AADGB....GB.E.CCB.E...FF G99 B99 C99 F98 
7 5 2	........D.B.AAD.B.E.DGB.ECCG.....GFF D99 G99 B98 E99 F98 
7 4 3	........DGB.AADGB...DGB.E...CCE.FF.. D99 G99 B98 C97 
7 4 3	..D.....DGB.AADGB....GB.E..CC.E..FF. G99 B98 C98 F99 
7 4 3	........DG..AADGB.E.DGB.ECC.B...FF.. D99 G99 B99 E99 
7 4 3	...G....DGB.AADGB...D.B.E.CC..E.FF.. D99 G98 B98 C99 
7 4 3	........D.B.AADGB.E.DGB.ECCG...FF... D99 B98 E99 F99 
7 4 3	..D.B...DGB.AADGB....G..E.CC..E...FF G99 B97 C99 F98 
7 4 3	....B...D.B.AADGB.E.DG..ECCG.....FF. D99 B97 E99 F99 
7 4 3	..DG....DG..AADGB.E...B.ECC.B.....FF G98 B99 E99 F98 
7 4 3	..D.B...DGB.AADGB.E..G..ECC.......FF G99 B97 E99 F98 
7 4 3	..D.....DGB.AADGB....GB.E...CCE...FF G99 B98 C97 F98 
7 4 3	..DG....DGB.AADGB.....B.E...CCE...FF G98 B98 C97 F98 
7 5 2	..D.....D.B.AAD.B.E..GB.ECCG.....GFF G99 B96 E99 F98 
7 4 3	...GB...DGB.AADGB.E.D...ECC.....FF.. D99 G98 B97 E99 
7 4 3	..D.B...DGB.AADGB....G..E...CCE...FF G99 B97 C97 F98 
7 4 3	..D.B...DGB.AADGB....G..E..CC.E..FF. G99 B97 C98 F99 
7 4 3	..DGB...DGB.AADGB.......E...CCE...FF G98 B97 C97 F98 
7 4 3	...G....DGB.AADGB.E.D.B.ECC.....FF.. D99 G98 B98 E99 
7 5 2	....B....GB.AA.GB...DG..E.DCC.E.DFF. D97 B97 G99 C98 F99 
7 5 2	...GB....GB.AA.GB...D...E.D.CCE.D.FF D97 G98 B97 C97 F98 
7 4 3	..D.B...DGB.AADGB....G..E..CC.E...FF G99 B97 C98 F98 
7 5 2	..D.B...D.B.AAD.B....G..E..GCCE..GFF G97 B97 C97 F98 
7 6 1	....B.....B.AA..B...DG..E.DGCCE.DGFF G95 B97 D97 C97 F98 
7 5 2	...G.....GB.AA.GB...D.B.E.D.CCE.D.FF D97 G98 B98 C97 F98 
7 4 3	..D.....DGB.AADGB....GB.E.CC..E..FF. G99 B98 C99 F99 
7 4 3	....B...DGB.AADGB...DG..ECC...E...FF D99 B97 G99 F98 
7 4 3	....B...D.B.AADGB.E.DG..ECCG...FF... D99 B97 E99 F99 
7 5 2	..D.....D.B.AAD.B....GB.E..GCCE..GFF G97 B98 C97 F98 
7 5 2	.........GB.AA.GB...DGB.E.D.CCE.D.FF D97 G99 B98 C97 F98 
7 5 2	....B...D.B.AAD.B.E.DG..ECCG.....GFF D99 B97 G99 E99 F98 
7 4 3	....B...D.B.AADGB.E.DG..ECCG..FF.... D99 B97 E99 F98 
7 4 3	........D.B.AADGB.E.DGB.ECCG.....FF. D99 B98 E99 F99 
7 4 3	..D.B...D.B.AADGB.E..G..ECCG..FF.... B97 E99 F96 
7 4 3	..D.B...DGB.AADGB....G..E.CC..EFF... G99 B97 C99 F99 
7 4 3	..D.....DGB.AADGB....GB.E.CC..EFF... G99 B98 C99 F99 
7 4 3	........D.B.AADGB.E.DGB.ECCG......FF D99 B98 E99 F98 
7 5 2	.........GB.AA.GB...DGB.E.DCC.E.DFF. D97 G99 B98 C98 F99 
7 4 3	..D.....DG..AADGB....GB.E.CCB.EFF... G99 B99 C99 F99 
7 4 3	..DGB...DGB.AADGB.......E.CC..E...FF G98 B97 C99 F98 
7 4 3	...GB...DGB.AADGB...D...ECC...E...FF D99 B97 G98 F98 
7 4 3	..DG....DGB.AADGB.....B.E..CC.EFF... G98 B98 C98 F99 
7 5 2	...G....DG..AADG..E.D.B.E.CCB..FF.B. D99 G98 E99 C99 F99 
7 5 2	....B...D.B.AAD.B.E.DG..ECCG...FFG.. D99 G99 B97 E99 F99 
7 4 3	........D...AADGB.E.DGB.ECCGB..FF... D99 B99 E99 F99 
