4 4 0	SB....SB.C...AACD.HHH.DE..VGDE..VG.E S99 D99 E98 G99 
4 4 0	SB...ESB.C.EAA.CDEHHHGD...VGD...V... S99 D99 E99 A99 
4 4 0	SB...ESB.C.E.AACDEHHH.D...VGD...VG.. S99 D99 E99 G99 
4 4 0	SB....SB.C.EAA.CDEHHH.DE..VGD...VG.. S99 D99 A99 G99 
4 4 0	SB....SB...E.AACDEHHHCDE..VGD...VG.. S99 C99 D99 G99 
4 4 0	SB....SB.C.E.AACDE.HHHDE..VGD...VG.. S99 D99 H99 G99 
4 4 0	SB....SB.C..AA.C.EHHHGDE..VGDE..V.D. S99 D98 E99 A99 
4 4 0	SB....SB.C...AAC.EHHH.DE..VGDE..VGD. S99 D98 E99 G99 
4 4 0	SB....SB.C..AA.C..HHHGDE..VGDE..V.DE S99 D98 E98 A99 
4 4 0	SB....SB.C...AAC..HHH.DE..VGDE..VGDE S99 D98 E98 G99 
4 4 0	SB...ESB.C.EAA.C.EHHHGD...VGD...V.D. S99 D98 E99 A99 
4 4 0	SB...ESB.C.E.AAC.EHHH.D...VGD...VGD. S99 D98 E99 G99 
4 4 0	SB....SB.C.EAA.C.EHHH.DE..VGD...VGD. S99 D98 A99 G99 
4 4 0	SB....SB...E.AAC.EHHHCDE..VGD...VGD. S99 C99 D98 G99 
4 4 0	SB....SB.C.E.AAC.E.HHHDE..VGD...VGD. S99 D98 H99 G99 
4 4 0	SB..D.SB.CD.AA.CDEHHHG.E..VG.E..V... S99 D99 E99 A99 
4 4 0	SB..D.SB.CD..AACDEHHH..E..VG.E..VG.. S99 D99 E99 G99 
4 4 0	SB..D.SB.CD.AA.CD.HHHG.E..VG.E..V..E S99 D99 E98 A99 
4 4 0	SB..D.SB.CD..AACD.HHH..E..VG.E..VG.E S99 D99 E98 G99 
4 4 0	SB..DESB.CDEAA.CDEHHHG....VG....V... S99 D99 E99 A99 
4 4 0	SB..DESB.CDE.AACDEHHH.....VG....VG.. S99 D99 E99 G99 
4 4 0	SB..D.SB.CDEAA.CDEHHH..E..VG....VG.. S99 D99 A99 G99 
4 4 0	SB..D.SB..DE.AACDEHHHC.E..VG....VG.. S99 C99 D99 G99 
4 4 0	SB..D.SB.CDE.AACDE.HHH.E..VG....VG.. S99 D99 H99 G99 
4 4 0	SB..D.SB.CDE.AACDE..HHHE..VG....VG.. S99 D99 H98 G99 
4 4 0	SB....SB.CD.AA.CDEHHH.DE..VG.E..VG.. S99 E99 A99 G99 
4 4 0	SB....SB..D..AACDEHHHCDE..VG.E..VG.. S99 C99 E99 G99 
4 4 0	SB....SB.CD..AACDE.HHHDE..VG.E..VG.. S99 E99 H99 G99 
4 4 0	SB....SB.CD.AA.CD.HHH.DE..VG.E..VG.E S99 E98 A99 G99 
4 4 0	SB....SB..D..AACD.HHHCDE..VG.E..VG.E S99 C99 E98 G99 
4 4 0	SB....SB.CD..AACD..HHHDE..VG.E..VG.E S99 E98 H99 G99 
4 4 0	SB...ESB.CDEAA.CDEHHH.D...VG....VG.. S99 E99 A99 G99 
4 4 0	SB...ESB..DE.AACDEHHHCD...VG....VG.. S99 C99 E99 G99 
4 4 0	SB...ESB.CDE.AACDE.HHHD...VG....VG.. S99 E99 H99 G99 
4 4 0	SB....SB..DEAA.CDEHHHCDE..VG....VG.. S99 C99 A99 G99 
4 4 0	SB....SB.CDEAA.CDE.HHHDE..VG....VG.. S99 A99 H99 G99 
4 4 0	.B.C..SB.C..S.AADEHHHGDE..VGDE..V... C99 D99 E99 A99 
4 4 0	.B.C..SB.C..SAA.DEHHH.DE..VGDE..VG.. C99 D99 E99 G99 
4 4 0	.B.C..SB.C..SAAGDEHHHGDE..V.DE..V... C99 D99 E99 G99 
4 4 0	.B.C..SB.C..S.AAD.HHHGDE..VGDE..V..E C99 D99 E98 A99 
4 4 0	.B.C..SB.C..SAA.D.HHH.DE..VGDE..VG.E C99 D99 E98 G99 
4 4 0	.B.C..SB.C..SAAGD.HHHGDE..V.DE..V..E C99 D99 E98 G99 
4 4 0	.B.C.ESB.C.ES.AADEHHHGD...VGD...V... C99 D99 E99 A99 
4 4 0	.B.C.ESB.C.ESAA.DEHHH.D...VGD...VG.. C99 D99 E99 G99 
4 4 0	.B.C.ESB.C.ESAAGDEHHHGD...V.D...V... C99 D99 E99 G99 
4 4 0	...C..SB.C.ESBAADEHHHGDE..VGD...V... B99 C99 A99 D99 
4 4 0	.B.C..SB.C.ES.AADEHHH.DE..VGD...VG.. C99 D99 A99 G99 
4 4 0	.B.C..SB.C.ESAA.DE.HHHDE..VGD...VG.. C99 D99 H99 G99 
4 4 0	.B.C..SB.C..S.AA.EHHHGDE..VGDE..V.D. C99 D98 E99 A99 
4 4 0	.B.C..SB.C..S..AAEHHHGDE..VGDE..V.D. C99 D98 E99 A98 
4 4 0	.B.C..SB.C..SAA..EHHH.DE..VGDE..VGD. C99 D98 E99 G99 
4 4 0	.B.C..SB.C..SAAG.EHHHGDE..V.DE..V.D. C99 D98 E99 G99 
4 4 0	.B.C..SB.C..S.AA..HHHGDE..VGDE..V.DE C99 D98 E98 A99 
4 4 0	.B.C..SB.C..S..AA.HHHGDE..VGDE..V.DE C99 D98 E98 A98 
4 4 0	.B.C..SB.C..S...AAHHHGDE..VGDE..V.DE C99 D98 E98 A97 
