7 5 2	CHH.DYC...DYC.AA.E.FRI.E.FRITT....BB F99 D98 R99 I99 B96 
7 4 3	.HH..Y....DYCFAADECFR..EC.RITTBB.I.. C98 D97 R99 
7 5 2	C.HHDYC...DYCFAA.E.FRI.E..RITT....BB H99 D98 R99 I99 B96 
7 5 2	CHH.DYC.R.DYCFRAAE.F.I.E...ITT.BB... A99 D98 R97 I99 B99 
7 3 4	C..HHYC....YC.AADE.F.IDE.FRITTBBR... H98 F99 I99 
7 5 2	.HH.DY....DY.FAA.ECFRI.EC.RITTC...BB C97 D98 R99 I99 B96 
7 5 2	.HH.DY....DYCFAA.ECFRI.EC.RITT....BB C98 D98 R99 I99 B96 
7 5 2	.HH.DY.F..DYCFAA.EC.R..EC.RITT.BBI.. C98 D98 F99 R99 B99 
7 5 2	.HH.DYC...DYCFAA.ECFRI.E..RITT....BB C99 D98 R99 I99 B96 
7 5 2	CHH.DYCF..DYCFAA.E..RI.E..RITT...BB. F99 D98 R99 I99 B97 
7 4 3	C.HH.YC...DYC.AADE.F...E.FRITTBBRI.. H99 F99 D97 
7 4 3	CHH..YC...DYCFAADE.FRI.E..RITT....BB D99 R99 I99 B96 
7 4 3	CHH..YC...DYCAA.DE.F.I.E.FRITTBBR... F99 A99 D99 I99 
7 5 2	CHH.DYCF..DYCFAA.E..RI.E..RITT..BB.. F99 D98 R99 I99 B98 
7 5 2	..HHDYC...DYCFAA.ECFRI.E..RITTBB.... C99 H99 D98 I99 R99 
7 5 2	CHH.DYCF..DYCFAA.E..RI.E..RITT.BB... F99 D98 R99 I99 B99 
7 5 2	.HH.DY....DYC.AA.ECFR..ECFRITT.BBI.. C98 D98 F99 R99 B99 
7 5 2	CHH.DYCF..DYCF.AAE..RI.E..RITTBB.... F99 A99 D98 R99 I99 
7 5 2	HH..DY....DYCFAA.ECFR..EC.RITT.BBI.. H99 D98 C98 R99 B99 
7 3 4	C..HHYCF...YCFAADE...IDE..RITTBBR... H98 F99 I99 
7 5 2	C.HHDYCF..DYCFAA.E..RI.E..RITTBB.... H99 F99 D98 R99 I99 
7 3 4	C..HHYC...DYCFAADE.F.I.E..RITTBBR... H98 D99 I99 
7 4 3	C.HH.YC...DYC.AADE.F.I.E.FRITTBBR... H99 F99 D99 I99 
7 4 3	.HH..Y....DYC.AADECF.I.ECFRITTBBR... C98 D99 F99 I99 
7 4 3	.HH..YC...DYC.AADECF.I.E.FRITTBBR... C99 D99 F99 I99 
7 5 2	CHH.DYCF..DYCFAA.E..RI.E..RITT....BB F99 D98 R99 I99 B96 
7 3 4	C..HHYCF...YCFAADE..R.DE..RITTBB.I.. H98 F99 R99 
7 5 2	CHH.DYC...DYCF.AAE.FRI.E..RITT.BB... A99 D98 R99 I99 B99 
7 3 4	...HHY.F...YCFAADEC...DEC.RITTBBRI.. C98 H98 F99 
7 5 2	CHH.DYC...DYCFAA.E.FR..E..RITT...IBB D98 R99 I98 B96 
7 3 4	...HHYCF...YCFAADEC...DE..RITTBBRI.. C99 H98 F99 
7 5 2	HH..DY....DYCFAA.ECFRI.EC.RITTBB.... H99 D98 C98 R99 I99 
7 5 2	..HHDY....DYCFAA.ECFRI.EC.RITTBB.... C98 H99 D98 I99 R99 
7 4 3	CFHH.YCF..DYC.AADE...I.E..RITTBBR... H99 F98 D99 I99 
7 5 2	HH..DY....DYCF.AAECFR..EC.RITTBB.I.. H99 D98 C98 A99 R99 
7 5 2	..HHDYC...DYC.AA.ECF.I.E.FRITTBBR... C99 H99 D98 F99 I99 
7 4 3	CHH..YC...DYCFAADE.FRI.E..RITT...BB. D99 R99 I99 B97 
7 4 3	CHH..YC...DYCFAADE.FRI.E..RITT..BB.. D99 R99 I99 B98 
7 3 4	.HH..YC....YC.AADECF.IDE.FRITTBBR... C99 F99 I99 
7 5 2	CFHHDYCF..DYC.AA.E..RI.E..RITTBB.... H99 F98 D98 R99 I99 
7 5 2	C.HHDYC...DYC.AA.E.FRI.E.FRITTBB.... H99 F99 D98 R99 I99 
7 4 3	CHH..YC...DYCFAADE.FRI.E..RITT.BB... D99 R99 I99 B99 
7 3 4	.HH..YC....YCFAADECFR.DE..RITT.BBI.. C99 R99 B99 
7 4 3	CHH..YC...DYC.AADE.FRI.E.FRITTBB.... F99 D99 R99 I99 
7 4 3	C.HH.YC...DYCFAADE.FRI.E..RITTBB.... H99 D99 R99 I99 
7 3 4	C.HH.YC....YCFAADE.FRIDE..RITTBB.... H99 R99 I99 
7 4 3	CFHH.YCF..DYC.AADE.....E..RITTBBRI.. H99 F98 D97 
7 4 3	.HH..Y....DYCFAADECFRI.EC.RITTBB.... C98 D99 R99 I99 
7 4 3	.HH..YC...DYCFAADECFRI.E..RITTBB.... C99 D99 R99 I99 
7 5 2	.HH.DY....DYC.AA.ECFRI.ECFRITTBB.... C98 D98 F99 R99 I99 
7 3 4	...HHYC....YCFAADECF.IDE..RITTBBR... C99 H98 I99 
7 3 4	HH...YC....YCFAADECF.IDE..RITTBBR... H99 C99 I99 
7 5 2	C.HHDYC.R.DYCFRAAE.F.I.E...ITTBB.... H99 A99 D98 R97 I99 
7 5 2	.HH.DY....DYC..AAECFR..ECFRITTBB.I.. C98 D98 F99 A99 R99 
7 5 2	.HH.DY....DYCAA..ECFR..ECFRITTBB.I.. C98 D98 F99 A99 R99 
7 3 4	CHH..YCF...YCFAADE..R.DE..RITT.BBI.. F99 R99 B99 
7 5 2	..HHDY....DYC.AA.ECFR..ECFRITTBB.I.. C98 H99 D98 F99 R99 
7 3 4	.HH..Y.....YCFAADECFR.DEC.RITT.BBI.. C98 R99 B99 
7 3 4	HH...Y.F...YCFAADEC...DEC.RITTBBRI.. H99 F99 C98 
7 5 2	HH..DY....DYC.AA.ECFR..ECFRITTBB.I.. H99 D98 C98 F99 R99 
7 5 2	HH..DYCF..DYCF.AAEC....E..RITTBBRI.. H99 D98 C99 F99 A99 
7 5 2	.FHHDYCF..DYC.AA.EC.R..E..RITTBB.I.. C99 F98 H99 D98 R99 
7 5 2	CFHHDYCFR.DYC.RAAE.....E...ITTBB.I.. H99 F98 A99 D98 R97 
7 5 2	C.HHDYCF..DYCFRAAE..R..E...ITTBB.I.. H99 F99 A99 D98 R98 
7 5 2	..HHDY....DYCFRAAECFR..EC..ITTBB.I.. C98 H99 D98 R98 A99 
7 4 3	C.HH.YCF..DYCFAADE...I.E..RITTBBR... H99 F99 D99 I99 
7 3 4	HH...Y.....YC.AADECF..DECFRITTBBRI.. H99 C98 F99 
7 4 3	.HH..Y.F..DYCFAADEC..I.EC.RITTBBR... C98 F99 D99 I99 
7 3 4	...HHY.....YC.AADECF..DECFRITTBBRI.. C98 H98 F99 
7 5 2	C.HHDYC...DYCFRAAE.FR..E...ITT.BBI.. H99 A99 D98 R98 B99 
7 5 2	CFHHDYCF..DYC.RAAE..R..E...ITTBB.I.. H99 F98 A99 D98 R98 
7 3 4	...HHYC....YC.AADECF..DE.FRITTBBRI.. C99 H98 F99 
7 5 2	.HH.DY.F..DYCFAA.EC.RI.EC.RITTBB.... C98 D98 F99 R99 I99 
7 3 4	.F.HHY.F...YC.AADEC...DEC.RITTBBRI.. C98 H98 F98 
7 5 2	.HH.DY.F..DYCF.AAEC.R..EC.RITTBB.I.. C98 D98 F99 A99 R99 
7 5 2	..HHDY.F..DYCFAA.EC.R..EC.RITTBB.I.. C98 H99 D98 F99 R99 
7 5 2	HH..DY.F..DYCFAA.EC.R..EC.RITTBB.I.. H99 D98 F99 C98 R99 
7 5 2	C.HHDYC...DYCAA..E.F.I.E.FRITTBBR... H99 F99 A99 D98 I99 
7 5 2	C.HHDYC...DYC.RAAE.FR..E.F.ITTBB.I.. H99 F99 A99 D98 R98 
7 4 3	C.HH.YCF..DYCFAADE.....E..RITTBBRI.. H99 F99 D97 
7 5 2	CHH.DYCFR.DYCFRAAE.....E...ITT.BBI.. F99 A99 D98 R97 B99 
7 5 2	C.HHDYC.R.DYCFRAAE.F...E...ITT.BBI.. H99 A99 D98 R97 B99 
7 5 2	.HH.DY..R.DY.FRAAECF...EC..ITTCBBI.. C97 D98 R97 A99 B99 
7 5 2	C.HHDYC...DYCAA..E.FR..E.FRITTBB.I.. H99 F99 A99 D98 R99 
7 5 2	.HH.DY..R.DYCFRAAECF...EC..ITT.BBI.. C98 D98 R97 A99 B99 
7 4 3	..HH.YC...DYCFAADECF...E..RITTBBRI.. C99 H99 D97 
7 5 2	.HH.DYC.R.DYCFRAAECF...E...ITT.BBI.. C99 D98 R97 A99 B99 
