15 9 6	..DII...DLLOJAACPOJ.BCPO..BFFFSSS.GG C99 L99 A99 B99 O97 J99 P99 F98 
15 9 6	..DII.J.DLLOJAACPO..BCPO..BFFFSSS.GG C99 L99 A99 B99 O97 J98 P99 F98 
15 9 6	..DIIO..DLLO.AACPO..BCP.J.BFFFJSSSGG C99 L99 A99 B99 O98 J99 P99 F98 S99 
15 9 6	..DII.J.DLLOJAACPO..BCPO..BFFFSSSGG. C99 L99 A99 B99 O99 J98 P99 F98 G99 
15 7 8	...IIO..DLLOAADCPOJ.BCP.J.BFFFSSS.GG D99 O98 L99 C99 P99 B99 F98 
15 7 8	..D.II..DLLOAABCPOJ.BCPOJ..FFF.SSSGG I99 C99 L99 O99 P99 F98 S99 
15 9 6	J.DII.J.DLLO.AACPO..BCPO..BFFFSSS.GG C99 L99 A99 B99 O97 J97 P99 F98 
15 9 6	..D.IIJ.DLLOJAACPO..BCPO..BFFFSSS.GG I99 C99 L99 A99 B99 O99 J98 P99 F98 
15 9 6	..D.II..DLLO.AACPOJ.BCPOJ.BFFF.SSSGG I99 C99 L99 A99 B99 O99 P99 F98 S99 
15 9 6	..DII...DLLO.AACPO..BCPOJ.BFFFJSSSGG C99 L99 A99 B99 O99 J99 P99 F98 S99 
15 9 6	..DII...DLLOJAACPOJ.BCPO..BFFF.SSSGG C99 L99 A99 B99 O99 J99 P99 F98 S99 
15 9 6	..DIIO..DLLOJAACPOJ.BCP...BFFF.SSSGG C99 L99 A99 B99 O98 J99 P99 F98 S99 
15 9 6	..D.II..DLLOAA.CPO..BCPOJ.BFFFJSSSGG I99 C99 L99 B99 O99 J99 P99 F98 S99 
15 9 6	J.DII.J.DLLO.AACPO..BCPO..BFFFSSSGG. C99 L99 A99 B99 O99 J97 P99 F98 G99 
15 9 6	J.DIIOJ.DLLO.AACPO..BCP...BFFFSSSGG. C99 L99 A99 B99 O98 J97 P99 F98 G99 
15 7 8	..D.II..DLLOAABCPO..BCPOJFFF..JSSSGG I99 C99 L99 O99 J99 P99 S99 
