9 0 9	JJJ.PSFF..PSHAADPUH.NDLUBINDLOBINGGO 
19 7 12	HJJJPSH.FFPSAANDPU.INDLUBINDLOB.GG.O J99 F98 H98 A99 N99 I99 G99 
19 7 12	HJJJPSHFF.PSAANDPU..ND.UBINDLOBIGGLO J99 F99 H98 A99 N99 L99 G99 
19 13 6	.JJJPSH.FFPSHAA.PUBINDLUBINDLOGGND.O H97 J99 F98 A98 B99 I99 N98 D99 G97 
19 13 6	HJJJPSHFF.PS..AAPUBINDLUBINDLOGGND.O J99 F97 H98 A97 D99 N98 B99 I99 G97 
20 11 9	HJJJPSH.FFPSAAN.PUBIND.UBINDLOGG.DLO J99 F98 H98 A99 D99 N99 L99 B99 I99 G97 
20 14 6	HJJJPSH.FFPSBIAAPUBINDLU..NDLOGGND.O J99 F98 H98 A97 D99 N98 B98 I98 G97 
20 14 6	.JJJPSH.FFPSHAA.PUBIND.UBINDLOGGNDLO H97 J99 F98 A98 B99 I99 N98 D99 L99 G97 
20 8 12	HJJJPSHFF.PSAANDPU.IND.UBINDLOB.GGLO J99 F99 H98 A99 N99 L99 I99 G99 
20 14 6	JJJ.PSH.FFPSHAA.PUBINDLUBINDLOGGND.O J98 H97 F98 A98 B99 I99 N98 D99 G97 
20 14 6	HJJJPSH.FFPSBAA.PUBIND.U.INDLOGGNDLO J99 F98 H98 A98 D99 N98 L99 B98 I99 G97 
20 14 6	.JJJPSH.FFPSHIAAPUBINDLUB.NDLOGGND.O H97 J99 F98 I98 A97 B99 N98 D99 G97 
20 14 6	HJJJPSHFF.PS.IAAPUBINDLUB.NDLOGGND.O J99 F97 H98 A97 D99 N98 B99 I98 G97 
20 8 12	HJJJ.SH.FFPSAANDPU..NDPUBINDLOBIGGLO J99 P99 F98 H98 A99 N99 L99 G99 
20 11 9	HJJJ.SHFF.PSAAN.PU.INDPUBINDLOBGGDLO J99 P99 F97 H98 A99 D99 N99 L99 I99 G98 
20 14 6	.JJJPSHIFFPSHIAAPUB.NDLUB.NDLOGGND.O H97 J99 I97 F98 A97 B99 N98 D99 G97 
20 8 12	HJJJPSH.FFPSAANDPUB.ND.UBINDLO.IGGLO J99 F98 H98 A99 N99 L99 B99 G99 
20 14 6	HJJJ.SH.FFPS.AA.PUBINDPUBINDLOGGNDLO J99 P99 F98 H98 A98 D99 N98 L99 B99 I99 G97 
20 8 12	HJJJPSH.FFPSAANDPUBINDLUBINDLO.GG..O J99 F98 H98 A99 N99 B99 I99 G98 
20 8 12	HJJJPSHFFDPSAANDPUBINDLUBIN.LO...GGO J99 F99 H98 A99 D99 N99 B99 I99 
20 14 6	H.JJJSH.FFPSAA..PUBINDPUBINDLOGGNDLO J98 P99 F98 H98 A99 D99 N98 L99 B99 I99 G97 
20 14 6	HJJJPSH.FFPS.IAAPUBIND.UB.NDLOGGNDLO J99 F98 H98 A97 D99 N98 L99 B99 I98 G97 
20 14 6	HJJJ.SH.FFPS..AAPUBINDPUBINDLOGGNDLO J99 P99 F98 H98 A97 D99 N98 L99 B99 I99 G97 
20 14 6	HJJJPSH.FFPSB.AAPUBIND.U.INDLOGGNDLO J99 F98 H98 A97 D99 N98 L99 B98 I99 G97 
20 8 12	HJJJPSHFFDPSAANDPUB.NDLUBIN.LO.IGG.O J99 F99 H98 A99 D99 N99 B99 G99 
20 8 12	HJJJPSH.FFPSAANDPUBINDLUBINDLO..GG.O J99 F98 H98 A99 N99 B99 I99 G99 
20 14 6	.JJJPSH.FFPSH.AAPUBIND.UBINDLOGGNDLO H97 J99 F98 A97 B99 I99 N98 D99 L99 G97 
