4 4 0	..DGB...DGB.AADGB.......E..CC.E..FF. G98 B97 C98 F99 
4 4 0	..DGB...DGB.AADGB.......E..CC.E...FF G98 B97 C98 F98 
4 4 0	...GB....GB.AADGB...D...E.D.CCE.FF.. D98 G98 B97 C97 
4 4 0	..DGB...DGB.AADGB.......E...CCEFF... G98 B97 C97 F99 
4 4 0	..DGB...DGB.AADGB.......E...CCE..FF. G98 B97 C97 F99 
4 4 0	..DGB...DGB.AADGB.......E...CCE...FF G98 B97 C97 F98 
4 4 0	..DG....DG..AADG..E...B.E.CCB..FF.B. G98 E99 C99 F99 
4 4 0	..DG....DG..AADG..E...B.E.CCB.FF..B. G98 E99 C99 F98 
4 4 0	..D.....D...AAD.B.E..GB.ECCGB..FFG.. G99 B99 E99 F99 
4 4 0	..D.....D...AAD.B.E..GB.ECCGB.FF.G.. G99 B99 E99 F98 
4 4 0	..D.....D...AAD.B.E..GB.ECCGB....GFF G99 B99 E99 F98 
4 4 0	..D.....D.B.AAD.B.E..GB.ECCG...FFG.. G99 B98 E99 F99 
4 4 0	..D.....D.B.AAD.B.E..GB.ECCG..FF.G.. G99 B98 E99 F98 
4 4 0	..D.....D.B.AAD.B.E..GB.ECCG.....GFF G99 B98 E99 F98 
4 4 0	..D.B...D.B.AAD.B.E..G..ECCG...FFG.. G99 B97 E99 F99 
4 4 0	..D.B...D.B.AAD.B.E..G..ECCG..FF.G.. G99 B97 E99 F98 
4 4 0	..D.B...D.B.AAD.B.E..G..ECCG.....GFF G99 B97 E99 F98 
5 5 0	........DG..AADGB.E.DGB.E.CCB...FF.. D99 G99 B99 E99 C99 
5 5 0	........DG..AADGB.E.DGB.ECC.B..FF... D99 G99 B99 E99 F99 
5 5 0	........DG..AADGB.E.DGB.ECC.B.FF.... D99 G99 B99 E99 F98 
5 5 0	........DG..AADGB.E.DGB.ECC.B....FF. D99 G99 B99 E99 F99 
5 5 0	........DG..AADGB.E.DGB.ECC.B.....FF D99 G99 B99 E99 F98 
5 5 0	........DG..AADGB...DGB.E.CCB.EFF... D99 G99 B99 C99 F99 
5 5 0	........DG..AADGB...DGB.E.CCB.E..FF. D99 G99 B99 C99 F99 
5 5 0	........DG..AADGB...DGB.E.CCB.E...FF D99 G99 B99 C99 F98 
5 5 0	........DGB.AADGB.E.DGB.E.CC....FF.. D99 G99 B98 E99 C99 
5 5 0	........DGB.AADGB.E.DGB.E..CC...FF.. D99 G99 B98 E99 C98 
5 5 0	........DGB.AADGB.E.DGB.E...CC..FF.. D99 G99 B98 E99 C97 
5 5 0	........DGB.AADGB.E.DGB.ECC....FF... D99 G99 B98 E99 F99 
5 5 0	........DGB.AADGB.E.DGB.ECC...FF.... D99 G99 B98 E99 F98 
5 5 0	........DGB.AADGB.E.DGB.ECC......FF. D99 G99 B98 E99 F99 
5 5 0	........DGB.AADGB.E.DGB.ECC.......FF D99 G99 B98 E99 F98 
5 5 0	........DGB.AADGB...DGB.E.CC..EFF... D99 G99 B98 C99 F99 
5 5 0	........DGB.AADGB...DGB.E.CC..E..FF. D99 G99 B98 C99 F99 
5 5 0	........DGB.AADGB...DGB.E.CC..E...FF D99 G99 B98 C99 F98 
5 5 0	........DGB.AADGB...DGB.E..CC.EFF... D99 G99 B98 C98 F99 
5 5 0	........DGB.AADGB...DGB.E..CC.E..FF. D99 G99 B98 C98 F99 
5 5 0	........DGB.AADGB...DGB.E..CC.E...FF D99 G99 B98 C98 F98 
5 5 0	........D.B.AADGB...DGB.E..GCCE.FF.. D99 G98 B98 C97 
