5 4 1	.HH.DYC...DYC.AA.ECFR..E.FRITTBB.I.. C99 D98 F99 R99 
5 3 2	.HH..Y.F...YCFAADEC..IDEC.RITTBBR... C98 F99 I99 
5 4 1	.HH.DYC...DYC..AAECF...E.FRITTBBRI.. C99 D98 A99 F99 
5 3 2	CFHH.YCF...YCAA.DE....DE..RITTBBRI.. H99 F98 A99 
5 4 1	HH..DYC...DYC.AA.ECF...E.FRITTBBRI.. H99 D98 C99 F99 
5 3 2	.HH..Y.....YC.AADECF.IDECFRITTBBR... C98 F99 I99 
5 4 1	.HH.DY....DYC.AA.ECFR..ECFRITTBB.I.. C98 D98 F99 R99 
5 4 1	.HH.DY....DYC..AAECF...ECFRITTBBRI.. C98 D98 A99 F99 
5 3 2	...HHY.....YCFAADECF.IDEC.RITTBBR... C98 H98 I99 
5 4 1	HH..DY....DYC.AA.ECF...ECFRITTBBRI.. H99 D98 C98 F99 
5 4 1	CHH.DYC.R.DYCFRAAE.F...E...ITT.BBI.. A99 D98 R97 B99 
5 4 1	CHH.DYC...DYCF.AAE.FRI.E..RITTBB.... A99 D98 R99 I99 
5 3 2	...HHY.....YCFAADECFR.DEC.RITTBB.I.. C98 H98 R99 
5 3 2	C..HHYC....YCAA.DE.F..DE.FRITTBBRI.. H98 F99 A99 
5 3 2	CHH..YC...DYCAA.DE.F...E.FRITTBBRI.. F99 A99 D99 
5 3 2	HH...Y.....YCFAADECF.IDEC.RITTBBR... H99 C98 I99 
5 3 2	C.HH.YC...DYC.AADE.F...E.FRITTBBRI.. H99 F99 D99 
5 3 2	C.HH.YC...DYCFAADE.F.I.E..RITTBBR... H99 D99 I99 
5 4 1	CHH.DYC...DYCFRAAE.FR..E...ITT.BBI.. A99 D98 R98 B99 
5 4 1	C.HHDYC...DYCFAA.E.F.I.E..RITTBBR... H99 D98 I99 
5 3 2	CFHH.YCF...YC.AADE...IDE..RITTBBR... H99 F98 I99 
5 3 2	C.HH.YCF...YCFAADE...IDE..RITTBBR... H99 F99 I99 
5 4 1	CHH.DYC...DYCAA..E.F.I.E.FRITTBBR... F99 A99 D98 I99 
5 3 2	C.HH.YC....YCAA.DE.F..DE.FRITTBBRI.. H99 F99 A99 
5 3 2	CHH..YC....YCAA.DE.FR.DE.FRITTBB.I.. F99 A99 R99 
5 4 1	CHH.DYC...DYCAA..E.FR..E.FRITTBB.I.. F99 A99 D98 R99 
5 4 1	.HH.DYC...DYCFAA.ECF.I.E..RITTBBR... C99 D98 I99 
5 3 2	C.HH.YC....YC.AADE.F.IDE.FRITTBBR... H99 F99 I99 
5 4 1	C.HHDYC...DYCAA..E.F...E.FRITTBBRI.. H99 F99 A99 D98 
5 3 2	..HH.Y.....YCFAADECF.IDEC.RITTBBR... C98 H99 I99 
5 4 1	.HH.DY.F..DYCF.AAEC....EC.RITTBBRI.. C98 D98 F99 A99 
5 4 1	.HH.DYC...DYCAA..ECF...E.FRITTBBRI.. C99 D98 A99 F99 
5 3 2	..HH.YC....YCFAADECF.IDE..RITTBBR... C99 H99 I99 
5 3 2	C..HHYCF..DYCFAADE.....E..RITTBBRI.. H98 F99 D99 
5 3 2	C.HH.YCF..DYCFAADE.....E..RITTBBRI.. H99 F99 D99 
5 3 2	.HH..Y.F..DYCFAADEC....EC.RITTBBRI.. C98 F99 D99 
5 4 1	CHH.DYC...DYC..AAE.F.I.E.FRITTBBR... F99 A99 D98 I99 
5 4 1	C.HHDYC...DYCF.AAE.F.I.E..RITTBBR... H99 A99 D98 I99 
5 4 1	.HH.DYC...DYCFAA.ECFRI.E..RITTBB.... C99 D98 R99 I99 
5 4 1	.HH.DY....DYCFAA.ECFRI.EC.RITTBB.... C98 D98 R99 I99 
5 3 2	.HH..YCF..DYCFAADEC....E..RITTBBRI.. C99 F99 D99 
5 4 1	..HHDYC...DYCFAA.ECFR..E..RITTBB.I.. C99 H99 D98 R99 
5 3 2	HH...Y.....YCFAADECFR.DEC.RITTBB.I.. H99 C98 R99 
5 4 1	..HHDYC...DYCF.AAECF...E..RITTBBRI.. C99 H99 D98 A99 
5 4 1	..HHDYCF..DYCFAA.EC....E..RITTBBRI.. C99 H99 D98 F99 
5 4 1	.HH.DY....DYCF.AAECF.I.EC.RITTBBR... C98 D98 A99 I99 
5 4 1	.HH.DYC...DYCF.AAECF.I.E..RITTBBR... C99 D98 A99 I99 
5 4 1	..HHDYC...DYC.AA.ECF...E.FRITTBBRI.. C99 H99 D98 F99 
5 4 1	..HHDY....DYCFAA.ECFR..EC.RITTBB.I.. C98 H99 D98 R99 
5 4 1	HH..DY....DYCF.AAECF...EC.RITTBBRI.. H99 D98 C98 A99 
5 4 1	..HHDY....DYCF.AAECF...EC.RITTBBRI.. C98 H99 D98 A99 
5 4 1	HH..DYC...DYCFAA.ECFR..E..RITTBB.I.. H99 D98 C99 R99 
5 4 1	HH..DYC...DYCF.AAECF...E..RITTBBRI.. H99 D98 C99 A99 
5 4 1	HH..DY....DYCFAA.ECFR..EC.RITTBB.I.. H99 D98 C98 R99 
5 4 1	..HHDY.F..DYCFAA.EC....EC.RITTBBRI.. C98 H99 D98 F99 
5 4 1	..HHDY....DYC.AA.ECF...ECFRITTBBRI.. C98 H99 D98 F99 
5 3 2	...HHY.....YC.AADECF..DECFRITTBBRI.. C98 H98 F99 
5 3 2	C..HHYC...DYCFAADE.FR..E..RITTBB.I.. H98 D99 R99 
5 3 2	HH...Y.....YC.AADECF..DECFRITTBBRI.. H99 C98 F99 
5 4 1	HH..DY....DYCFAA.ECF.I.EC.RITTBBR... H99 D98 C98 I99 
5 3 2	C.HH.YC...DYCFAADE.FR..E..RITTBB.I.. H99 D99 R99 
5 3 2	.HH..Y....DYCFAADECFR..EC.RITTBB.I.. C98 D99 R99 
5 4 1	HH..DYC...DYCFAA.ECF.I.E..RITTBBR... H99 D98 C99 I99 
5 3 2	.HH..YC...DYCFAADECFR..E..RITTBB.I.. C99 D99 R99 
6 3 3	CHH..YC..I.YCAAIDE.F..DE.FR.TTBBR... F99 A99 I97 
6 5 1	..HHDYC...DYCFAA.ECFRI.E..RITTBB.... C99 H99 D98 R99 I99 
6 4 2	CHH..YC...DYCFAADE.FRI.E..RITT.BB... D99 R99 I99 B99 
6 5 1	CHH.DYCF..DYCFRAAE..R..E...ITTBB.I.. F97 A99 D98 R98 
6 4 2	CHH..YC....YCFAADE.F.IDE..RITT..RBB. R98 I99 B97 
6 4 2	CHH..YCF...YCFAADE..RIDE..RITT..BB.. F99 R99 I99 B98 
6 4 2	CF.HHYCF...YC.AADE..RIDE..RITTBB.... H98 F98 R99 I99 
6 5 1	CFHHDYCFR.DYC.RAAE.....E...ITTBB.I.. H99 F98 A99 D98 R97 
6 4 2	.HH..YC....YCFAADECFRIDE..RITT..BB.. C99 R99 I99 B98 
6 3 3	CHH..YC....YCAAIDE.F.IDE.FR.TTBBR... F99 A99 I98 
6 5 1	CFHHDYCF..DYC.RAAE..R..E...ITTBB.I.. H99 F98 A99 D98 R98 
6 5 1	.FHHDY.F..DYC..AAEC....EC.RITTBBRI.. C98 F98 H99 D98 A99 
6 5 1	CHH.DYC...DYCFAA.E.FRI.E..RITT...BB. D98 R99 I99 B97 
6 5 1	CFHHDYCF..DYC.AA.E..R..E..RITT.BBI.. H99 F98 D98 R99 B99 
6 5 1	.FHHDYCF..DYC..AAEC....E..RITTBBRI.. C99 F98 H99 D98 A99 
6 4 2	.F.HHYCF...YC.AADEC.R.DE..RITTBB.I.. C99 F98 H98 R99 
6 4 2	CFHH.YCF..DYC.AADE.....E..RITTBBRI.. H99 F98 D97 
6 4 2	.F.HHYCF..DYC.AADEC....E..RITTBBRI.. C99 F98 H98 D99 
6 4 2	.F.HHYCF...YCAA.DEC...DE..RITTBBRI.. C99 F98 H98 A99 
6 5 1	.FHHDY.F..DYC.AA.EC..I.EC.RITTBBR... C98 F98 H99 D98 I99 
6 4 2	HH...Y.....YCFAADECFRIDEC.RITTBB.... H99 C98 R99 I99 
6 5 1	C.HHDYCF..DYCFAA.E..R..E..RITT.BBI.. H99 F99 D98 R99 B99 
6 5 1	CFHHDYCF..DYC..AAE...I.E..RITTBBR... H99 F98 A99 D98 I99 
6 5 1	C.HHDYCF..DYCF.AAE..R..E..RITTBB.I.. H99 F99 A99 D98 R99 
6 5 1	..HHDY.F..DYCFAA.EC.R..EC.RITTBB.I.. C98 H99 D98 F99 R99 
6 5 1	CHH.DYC...DYCF.AAE.FRI.E..RITT..BB.. A99 D98 R99 I99 B98 
6 4 2	.F.HHYCF...YC.AADEC..IDE..RITTBBR... C99 F98 H98 I99 
