7 4 3	C.HH.YC...DYCFAADE.F...E..RITTBBRIPP H99 D99 I98 
7 4 3	CFHH.YCF..DYC.AADE...I.E..RITTBBR.PP H99 F98 D99 I99 
7 5 2	CHH.DYC...DYCF.AAE.FRI.E..RITT.BB.PP A99 D98 R99 I99 B99 
7 5 2	CHH.DYC...DYCFRAAE.FRI.E...ITTBB..PP A99 D98 R98 I99 
7 4 3	C.HH.YC...DYCFAADE.FRI.E..RITTBB..PP H99 D99 R99 I99 
7 5 2	CHH.DYC...DYCF.AAE.F.I.E..RITTBBR.PP A99 D98 R98 I99 
7 4 3	C.HH.YC...DYC.AADE.F...E.FRITTBBRIPP H99 F99 D97 
7 5 2	CHH.DYCF..DYCF.AAE..RI.E..RITTBB..PP F99 A99 D98 R99 I99 
7 3 4	C..HHYCF...YCFAADE..R.DE..RITTBB.IPP H98 F99 R99 
7 5 2	CHH.DYC...DYC..AAE.FRI.E.FRITTBB..PP F99 A99 D98 R99 I99 
7 5 2	.HH.DY....DYCF.AAECFRI.EC.RITTBB..PP C98 D98 A99 R99 I99 
7 5 2	.HH.DYC...DYCFAA.ECFRI.E..RITTBBPP.. C99 D98 R99 I99 P98 
7 5 2	.HH.DYC...DYCF.AAECFRI.E..RITTBB..PP C99 D98 A99 R99 I99 
7 4 3	C.HH.YC...DYCFAADE.F.I.E..RITTBBRPP. H99 D99 I99 P99 
7 5 2	CHH.DYC...DYCFAA.E.FRI.E..RITT.BBPP. D98 R99 I99 B99 P99 
7 3 4	.HH..YCF...YCFAADEC.R.DE..RITTBB.IPP C99 F99 R99 
7 4 3	.HH..YC...DYCFAADECF.I.E..RITTBBRPP. C99 D99 I99 P99 
7 5 2	HH..DYC...DYCF.AAECF.I.E..RITTBBR.PP H99 D98 C99 A99 I99 
7 5 2	.HH.DY....DYC.AA.ECFR..ECFRITT.BBIPP C98 D98 F99 R99 B99 
7 3 4	.HH..Y.....YCFAADECF.IDEC.RITTBBRPP. C98 I99 P99 
7 3 4	C.HH.YC....YC.AADE.F.IDE.FRITTBBR.PP H99 F99 I99 
7 4 3	.HH..Y.F..DYCFAADEC..I.EC.RITTBBR.PP C98 F99 D99 I99 
7 5 2	..HHDYC...DYC.AA.ECF.I.E.FRITTBBR.PP C99 H99 D98 F99 I99 
