3 3 0	YOOTTFYIIIPF.AA.P..CCDD.MUUU.LMKKEEL Y99 F99 M99 
3 3 0	YOOTTFYIIIPFMAA.P.MCCDD..UUU.L.KKEEL Y99 F99 M99 
3 3 0	YOOTTFYIIIPF.AA.P.MCC.DDMUUU.L.KKEEL Y99 F99 D99 
3 3 0	YOOTTFYIIIPF.AA.P.MCCDD.M.UUUL.KKEEL Y99 F99 U99 
3 3 0	YOOTTFYIIIPF.AA.P.MCCDDLMUUU.L.KKEE. Y99 F99 L99 
3 3 0	YOOTTFYIIIPF.AA.PLMCCDDLMUUU...KKEE. Y99 F99 L98 
3 3 0	YOOTTFYIIIPF.AA.P.MCCDD.MUUU.LKK.EEL Y99 F99 K99 
3 3 0	YOOTT.YIIIPFAA..PF.CCDD.MUUU.LMKKEEL Y99 A99 M99 
3 3 0	YOOTT.YIIIPFAA..PFMCC.DDMUUU.L.KKEEL Y99 A99 D99 
3 3 0	YOOTT.YIIIPFAA..PFMCCDD.M.UUUL.KKEEL Y99 A99 U99 
3 3 0	YOOTT.YIIIPFAA..PFMCCDDLMUUU.L.KKEE. Y99 A99 L99 
3 3 0	YOOTT.YIIIPFAA..PFMCCDD.MUUU.LKK.EEL Y99 A99 K99 
3 3 0	YOOTT.YIIIPF..AAPF.CCDD.MUUU.LMKKEEL Y99 A99 M99 
3 3 0	YOOTT.YIIIPFM.AAPFMCCDD..UUU.L.KKEEL Y99 A99 M99 
3 3 0	YOOTT.YIIIPF..AAPFMCC.DDMUUU.L.KKEEL Y99 A99 D99 
3 3 0	YOOTT.YIIIPF..AAPFMCCDD.M.UUUL.KKEEL Y99 A99 U99 
3 3 0	YOOTT.YIIIPF..AAPFMCCDDLMUUU.L.KKEE. Y99 A99 L99 
3 3 0	YOOTT.YIIIPF..AAPFMCCDD.MUUU.LKK.EEL Y99 A99 K99 
3 3 0	YOOTT.YIIIPF.AA.PFCC.DD.MUUU.LMKKEEL Y99 M99 C99 
3 3 0	YOOTT.YIIIPF.AA.PF.CC.DDMUUU.LMKKEEL Y99 M99 D99 
3 3 0	YOOTT.YIIIPF.AA.PF.CCDD.M.UUULMKKEEL Y99 M99 U99 
3 3 0	YOOTT.YIIIPF.AA.PF.CCDDLMUUU.LMKKEE. Y99 M99 L99 
3 3 0	YOOTT.YIIIPFMAA.PFMCC.DD.UUU.L.KKEEL Y99 M99 D99 
3 3 0	YOOTT.YIIIPFMAA.PFMCCDD.UUU..L.KKEEL Y99 M99 U99 
