5 5 0	.TTTC...B.CGAAB.CG.....G.DEE...D.... T99 G95 F99 C97 
5 5 0	.TTTCG..B.CGAAB.CG.......DEE...D.... T99 G94 F99 C97 
5 5 0	.TTTC...B.C.AAB.C..D...G.DEE.G.....G T99 G97 F99 C97 D99 
5 5 0	.TTTC...B.C.AAB.C......G.D.EEG.D...G T99 G97 F99 C97 E99 
5 5 0	.TTT....B...AAB..G.D..CG.DEECG....C. T99 G96 F99 D99 
5 5 0	.TTT....B..GAAB..G.D..CG.DEEC.....C. T99 G95 F99 D99 
5 5 0	.TTT.G..B..GAAB..G.D..C..DEEC.....C. T99 G94 F99 D99 
5 5 0	..TTT.......AAB.C...B.CG.DEECG.D...G T98 G97 B99 F99 C99 
5 5 0	..TTT.....C.AAB.C...B.CG.DEE.G.D...G T98 G97 B99 F99 C98 
5 5 0	..TTT.......AAB..G..B.CG.DEECG.D..C. T98 G96 B99 F99 
5 5 0	..TTT......GAAB..G..B.CG.DEEC..D..C. T98 G95 B99 F99 
5 5 0	..TTTG.....GAAB..G..B.C..DEEC..D..C. T98 G94 B99 F99 
5 5 0	..TTT.......AAB....DB.CG.DEECG....CG T98 G97 B99 F99 D99 
5 5 0	..TTT...B...AAB.CG....CG.DEECG.D.... T98 G96 F99 C99 
5 5 0	..TTT...B..GAAB.CG....CG.DEEC..D.... T98 G95 F99 C99 
5 5 0	..TTTG..B..GAAB.CG....C..DEEC..D.... T98 G94 F99 C99 
5 5 0	..TTT...B...AAB.C..D..CG.DEECG.....G T98 G97 F99 C99 D99 
5 5 0	..TTT...B.C.AAB.CG....CG.DEE.G.D.... T98 G96 F99 C98 
5 5 0	..TTT...B.CGAAB.CG....CG.DEE...D.... T98 G95 F99 C98 
5 5 0	..TTTG..B.CGAAB.CG....C..DEE...D.... T98 G94 F99 C98 
5 5 0	..TTT...B.C.AAB.C..D..CG.DEE.G.....G T98 G97 F99 C98 D99 
5 5 0	..TTT...B.C.AAB.C.....CG.D.EEG.D...G T98 G97 F99 C98 E99 
5 5 0	..TTT...B...AAB..G.D..CG.DEECG....C. T98 G96 F99 D99 
5 5 0	..TTT...B..GAAB..G.D..CG.DEEC.....C. T98 G95 F99 D99 
5 5 0	..TTTG..B..GAAB..G.D..C..DEEC.....C. T98 G94 F99 D99 
5 5 0	..BTTT..B..G.AAFFG.D..CG.DEEC.....C. T97 G99 B99 A99 D99 
5 5 0	..BTTT..B..GAAFFCG....CG.DEEC..D.... T97 G99 B99 F99 C99 
5 5 0	..BTTT..B.CGAAFFCG....CG.DEE...D.... T97 G99 B99 F99 C98 
5 5 0	..BTTT..B..GAAFF.G.D..CG.DEEC.....C. T97 G99 B99 F99 D99 
5 5 0	..BTTT..B....AAFFG.D..CG.DEECG....C. T97 G98 B99 A99 D99 
5 5 0	..BTTT..B...AAFFCG....CG.DEECG.D.... T97 G98 B99 F99 C99 
5 5 0	..BTTT..B.C.AAFFCG....CG.DEE.G.D.... T97 G98 B99 F99 C98 
5 5 0	..BTTT..B...AAFF.G.D..CG.DEECG....C. T97 G98 B99 F99 D99 
5 5 0	...TTT......AAB.C...B.CG.DEECG.D...G T97 G97 B99 F99 C99 
5 5 0	...TTT....C.AAB.C...B.CG.DEE.G.D...G T97 G97 B99 F99 C98 
5 5 0	...TTT......AAB..G..B.CG.DEECG.D..C. T97 G96 B99 F99 
5 5 0	...TTT.....GAAB..G..B.CG.DEEC..D..C. T97 G95 B99 F99 
5 5 0	...TTT......AAB....DB.CG.DEECG....CG T97 G97 B99 F99 D99 
5 5 0	..BTTT..B....AA.......CG.DEECG.D..CG T97 G97 B99 A99 F99 
5 5 0	..BTTT..B....AAFF..D..CG.DEECG....CG T97 G97 B99 A99 D99 
5 5 0	..BTTT..B...AAFFC.....CG.DEECG.D...G T97 G97 B99 F99 C99 
5 5 0	..BTTT..B.C.AAFFC.....CG.DEE.G.D...G T97 G97 B99 F99 C98 
5 5 0	..BTTT..B...AAFF...D..CG.DEECG....CG T97 G97 B99 F99 D99 
5 5 0	..BTTT..B.....AA......CG.DEECG.D..CG T97 G97 B99 A98 F99 
5 5 0	..BTTT..B......AA.....CG.DEECG.D..CG T97 G97 B99 A97 F99 
5 5 0	..BTTT..B.......AA....CG.DEECG.D..CG T97 G97 B99 A96 F99 
