0 0 0	Z...C.Z...C.Z.AAC.EEEB..Y..BDDY..... 
5 5 0	Z...C.Z...C.Z.AAC.EEE...YDDB..Y..B.. A98 B97 D97 
5 5 0	Z...C.Z...C.ZAA.C..EEE..YDDB..Y..B.. A99 E99 B97 D97 
5 5 0	Z...C.Z...C.ZAA.C...EEE.YDDB..Y..B.. A99 E98 B97 D97 
5 5 0	Z...C.Z...C.ZAA.C....EEEYDDB..Y..B.. A99 E97 B97 D97 
5 5 0	....C.Z..BC.ZAABC.ZEEE..Y..DD.Y..... Z99 B98 A99 E99 D99 
5 5 0	....C.Z..BC.ZAABC.ZEEE..Y.DD..Y..... Z99 B98 A99 E99 D98 
5 5 0	....C.Z..BC.ZAABC.ZEEE..YDD...Y..... Z99 B98 A99 E99 D97 
5 5 0	Z...C.Z..BC.ZAABC.YEEE..Y..DD....... A99 E99 B98 Y99 D99 
5 5 0	Z...C.Z..BC.ZAABC.YEEE..Y.DD........ A99 E99 B98 Y99 D98 
5 5 0	Z...C.Z..BC.ZAABC.YEEE..YDD......... A99 E99 B98 Y99 D97 
5 5 0	Z.....Z..B..ZAABC..EEEC.Y.DDC.Y..... C98 A99 E99 B98 D98 
5 5 0	Z.....Z..B..ZAAB...EEEC.Y.DDC.Y...C. C97 A99 E99 B98 D98 
5 5 0	Z.....Z..B..ZAABC..EEEC.YDD.C.Y..... C98 A99 E99 B98 D97 
5 5 0	Z.....Z..B..ZAAB...EEEC.YDD.C.Y...C. C97 A99 E99 B98 D97 
5 5 0	....C.Z..BC.ZAABC.Z.EEE.Y..DD.Y..... Z99 B98 A99 E98 D99 
5 5 0	....C.Z..BC.ZAABC.Z.EEE.Y.DD..Y..... Z99 B98 A99 E98 D98 
5 5 0	....C.Z..BC.ZAABC.Z.EEE.YDD...Y..... Z99 B98 A99 E98 D97 
5 5 0	Z...C.Z..BC.ZAABC.Y.EEE.Y..DD....... A99 E98 B98 Y99 D99 
5 5 0	Z...C.Z..BC.ZAABC.Y.EEE.Y.DD........ A99 E98 B98 Y99 D98 
5 5 0	Z...C.Z..BC.ZAABC.Y.EEE.YDD......... A99 E98 B98 Y99 D97 
5 5 0	....C.Z..BC.ZAABC.Z..EEEY..DD.Y..... Z99 B98 A99 E97 D99 
5 5 0	....C.Z..BC.ZAABC.Z..EEEY.DD..Y..... Z99 B98 A99 E97 D98 
5 5 0	....C.Z..BC.ZAABC.Z..EEEYDD...Y..... Z99 B98 A99 E97 D97 
