13 4 9	....B...D.B.AADGB.E.DG..ECCG......FF D99 B97 E99 F98 
13 4 9	........DGB.AADGB...DGB.ECC...E..FF. D99 G99 B98 F99 
13 4 9	........D.B.AADGB.E.DGB.ECCG.....FF. D99 B98 E99 F99 
13 4 9	...GB...DGB.AADGB...D...E..CC.E.FF.. D99 G98 B97 C98 
13 4 9	..D.B...DGB.AADGB....G..E...CCE..FF. G99 B97 C97 F99 
13 4 9	..D.B...DGB.AADGB....G..E..CC.E..FF. G99 B97 C98 F99 
13 7 6	...GB....GB.AA.GB.E.D...E.DCC...DFF. D97 G98 B97 E99 C98 F97 
13 4 9	...GB...DGB.AADGB.E.D...ECC.....FF.. D99 G98 B97 E99 
13 4 9	..D.B...DGB.AADGB....G..E..CC.EFF... G99 B97 C98 F99 
13 4 9	..DG....DGB.AADGB.E...B.E...CC..FF.. G98 B98 E99 C97 
13 4 9	...GB....GB.AADGB...D...E.DCC.E.FF.. D98 G98 B97 C98 
13 7 6	...GB....GB..AAGB...D...E.DCC.E.DFF. D97 G98 B97 A99 C98 F97 
13 7 6	...G.....GB.AA.GB.E.D.B.E.DCC...D.FF D97 G98 B96 E99 C98 F98 
13 7 6	....B....GB.AA.GB.E.DG..E.DCC...D.FF G97 B97 E99 D97 C98 F98 
13 4 9	...G....DGB.AADGB...D.B.ECC...E..FF. D99 G98 B98 F99 
13 4 9	...G....DG..AADGB...D.B.ECC.B.E..FF. D99 G98 B99 F99 
13 7 6	E..GB.E..GB..AAGB...D.....DCC...D.FF D97 G98 B97 A99 E96 C98 F98 
13 7 6	...GB.E..GB.EAAGB...D.....DCC...D.FF D97 G98 B97 A99 E97 C98 F98 
13 7 6	...GB....GB..AAGB.E.D...E.DCC...D.FF D97 G98 B97 A99 E99 C98 F98 
13 7 6	...GB....GB.EAAGB.E.D.....DCC...D.FF D97 G98 B97 A99 E98 C98 F98 
13 4 9	..DG....DGB.AADGB.....B.E...CCE...FF G98 B98 C97 F98 
13 4 9	........DGB.AADGB...DGB.E...CCE.FF.. D99 G99 B98 C97 
13 4 9	....B...D.B.AADGB.E.DG..ECCG.....FF. D99 B97 E99 F99 
13 7 6	...G.....GB..AAGB...D.B.E.DCC.E.D.FF D97 G98 B96 A99 C98 F98 
