14 5 9	.CCBBB.HHFLYGAAFLYGWDFLY.WDUUU.EEE.. H99 G98 W99 D99 E98 
14 5 9	CC.BBB.HHFLY.AAFLY.WDFLYGWDUUUGEEE.. C99 H99 W99 D99 E98 
14 5 9	.CCBBBGHHFLYGAAFLY.WDFLY.WDUUU.EEE.. H99 G97 W99 D99 E98 
14 5 9	.CCBBB.HHFLYAA.FLY.WDFLYGWDUUUGEEE.. H99 A99 W99 D99 E98 
14 5 9	GCCBBBGHHFLYAA.FLY.WDFLY.WDUUU...EEE H99 A99 G96 W99 D99 
14 5 9	GCCBBBGHHFLY.AAFLY.WDFLY.WDUUU..EEE. H99 G96 W99 D99 E99 
14 5 9	GCCBBBGHHFLYAA.FLY..DFLY.WDUUU.WEEE. H99 A99 G96 D99 E99 
14 5 9	CCBBBY.HHFLY.AAFLY..DFL.GWDUUUGW.EEE C99 B99 H99 Y99 D99 
14 5 9	CCBBBYGHHFLYGAAFLY...FL..WDUUU.WDEEE C99 B99 H99 Y99 G97 
14 5 9	CCBBBY.HHFLYGAAFLYG..FL..WDUUU.WDEEE C99 B99 H99 Y99 G98 
14 2 12	.CCBBBHH.FLYAADFLY..DFLYGW.UUUGW.EEE A99 D98 
14 5 9	CCBBBY.HHFLYAA.FLY...FL.GWDUUUGWDEEE C99 B99 H99 Y99 A99 
14 5 9	CCBBB.HH.FLYAA.FLY..DFLYGWDUUUGWEEE. C99 B99 A99 D99 E99 
14 5 9	CC.BBB.HHFLYAA.FLY..DFLYGWDUUUGWEEE. C99 H99 A99 D99 E99 
14 5 9	CCBBB..HHFLY.AAFLY..DFLYGWDUUUGWEEE. C99 B99 H99 D99 E99 
14 5 9	CCBBBYHH.FLY.AAFLY..DFL.GWDUUUGWEEE. C99 B99 Y99 D99 E99 
14 5 9	CCBBB.HH.FLYGAAFLYG.DFLY.WDUUU.WEEE. C99 B99 G98 D99 E99 
14 5 9	CCBBB.HH.FLYAA.FLYG.DFLYGWDUUU.W.EEE C99 B99 A99 G99 D99 
14 5 9	CCBBB..HHFLYAA.FLYG..FLYGWDUUU.WDEEE C99 B99 H99 A99 G99 
14 5 9	CCBBBYHH.FLYAA.FLYG..FL.GWDUUU.WDEEE C99 B99 Y99 A99 G99 
15 6 9	CCDBBBHHDFLYAA.FLYGW.FLYGW.UUUEEE... C99 A99 W99 G99 D96 E97 
15 6 9	CC.BBBGHHFLYGAAFLY.WDFLY.WDUUU..EEE. C99 G97 H99 W99 D99 E99 
15 6 9	CCBBB..HHFLYGAAFLYG.DFLY.WDUUU.WEEE. C99 B99 H99 G98 D99 E99 
15 6 9	CC.BBB.HHFLYGAAFLYGWDFLY.WDUUUEEE... C99 H99 G98 W99 D99 E97 
15 6 9	CC.BBB.HHFLYGAAFLYGWDFLY.WDUUU..EEE. C99 H99 G98 W99 D99 E99 
15 6 9	CCBBBYHH.FLYGAAFLYG.DFL..WDUUU.WEEE. C99 B99 Y99 G98 D99 E99 
