11 2 9	YI....YI...LAA.CDLE.GCD.E.GCD..OOPPP C98 A99 
11 5 6	.I.C.LYI.CDLYAACD...G.D.E.G...EOOPPP Y99 D99 E99 L95 
11 5 6	YI....YI.C..AA.CD.E.GCDLE.G.DLOO.PPP C97 L98 A99 O99 
11 2 9	YI.C..YI.C..AA.CDLE.G.DLE.G.D..OOPPP L99 A99 
11 2 9	YIGC..YIGC.LAA.CDLE...D.E...D..OOPPP A99 G97 
11 5 6	.I...LYI.CDLYAACD.E.GCD.E.G...OO.PPP Y99 L99 C99 D99 O99 
11 2 9	.I.C..YI.C..YAACDLE.G.DLE.G.D..OOPPP Y99 L99 
11 5 6	YI....YI.C..AA.CD.E..CDLE.G.DLOOGPPP C99 L98 A99 G99 O99 
11 5 6	YI.C..YI.CD.AA.CD.E...DLE.G..LOOGPPP L98 A99 D99 G99 O99 
11 5 6	YIG..LYIGC.LAA.CD.E..CD.E...D..OOPPP C99 L95 A99 G97 
11 5 6	YIG...YIGC..AA.CD.E..CDLE...DLOO.PPP C99 L98 A99 G97 O99 
11 2 9	YI.C..YI.CD..AACDLE.G.DLE.G....OOPPP L99 D99 
11 2 9	YI.C..YI.C..EAACDLE.G.DL..G.D..OOPPP L99 E99 
11 5 6	YIG...YIG....AACD.E..CDLE..CDL.OOPPP C98 L98 A98 G97 
11 5 6	YIGC..YIGC..EAACD.E...DL....DL.OOPPP L98 A98 E99 G97 
11 5 6	YIG..LYIG..L.AACD.E..CD.E..CD..OOPPP C98 L99 A98 G97 
11 5 6	YIGCDLYIGCDLAA.CD.......E.....EOOPPP L99 A99 D98 E99 G97 
11 5 6	YIG...YIGC...AACD.E..CDLE...DL.OOPPP C99 L98 A98 G97 
11 5 6	YIGC..YIGC...AACD.E...DLE...DLOO.PPP L98 A98 G97 O99 
11 5 6	.IGC..YIGC..YAACD.E...DLE...DL.OOPPP Y99 G97 A98 L98 
11 5 6	YIGCD.YIGCD.AA.CD.E....LE....LOO.PPP L98 A99 D98 G97 O99 
11 5 6	YI.C.LYI.CDLAA.CD...G.D.E.G...EOOPPP L99 A99 D97 E99 
11 5 6	YIGCD.YIGCD..AACD.E....LE....L.OOPPP L98 A98 D98 G97 
11 5 6	YIGC..YIGCD..AACD.E...DLE....L.OOPPP L98 A98 D99 G97 
11 5 6	YIG.D.YIGCD.AA.CD.E..C.LE....L.OOPPP C99 L98 A99 D98 G97 
11 5 6	YIGC..YIGC...AACD.....DLE...DLEOOPPP L98 A98 E99 G97 
11 5 6	YIG...YIGCD.AA.CD.E..CDLE....L.OOPPP C99 L98 A99 D99 G97 
11 5 6	YIG...YIG.D.AA.CD.E..CDLE..C.L.OOPPP C98 L98 A99 D99 G97 
11 5 6	.I...LYI.C.LYAACD.E.GCD.E.G.D.OOPPP. Y99 L99 C99 O99 P99 
11 5 6	YIGCD.YIGCD.AA.CD......LE....LEOOPPP L98 A99 D98 E99 G97 
11 5 6	YI...LYI..DLAA.CD.E.GCD.E.GC..OO.PPP C98 L99 A99 D99 O99 
11 5 6	YIG...YIGC..AA.CD....CDLE...DLEOOPPP C99 L98 A99 E99 G97 
11 5 6	YI...LYI.CDLAA.CD.E.GCD.E.G...OO.PPP C99 L99 A99 D99 O99 
11 5 6	YI..DLYI.CDLAA.CD.E.GC..E.G...OO.PPP C99 L99 A99 D98 O99 
11 5 6	YIG.DLYIGCDLAA.CD.E..C..E......OOPPP C99 L99 A99 D98 G97 
11 5 6	YIGCDLYIGCDLAA.CD.E.....E......OOPPP L99 A99 D98 G97 
11 5 6	YIGC.LYIGCDLAA.CD.....D.E.....EOOPPP L99 A99 D99 E99 G97 
11 5 6	YIGC.LYIGCDL.AACD.E...D.E......OOPPP L99 A98 D99 G97 
