6 0 6	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
15 7 8	HJJJ.SH...PSAANDPU..NDPUBINDLOBIGGLO J99 P99 H98 A99 N99 L99 G99 
15 7 8	HJJJPSH.N.PSAANDPU.IND.UBI.DLOB.GGLO J99 H98 A99 N98 L99 I99 G99 
15 10 5	.JJJPSH...PSHAADPUBINDLUBINDLOGGN..O H97 J99 A98 B99 I99 N98 G97 
15 10 5	HJJJ.SH...PSAAN.PUBINDPUBINDLOGG.DLO J99 P99 H98 A99 D99 N99 L99 B99 I99 G97 
15 8 7	HJJJPSH..DPSAANDPUBINDLUBIN.LOGG...O J99 H98 A99 D99 N99 B99 I99 G97 
15 7 8	HJJJPSH.N.PSAANDPUB.ND.UBI.DLO.IGGLO J99 H98 A99 N98 L99 B99 G99 
15 7 8	HJJJPSH...PSAANDPUB.ND.UBINDLO.IGGLO J99 H98 A99 N99 L99 B99 G99 
15 7 8	HJJJPSH.NDPSAANDPU..ND.UBI..LOBIGGLO J99 H98 A99 D99 N98 L99 G99 
15 7 8	HJJJ.SH.N.PSAANDPU..NDPUBI.DLOBIGGLO J99 P99 H98 A99 N98 L99 G99 
15 8 7	HJJJPSH.N.PSAANDPUBINDLUBI.DLOGG...O J99 H98 A99 N98 B99 I99 G97 
15 11 4	HJJJPSH...PSBAA.PUBINDLU.INDLOGGND.O J99 H98 A98 D99 N98 B98 I99 G97 
15 7 8	HJJJPSH.N.PSAANDPUBINDLUBI.DLO..GG.O J99 H98 A99 N98 B99 I99 G99 
15 11 4	.JJJPSH...PSHAA.PUBINDLUBINDLOGGND.O H97 J99 A98 B99 I99 N98 D99 G97 
15 10 5	HJJJPSH...PS.AADPUBIND.UBINDLOGGN.LO J99 H98 A98 N98 L99 B99 I99 G97 
15 11 4	HJJJPSHI..PS.IAAPUB.NDLUB.NDLOGGND.O J99 H98 A97 D99 N98 B99 I97 G97 
15 7 8	HJJJPSH.NDPSAANDPU.INDLUBI..LOB.GG.O J99 H98 A99 D99 N98 I99 G99 
15 11 4	HJJJPSH...PS.IAAPUBINDLUB.NDLOGGND.O J99 H98 A97 D99 N98 B99 I98 G97 
15 7 8	HJJJPSH...PSAANDPUBINDLUBINDLO..GG.O J99 H98 A99 N99 B99 I99 G99 
15 11 4	HJJJPSH...PSB.AAPUBINDLU.INDLOGGND.O J99 H98 A97 D99 N98 B98 I99 G97 
15 7 8	HJJJPSH..DPSAANDPU..ND.UBIN.LOBIGGLO J99 H98 A99 D99 N99 L99 G99 
15 11 4	.JJJPSH...PSH.AAPUBINDLUBINDLOGGND.O H97 J99 A97 B99 I99 N98 D99 G97 
15 9 6	HJJJPSH.N.PSAAN.PU.IND.UBI.DLOBGGDLO J99 H98 A99 D99 N98 L99 I99 G98 
15 7 8	HJJJPSH.NDPSAANDPUB.NDLUBI..LO.IGG.O J99 H98 A99 D99 N98 B99 G99 
15 7 8	HJJJPSH..DPSAANDPU.INDLUBIN.LOBGG..O J99 H98 A99 D99 N99 I99 G98 
15 7 8	HJJJPSH..DPSAANDPUB.NDLUBIN.LO.IGG.O J99 H98 A99 D99 N99 B99 G99 
15 9 6	HJJJ.SH...PSAAN.PU.INDPUBINDLOBGGDLO J99 P99 H98 A99 D99 N99 L99 I99 G98 
15 7 8	HJJJPSH..DPSAANDPU.INDLUBIN.LOB.GG.O J99 H98 A99 D99 N99 I99 G99 
15 9 6	HJJJ.SH...PSAANDPUBINDPUBINDLOGG..LO J99 P99 H98 A99 N99 L99 B99 I99 G97 
15 8 7	HJJJPSH.N.PSAANDPUBINDLUBI.DLO.GG..O J99 H98 A99 N98 B99 I99 G98 
15 8 7	HJJJ.SH...PSAANDPU.INDPUBINDLOBGG.LO J99 P99 H98 A99 N99 L99 I99 G98 
15 11 4	HJJJ.SH...PSAA..PUBINDPUBINDLOGGNDLO J99 P99 H98 A99 D99 N98 L99 B99 I99 G97 
15 8 7	HJJJPSH.N.PSAANDPU.IND.UBI.DLOBGG.LO J99 H98 A99 N98 L99 I99 G98 
16 8 8	HJJJPSH.NDPSAANDPUBINDLUBI..LOGG...O J99 H98 A99 D99 N98 B99 I99 G97 
16 8 8	HJJJPSH..DPSAANDPU.IND.UBIN.LOB.GGLO J99 H98 A99 D99 N99 L99 I99 G99 
16 11 5	HJJJ.SH...PS.AADPUBINDPUBINDLOGGN.LO J99 P99 H98 A98 N98 L99 B99 I99 G97 
