3 0 3	BB.K..CCCKU..AAKUG.FF.UG.....GEEE.TT 
6 4 2	.BB.U.CCC.UG.AA.UG.FFK.G...K..EEEKTT B99 K97 U99 G99 
6 4 2	..BB..CCC...AA..UG.FFKUG...KUGEEEKTT B98 K97 U99 A99 
6 4 2	..BBU.CCC.U.AA..UG.FFK.G...K.GEEEKTT B98 K97 U99 A99 
6 4 2	..BB...CCCU.AA..UG.FFKUG...K.GEEEKTT B98 K97 C99 A99 
6 3 3	...BB.CCC.U.AA.KUG.FFKUG...K.GEEE.TT B97 K98 A99 
6 3 3	BB....CCC.U..AAKUGFF.KUG...K.GEEE.TT K96 F99 
6 3 3	.BB...CCCKU..AAKUG.FFKUG.....GEEE.TT B99 K95 
6 3 3	BB..U.CCC.U..AAKUG.FFK.G...K.GEEE.TT K96 U99 
6 3 3	...BB.CCC.U..AAKUG.FFKUG...K.GEEE.TT B97 K96 
6 3 3	..BBU.CCC.U..AAKUG.FFK.G...K.GEEE.TT B98 K98 U99 
6 3 3	BB....CCCKU..AAKUGFF.KUG.....GEEE.TT K95 F99 
6 3 3	BB....CCC....AAKUG.FFKUG...KUGEEE.TT K96 U99 
6 3 3	...KBBCCCKU..AAKUG.FF.UG.....GEEE.TT B96 K94 
6 3 3	..BB..CCC.U.AA.KUG.FFKUG...K.GEEE.TT B98 K98 A99 
6 3 3	BB....CCC.UG.AAKUG.FFKUG...K..EEE.TT K96 G99 
6 3 3	BB...GCCCKUG.AAKUG.FFKU.......EEE.TT K95 G98 
6 3 3	BB..U.CCCKU..AAKUG.FFK.G.....GEEE.TT K95 U99 
6 3 3	BB....CCC.U.AA.KUG.FFKUG...K.GEEE.TT K96 A99 
6 3 3	..BB.GCCC.UG.AAKUG.FFKU....K..EEE.TT B98 K98 G98 
6 3 3	..BB...CCCU..AAKUG.FFKUG...K.GEEE.TT B98 K98 C99 
6 3 3	.BB...CCC.U..AAKUG.FFKUG...K.GEEE.TT B99 K96 
6 3 3	....BBCCC.U..AAKUG.FFKUG...K.GEEE.TT B96 K96 
7 5 2	..BB..CCC.UG..AAUGFF.KUG...K..EEEKTT B98 K97 A99 G99 F99 
7 5 2	..BBU.CCC.U...AAUGFF.K.G...K.GEEEKTT B98 K97 U99 A99 F99 
7 5 2	.BB...CCC..GAA..UG.FFKUG...KU.EEEKTT B99 K97 U99 A99 G99 
7 5 2	.BB....CCCUGAA..UG.FFKUG...K..EEEKTT B99 K97 C99 A99 G99 
7 5 2	BB...G.CCCUG..AAUGFF.KU....K..EEEKTT K97 C99 A99 G98 F99 
7 5 2	BB...GCCC..G..AAUGFF.KU....KU.EEEKTT K97 U99 A99 G98 F99 
7 5 2	BB....CCC..GAA..UGFF.KUG...KU.EEEKTT K97 U99 A99 G99 F99 
7 5 2	..BB..CCC...AA..UGFF.KUG...KUGEEEKTT B98 K97 U99 A99 F99 
7 5 2	..BBU.CCC.U.AA..UGFF.K.G...K.GEEEKTT B98 K97 U99 A99 F99 
7 5 2	BB.....CCCUGAA..UGFF.KUG...K..EEEKTT K97 C99 A99 G99 F99 
7 5 2	.BB.....CCC..AA.UGFF.KUG...KUGEEEKTT B99 K97 C98 U99 F99 
7 5 2	.BB.U..CCCU..AA.UGFF.K.G...K.GEEEKTT B99 K97 C99 U99 F99 
7 5 2	.BB......CCC.AA.UGFF.KUG...KUGEEEKTT B99 K97 C97 U99 F99 
7 5 2	..BB.GCCC.UG..AAUGFF.KU....K..EEEKTT B98 K97 A99 G98 F99 
7 5 2	.BB....CCCU...AAUGFF.KUG...K.GEEEKTT B99 K97 C99 A99 F99 
7 5 2	.BB...CCC.....AAUGFF.KUG...KUGEEEKTT B99 K97 U99 A99 F99 
7 5 2	.BB....CCC...AA.UGFF.KUG...KUGEEEKTT B99 K97 C99 U99 F99 
7 5 2	..BB...CCCU.AA..UGFF.KUG...K.GEEEKTT B98 K97 C99 A99 F99 
7 5 2	.BB....CCCU.AA..UGFF.KUG...K.GEEEKTT B99 K97 C99 A99 F99 
7 5 2	.BB.U.CCC.U.AA..UGFF.K.G...K.GEEEKTT B99 K97 U99 A99 F99 
7 5 2	.BB...CCC...AA..UGFF.KUG...KUGEEEKTT B99 K97 U99 A99 F99 
7 5 2	BB....CCC..G..AAUGFF.KUG...KU.EEEKTT K97 U99 A99 G99 F99 
7 5 2	BB.....CCCUG..AAUGFF.KUG...K..EEEKTT K97 C99 A99 G99 F99 
7 5 2	.BB...CCC.UG..AAUGFF.KUG...K..EEEKTT B99 K97 A99 G99 F99 
7 5 2	...BBG.CCCUG.AA.UGFF.KU....K..EEEKTT B97 K97 C99 G98 F99 
7 5 2	.BB....CCCUG.AA.UGFF.KUG...K..EEEKTT B99 K97 C99 G99 F99 
7 5 2	.BB.U.CCC.UG.AA.UGFF.K.G...K..EEEKTT B99 K97 U99 G99 F99 
7 5 2	.BB...CCC.UGAA..UGFF.KUG...K..EEEKTT B99 K97 A99 G99 F99 
7 5 2	.BB...CCC..G.AA.UGFF.KUG...KU.EEEKTT B99 K97 U99 G99 F99 
7 5 2	..BB..CCC.....AAUGFF.KUG...KUGEEEKTT B98 K97 U99 A99 F99 
7 5 2	.BB..GCCC.UG..AAUGFF.KU....K..EEEKTT B99 K97 A99 G98 F99 
7 5 2	...BBGCCC.UG..AAUGFF.KU....K..EEEKTT B97 K97 A99 G98 F99 
7 5 2	...BBGCCC.UGAA..UGFF.KU....K..EEEKTT B97 K97 A99 G98 F99 
7 5 2	...BBGCCC..G.AA.UGFF.KU....KU.EEEKTT B97 K97 U99 G98 F99 
7 5 2	BB.....CCC....AAUGFF.KUG...KUGEEEKTT K97 C99 U99 A99 F99 
7 5 2	...BB..CCCUG.AA.UGFF.KUG...K..EEEKTT B97 K97 C99 G99 F99 
7 5 2	.BB.U.CCC.U...AAUGFF.K.G...K.GEEEKTT B99 K97 U99 A99 F99 
7 5 2	...BB..CCCU...AAUGFF.KUG...K.GEEEKTT B97 K97 C99 A99 F99 
7 5 2	...BB..CCCUGAA..UG.FFKUG...K..EEEKTT B97 K97 C99 A99 G99 
7 5 2	....BB.CCCU...AAUGFF.KUG...K.GEEEKTT B96 K97 C99 A99 F99 
7 5 2	...BB.CCC..G.AA.UGFF.KUG...KU.EEEKTT B97 K97 U99 G99 F99 
7 5 2	...BB..CCCU.AA..UGFF.KUG...K.GEEEKTT B97 K97 C99 A99 F99 
7 5 2	...BB.CCC.UGAA..UGFF.KUG...K..EEEKTT B97 K97 A99 G99 F99 
7 5 2	...BBGCCC..G..AAUG.FFKU....KU.EEEKTT B97 K97 U99 A99 G98 
7 5 2	...BB.CCC...AA..UGFF.KUG...KUGEEEKTT B97 K97 U99 A99 F99 
7 5 2	...BB.CCC.....AAUGFF.KUG...KUGEEEKTT B97 K97 U99 A99 F99 
7 5 2	...BB.CCC..GAA..UG.FFKUG...KU.EEEKTT B97 K97 U99 A99 G99 
7 5 2	BB..U..CCCU...AAUGFF.K.G...K.GEEEKTT K97 C99 U99 A99 F99 
7 5 2	...BB....CCC.AA.UGFF.KUG...KUGEEEKTT B97 K97 C97 U99 F99 
7 5 2	...BB..CCC...AA.UGFF.KUG...KUGEEEKTT B97 K97 C99 U99 F99 
7 5 2	...BBG.CCCUG..AAUG.FFKU....K..EEEKTT B97 K97 C99 A99 G98 
7 5 2	...BB...CCC...AAUG.FFKUG...KUGEEEKTT B97 K97 C98 U99 A99 
7 5 2	...BB...CCC..AA.UGFF.KUG...KUGEEEKTT B97 K97 C98 U99 F99 
7 5 2	..BB....CCC.AA..UG.FFKUG...KUGEEEKTT B98 K97 C98 U99 A99 
7 5 2	.BB.....CCC.AA..UG.FFKUG...KUGEEEKTT B99 K97 C98 U99 A99 
7 5 2	BB......CCC.AA..UGFF.KUG...KUGEEEKTT K97 C98 U99 A99 F99 
7 5 2	.BB.....CCC...AAUG.FFKUG...KUGEEEKTT B99 K97 C98 U99 A99 
7 5 2	BB......CCC...AAUGFF.KUG...KUGEEEKTT K97 C98 U99 A99 F99 
7 5 2	...BB...CCC.AA..UG.FFKUG...KUGEEEKTT B97 K97 C98 U99 A99 
7 5 2	..BB....CCC..AA.UGFF.KUG...KUGEEEKTT B98 K97 C98 U99 F99 
7 5 2	BB...G..CCCG..AAUG.FFKU....KU.EEEKTT K97 C98 U99 A99 G98 
