3 3 0	YOOTT.YIIIP.AA..P..CCHH.MUUU.LMKKEEL Y99 A99 M99 
3 3 0	YOOTT.YIIIP.AA..P.MCC.HHMUUU.L.KKEEL Y99 A99 H99 
3 3 0	YOOTT.YIIIP.AA..P.MCCHH.M.UUUL.KKEEL Y99 A99 U99 
3 3 0	YOOTT.YIIIP.AA..P.MCCHHLMUUU.L.KKEE. Y99 A99 L99 
3 3 0	YOOTT.YIIIP.AA..PLMCCHHLMUUU...KKEE. Y99 A99 L98 
3 3 0	YOOTT.YIIIPLAA..PLMCCHH.MUUU...KKEE. Y99 A99 L97 
3 3 0	YOOTTLYIIIPLAA..P.MCCHH.MUUU...KKEE. Y99 A99 L96 
3 3 0	YOOTT.YIIIP.AA..P.MCCHH.MUUU.LKK.EEL Y99 A99 K99 
3 3 0	YOOTT.YIIIP...AAP..CCHH.MUUU.LMKKEEL Y99 A99 M99 
3 3 0	YOOTT.YIIIP.M.AAP.MCCHH..UUU.L.KKEEL Y99 A99 M99 
3 3 0	YOOTT.YIIIP...AAP.MCC.HHMUUU.L.KKEEL Y99 A99 H99 
3 3 0	YOOTT.YIIIP...AAP.MCCHH.M.UUUL.KKEEL Y99 A99 U99 
3 3 0	YOOTT.YIIIP...AAP.MCCHHLMUUU.L.KKEE. Y99 A99 L99 
3 3 0	YOOTT.YIIIP...AAPLMCCHHLMUUU...KKEE. Y99 A99 L98 
3 3 0	YOOTT.YIIIPL..AAPLMCCHH.MUUU...KKEE. Y99 A99 L97 
3 3 0	YOOTTLYIIIPL..AAP.MCCHH.MUUU...KKEE. Y99 A99 L96 
3 3 0	YOOTT.YIIIP...AAP.MCCHH.MUUU.LKK.EEL Y99 A99 K99 
3 3 0	YOOTT.YIIIP..AA.P.CC.HH.MUUU.LMKKEEL Y99 M99 C99 
3 3 0	YOOTT.YIIIP..AA.P..CC.HHMUUU.LMKKEEL Y99 M99 H99 
3 3 0	YOOTT.YIIIP..AA.P..CCHH.M.UUULMKKEEL Y99 M99 U99 
3 3 0	YOOTT.YIIIP..AA.P..CCHHLMUUU.LMKKEE. Y99 M99 L99 
3 3 0	YOOTT.YIIIP..AA.PL.CCHHLMUUU..MKKEE. Y99 M99 L98 
3 3 0	YOOTT.YIIIPL.AA.PL.CCHH.MUUU..MKKEE. Y99 M99 L97 
3 3 0	YOOTTLYIIIPL.AA.P..CCHH.MUUU..MKKEE. Y99 M99 L96 
3 3 0	YOOTT.YIIIP.MAA.P.MCC.HH.UUU.L.KKEEL Y99 M99 H99 
3 3 0	YOOTT.YIIIP.MAA.P.MCCHH.UUU..L.KKEEL Y99 M99 U99 
3 3 0	YOOTT.YIIIP.MAA.P.MCCHH...UUUL.KKEEL Y99 M99 U99 
3 3 0	YOOTT.YIIIP.MAA.P.MCCHHL.UUU.L.KKEE. Y99 M99 L99 
