5 5 0	YY....GGGBS.FAABSTF..C.TF..CPP...CDD Y96 B99 F99 C99 D98 
5 5 0	...YYTGGGBST.AABS.F..C..F..CPPFDDC.. Y99 B99 T98 C99 D99 
5 5 0	..YYS.GGGBS..AAB.TF..C.TF..CPPFDDC.. Y98 B99 S99 C99 D99 
5 5 0	..YY.TGGGBST.AABS.F..C..F..CPPFDDC.. Y98 B99 T98 C99 D99 
5 5 0	.YYB..GGGBS..AA.STF..C.TF..CPPFDDC.. Y97 B98 C99 D99 
5 5 0	.YY.S.GGGBS..AAB.TF..C.TF..CPPFDDC.. Y97 B99 S99 C99 D99 
5 5 0	.YY..TGGGBST.AABS.F..C..F..CPPFDDC.. Y97 B99 T98 C99 D99 
5 5 0	YY.B..GGGBS..AA.STF..C.TF..CPPFDDC.. Y96 B98 C99 D99 
5 5 0	YY..S.GGGBS..AAB.TF..C.TF..CPPFDDC.. Y96 B99 S99 C99 D99 
5 5 0	YY...TGGGBST.AABS.F..C..F..CPPFDDC.. Y96 B99 T98 C99 D99 
5 5 0	...YYTGGGBST.AABS.F..C..F..CPPF..CDD Y99 B99 T98 C99 D98 
5 5 0	..YYS.GGGBS..AAB.TF..C.TF..CPPF..CDD Y98 B99 S99 C99 D98 
5 5 0	..YY.TGGGBST.AABS.F..C..F..CPPF..CDD Y98 B99 T98 C99 D98 
5 5 0	.YYB..GGGBS..AA.STF..C.TF..CPPF..CDD Y97 B98 C99 D98 
5 5 0	.YY.S.GGGBS..AAB.TF..C.TF..CPPF..CDD Y97 B99 S99 C99 D98 
5 5 0	.YY..TGGGBST.AABS.F..C..F..CPPF..CDD Y97 B99 T98 C99 D98 
5 5 0	YY.B..GGGBS..AA.STF..C.TF..CPPF..CDD Y96 B98 C99 D98 
5 5 0	YY..S.GGGBS..AAB.TF..C.TF..CPPF..CDD Y96 B99 S99 C99 D98 
5 5 0	YY...TGGGBST.AABS.F..C..F..CPPF..CDD Y96 B99 T98 C99 D98 
6 6 0	....YYGGGB.TAA.BSTF..CS.F..CPPFDDC.. B99 T99 A99 S99 C99 D99 
6 6 0	....YYGGGB.TAA.BSTF..CS.F..CPPF..CDD B99 T99 A99 S99 C99 D98 
6 6 0	...YY.GGGB..AA.BSTF..CSTF..CPPFDDC.. Y99 B99 A99 S99 C99 D99 
6 6 0	..YY..GGGB..AA.BSTF..CSTF..CPPFDDC.. Y98 B99 A99 S99 C99 D99 
6 6 0	.YY...GGGB..AA.BSTF..CSTF..CPPFDDC.. Y97 B99 A99 S99 C99 D99 
6 6 0	YY....GGGB..AA.BSTF..CSTF..CPPFDDC.. Y96 B99 A99 S99 C99 D99 
6 6 0	...YY.GGGB..AA.BSTF..CSTF..CPPF..CDD Y99 B99 A99 S99 C99 D98 
6 6 0	..YY..GGGB..AA.BSTF..CSTF..CPPF..CDD Y98 B99 A99 S99 C99 D98 
6 6 0	.YY...GGGB..AA.BSTF..CSTF..CPPF..CDD Y97 B99 A99 S99 C99 D98 
6 6 0	YY....GGGB..AA.BSTF..CSTF..CPPF..CDD Y96 B99 A99 S99 C99 D98 
6 6 0	....YYGGGB.TFAABSTF..CS.F..CPP.DDC.. B99 T99 F99 S99 C99 D99 
6 6 0	...BYYGGGB.TF.AASTF..CS.F..CPP.DDC.. S99 A99 C99 T99 F99 D99 
6 6 0	....YYGGGB.TFAABSTF..CS.F..CPPDD.C.. B99 T99 F99 S99 C99 D98 
6 6 0	...BYYGGGB.TF.AASTF..CS.F..CPPDD.C.. S99 A99 C99 T99 F99 D98 
6 6 0	....YYGGGB.TFAABSTF..CS.F..CPP...CDD B99 T99 F99 S99 C99 D98 
6 6 0	...BYYGGGB.TF.AASTF..CS.F..CPP...CDD S99 A99 C99 T99 F99 D98 
6 6 0	...YY.GGGB.T.AABSTF..CS.F..CPPFDDC.. Y99 B99 T99 S99 C99 D99 
6 6 0	..YY..GGGB.T.AABSTF..CS.F..CPPFDDC.. Y98 B99 T99 S99 C99 D99 
6 6 0	.YY...GGGB.T.AABSTF..CS.F..CPPFDDC.. Y97 B99 T99 S99 C99 D99 
6 6 0	YY....GGGB.T.AABSTF..CS.F..CPPFDDC.. Y96 B99 T99 S99 C99 D99 
6 6 0	...YY.GGGB.T.AABSTF..CS.F..CPPF..CDD Y99 B99 T99 S99 C99 D98 
6 6 0	..YY..GGGB.T.AABSTF..CS.F..CPPF..CDD Y98 B99 T99 S99 C99 D98 
6 6 0	.YY...GGGB.T.AABSTF..CS.F..CPPF..CDD Y97 B99 T99 S99 C99 D98 
6 6 0	YY....GGGB.T.AABSTF..CS.F..CPPF..CDD Y96 B99 T99 S99 C99 D98 
6 6 0	...YY.GGGB..FAABSTF..CSTF..CPP.DDC.. Y99 B99 F99 S99 C99 D99 
6 6 0	..YY..GGGB..FAABSTF..CSTF..CPP.DDC.. Y98 B99 F99 S99 C99 D99 
6 6 0	.YY...GGGB..FAABSTF..CSTF..CPP.DDC.. Y97 B99 F99 S99 C99 D99 
6 6 0	YY....GGGB..FAABSTF..CSTF..CPP.DDC.. Y96 B99 F99 S99 C99 D99 
6 6 0	...YY.GGGB..FAABSTF..CSTF..CPPDD.C.. Y99 B99 F99 S99 C99 D98 
