6 3 3	GCCBBBGHHFL..AAFLY..DFLY..DUU....EE. H99 G96 D99 
6 3 3	.CCBBB.HHFL.GAAFLYG.DFLY..DUU....EE. H99 G98 D99 
6 3 3	.CCBBBGHHFL.GAAFLY..DFLY..DUU....EE. H99 G97 D99 
6 3 3	.CCBBB.HHFL..AAFLYG.DFLYG.DUU....EE. H99 G99 D99 
6 3 3	.CCBBBHH.FLY.AAFLYG..FL.G.DUU...D.EE Y99 G99 E99 
6 3 3	.CCBBBHH.FLYAA.FLY..DFL.G.DUU.G..EE. A99 Y99 D99 
6 3 3	.CCBBB.HHFLY.AAFLY..DFL.G.DUU.G..EE. H99 Y99 D99 
7 5 2	CC.BBB.HHFL.AA.FL...DFL.G.DUUYG..EEY C99 H99 A99 D99 Y98 
7 5 2	CC.BBBGHHFL.GAAFL...DFL...DUUY...EEY C99 H99 G97 D99 Y98 
7 5 2	.CCBBB.HHFL.GAAFL.G.DFLY..DUUYEE.... H99 Y99 G98 D99 E97 
7 5 2	CC.BBB.HHFL..AAFL.G.DFL.G.DUUY...EEY C99 H99 G99 D99 Y98 
7 5 2	CCBBB..HHFL.GAAFL.G..FL...DUUY..DEEY C99 B99 H99 G98 Y98 
7 5 2	CCBBB..HHFL..AAFL...DFL.G.DUUYG..EEY C99 B99 H99 D99 Y98 
7 5 2	CC.BBBHH.FL.GAAFL.G.DFL...DUUYEE...Y C99 G98 D99 Y98 E97 
7 5 2	.CCBBB.HHFL.AA.FL...DFLYG.DUUYGEE... H99 A99 Y99 D99 E98 
7 5 2	CC.BBBGHHFL.GAAFL...DFLY..DUUY...EE. C99 G97 H99 Y99 D99 
7 5 2	CC.BBB.HHFL..AAFL...DFLYG.DUUYGEE... C99 H99 D99 Y99 E98 
7 5 2	CC.BBBHH.FL.AA.FL...DFLYG.DUUYGEE... C99 A99 D99 Y99 E98 
7 5 2	GCCBBBGHHFL..AAFL...DFLY..DUUY....EE H99 Y99 G96 D99 E99 
7 5 2	CCBBB.HH.FL..AAFL...DFLYG.DUUYGEE... C99 B99 D99 Y99 E98 
7 5 2	.CCBBB.HHFL.GAAFL.G.DFLY..DUUY....EE H99 Y99 G98 D99 E99 
7 5 2	CCBBB.GHHFL.GAAFL....FLY..DUUY..DEE. C99 B99 G97 H99 Y99 
7 5 2	.CCBBB.HHFL.GAAFL.G.DFLY..DUUY.EE... H99 Y99 G98 D99 E98 
7 5 2	CC.BBBHH.FL.GAAFL.G.DFLY..DUUY..EE.. C99 D99 Y99 G98 E99 
7 5 2	CC.BBBHH.FL.GAAFL.G.DFLY..DUUY.EE... C99 G98 D99 Y99 E98 
7 5 2	CCBBB..HHFL..AAFL....FLYG.DUUYG.D.EE C99 B99 H99 Y99 E99 
7 5 2	.CCBBB.HHFL.AA.FL...DFLYG.DUUYG...EE H99 A99 Y99 D99 E99 
7 5 2	CC.BBB.HHFL..AAFL...DFLYG.DUUYG...EE C99 H99 Y99 D99 E99 
7 5 2	.CCBBBGHHFL.GAAFL...DFLY..DUUY....EE H99 Y99 G97 D99 E99 
7 5 2	CC.BBB.HHFL.AA.FL....FLYG.DUUYG.D.EE C99 H99 A99 Y99 E99 
7 5 2	CC.BBBGHHFL.GAAFL....FLY..DUUY..D.EE C99 G97 H99 Y99 E99 
7 5 2	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUY.EE... A99 Y99 G99 D99 E98 
7 5 2	CC.BBBHH.FL..AAFL.G.DFLYG.DUUY.EE... C99 G99 D99 Y99 E98 
7 5 2	.CCBBB.HHFL..AAFL.G.DFLYG.DUUY.EE... H99 Y99 G99 D99 E98 
7 5 2	.CCBBB.HHFL.AA.FL.G..FLYG.DUUY..D.EE H99 A99 Y99 G99 E99 
7 5 2	CC.BBB.HHFL..AAFL.G..FLYG.DUUY..D.EE C99 H99 G99 Y99 E99 
7 5 2	CCBBB.HH.FL..AAFL...DFLYG.DUUYG.EE.. C99 B99 D99 Y99 E99 
7 5 2	CC.BBB.HHFL..AAFL...DFLYG.DUUYG.EE.. C99 H99 D99 Y99 E99 
7 5 2	.CCBBBGHHFL.GAAFL...DFLY..DUUYEE.... H99 Y99 G97 D99 E97 
7 5 2	.CCBBB.HHFL.AA.FL...DFLYG.DUUYG.EE.. H99 A99 Y99 D99 E99 
7 5 2	CC.BBB.HHFL..AAFL...DFL.G.DUUYGEE..Y C99 H99 D99 Y98 E98 
7 5 2	CC.BBBHH.FL.AA.FL...DFLYG.DUUYG.EE.. C99 A99 D99 Y99 E99 
7 5 2	CC.BBB.HHFL.GAAFL.G..FLY..DUUY..D.EE C99 H99 G98 Y99 E99 
7 5 2	.CCBBBHH.FL..AAFL.G..FL.G.DUUYEED..Y Y98 G99 D98 E97 
