8 3 5	.CCBBBHH..L..AAFLY...FLYG.DFUUG.D.EE F99 U99 E99 
8 4 4	.CCBBBHH..L..AA.LYG..FLYG.DFUU..DFEE F98 G99 U99 E99 
8 4 4	.CCBBBHH..L.GAA.LYG..FLY..DFUU..DFEE F98 G98 U99 E99 
8 4 4	.CCBBBHH..L..AA.LY..DFLYG.DFUUG..FEE F98 D99 U99 E99 
8 4 4	CC.BBBHH..L..AA.LY...FLYG.DFUUG.DFEE C99 F98 U99 E99 
8 4 4	.CCBBB.HH.L..AA.LY...FLYG.DFUUG.DFEE H99 F98 U99 E99 
8 4 4	.CCBBB..HHL..AA.LY...FLYG.DFUUG.DFEE H98 F98 U99 E99 
8 4 4	.CCBBBHH..L.AA..LY...FLYG.DFUUG.DFEE F98 A99 U99 E99 
8 4 4	.CCBBBHH..L...AALY...FLYG.DFUUG.DFEE F98 A99 U99 E99 
8 4 4	.CCBBBHH..LY.AA.LY...FL.G.DFUUG.DFEE F98 Y99 U99 E99 
8 4 4	CC.BBBHH.FL.GAAFL.G.DFL...DUUY...EEY C99 G98 D99 Y98 
8 4 4	.CCBBB.HHFL.GAAFL.G.DFL...DUUY...EEY H99 Y98 G98 D99 
8 4 4	.CCBBB.HHFL..AAFL...DFLYG.DUUYG.EE.. H99 Y99 D99 E99 
8 3 5	CC.BBBHH.FL..AAFLY..DFLYG.DUU.GEE... C99 D99 E98 
8 4 4	.CCBBBHH.FL..AAFL.G.DFL.G.DUUY..EE.Y Y98 G99 D99 E99 
8 4 4	.CCBBBHH.FL.GAAFL.G.DFL...DUUY..EE.Y Y98 G98 D99 E99 
8 2 6	.CCBBBHH.FL.GAAFLYG..FLY..D.UU..DEE. G98 U99 
8 4 4	.CCBBB.HHFL..AAFL...DFL.G.DUUYG.EE.Y H99 Y98 D99 E99 
8 4 4	.CCBBBHH.FL.AA.FL...DFL.G.DUUYG.EE.Y A99 Y98 D99 E99 
8 3 5	.CCBBBHH.FL.AA.FLY..DFLYG.DUU.G...EE A99 D99 E99 
8 4 4	CC.BBBHH.FL..AAFL...DFL.G.DUUYG.EE.Y C99 D99 Y98 E99 
8 4 4	CCBBB.HH.FL..AAFL.G..FLYG.DUUY..DEE. C99 B99 G99 Y99 
8 3 5	.CCBBBHH.FL.AA.FLYG..FLYG.DUU...D.EE A99 G99 E99 
8 4 4	.CCBBBHH.FL.GAAFL.G.DFL...DUUYEE...Y Y98 G98 D99 E97 
8 4 4	.CCBBBHH.FL..AAFL.G.DFL.G.DUUYEE...Y Y98 G99 D99 E97 
8 4 4	CCBBBYHH.FLY.AAFL...DFL.G.DUU.G..EE. C99 B99 Y98 D99 
8 4 4	CCBBBYHH.FLY.AAFL....FL.G.D.UUG.DEE. C99 B99 Y98 U99 
8 3 5	.CCBBB.HHFL.AA.FLY...FLYG.DUU.G.D.EE H99 A99 E99 
8 4 4	CCBBBYHH.FLYGAAFL.G..FL...DUU...DEE. C99 B99 Y98 G98 
8 4 4	CCBBBYHH.FLY.AAFL.G..FL.G.DUU...DEE. C99 B99 Y98 G99 
8 3 5	CC.BBBHH.FL.AA.FLY...FLYG.DUU.G.D.EE C99 A99 E99 
8 4 4	CCBBBYHH.FLYAA.FL....FL.G.DUU.G.DEE. C99 B99 A99 Y98 
8 4 4	CCBBBY.HHFLY.AAFL....FL.G.DUU.G.DEE. C99 B99 H99 Y98 
8 4 4	.CCBBB.HHFL.AA.FL...DFL.G.DUUYG..EEY H99 A99 Y98 D99 
8 4 4	.CCBBBHH.FL..AAFL.G.DFL.G.DUUY.EE..Y Y98 G99 D99 E98 
