0 0 0	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
9 9 0	HJJJPSH.NDPSAANDPUBIND.UBI..LO.GG.LO J99 H98 A99 D99 N98 L99 B99 I99 G98 
9 9 0	HJJJPSH.NDPSAANDPUBIND.UBI..LOGG..LO J99 H98 A99 D99 N98 L99 B99 I99 G97 
9 9 0	HJJJ.SH.NDPSAANDPUB.NDPUBI..LO.IGGLO J99 P99 H98 A99 D99 N98 L99 B99 G99 
9 9 0	HJJJ.SH.NDPSAANDPU.INDPUBI..LOB.GGLO J99 P99 H98 A99 D99 N98 L99 I99 G99 
9 9 0	HJJJ.SH.NDPSAANDPU.INDPUBI..LOBGG.LO J99 P99 H98 A99 D99 N98 L99 I99 G98 
9 9 0	H.JJJSH.NDPSAANDPU..NDPUBI..LOBIGGLO J98 P99 H98 A99 D99 N98 L99 G99 
9 9 0	HJJJ.SH...PSAANDPUBINDPUBINDLO..GGLO J99 P99 H98 A99 N99 L99 B99 I99 G99 
9 9 0	HJJJPSH...PSAAN.PUBIND.UBINDLO.GGDLO J99 H98 A99 D99 N99 L99 B99 I99 G98 
9 9 0	HJJJ.SH...PSAANDPUBINDPUBINDLO.GG.LO J99 P99 H98 A99 N99 L99 B99 I99 G98 
9 9 0	HJJJPSH...PS.AADPUBINDLUBINDLOGGN..O J99 H98 A98 N98 B99 I99 G97 
9 9 0	HJJJPSH...PSAA..PUBINDLUBINDLOGGND.O J99 H98 A99 D99 N98 B99 I99 G97 
9 9 0	HJJJPSH...PSAA.DPUBIND.UBINDLOGGN.LO J99 H98 A99 N98 L99 B99 I99 G97 
9 9 0	HJJJPSH...PSAAN.PUBIND.UBINDLOGG.DLO J99 H98 A99 D99 N99 L99 B99 I99 G97 
9 9 0	HJJJ.SH...PSAANDPUBINDPUBINDLOGG..LO J99 P99 H98 A99 N99 L99 B99 I99 G97 
9 9 0	H.JJJSH...PSAANDPUB.NDPUBINDLO.IGGLO J98 P99 H98 A99 N99 L99 B99 G99 
9 9 0	H.JJJSH...PSAANDPU.INDPUBINDLOB.GGLO J98 P99 H98 A99 N99 L99 I99 G99 
9 9 0	HJJJ.SH...PSAAN.PU.INDPUBINDLOBGGDLO J99 P99 H98 A99 D99 N99 L99 I99 G98 
9 9 0	H.JJJSH...PSAANDPU.INDPUBINDLOBGG.LO J98 P99 H98 A99 N99 L99 I99 G98 
9 9 0	HJJJ.SH.N.PSAANDPUBINDPUBI.DLO..GGLO J99 P99 H98 A99 N98 L99 B99 I99 G99 
