3 0 3	.CCBBBHH.FL..AAFLY...FLYG.DUU.G.DEE. 
6 4 2	.CCBBBHH.FL..AAFL.G.DFLYG.DUUY.EE... Y99 G99 D99 E98 
6 4 2	.CCBBBHH.FL..AAFL.G.DFL.G.DUUYEE...Y Y98 G99 D99 E97 
6 4 2	CC.BBBHH.FL.AA.FL...DFL.G.DUUYG..EEY C99 A99 Y98 D99 
6 3 3	CC.BBBHH.FL..AAFLYG..FLYG.D.UU..DEE. C99 G99 U99 
6 4 2	GCCBBBGHHFL..AAFL....FL...DUUY..DEEY H99 Y98 G96 
6 4 2	.CCBBB.HHFL.AA.FL...DFL.G.DUUYG..EEY H99 A99 Y98 D99 
6 3 3	CC.BBBHH.FL..AAFLYG.DFLYG.DUU....EE. C99 G99 D99 
6 4 2	.CCBBBHH.FL.AA.FL...DFL.G.DUUYG.EE.Y A99 Y98 D99 E99 
6 3 3	CC.BBBHH.FLY.AAFLYG..FL.G.DUU...DEE. C99 Y99 G99 
6 3 3	.CCBBBHH.FL..AAFLYG.DFLYG.DUU..EE... G99 D99 E98 
6 3 3	CC.BBBHH.FL.AA.FLYG..FLYG.DUU...DEE. C99 A99 G99 
6 3 3	CCBBB.HH.FL..AAFLYG..FLYG.DUU...DEE. C99 B99 G99 
6 3 3	.CCBBBHH.FL.GAAFLYG.DFLY..DUU....EE. G98 D99 
6 4 2	.CCBBBHH.FL.GAAFL.G.DFLY..DUUY...EE. Y99 G98 D99 
7 3 4	.CCBBBHH.FL.AADFLY..DFLYG..UU.GEE... A99 D98 E98 
7 4 3	CCBBB.HH.FL.AA.FLY...FLYG.D.UUG.DEE. C99 B99 A99 U99 
7 4 3	.CCBBBHH.FL.GAAFLYG.DFLY..DUU.EE.... G98 D99 E95 
7 4 3	CC.BBB.HHFL..AAFLYG..FLYG.D.UU..DEE. C99 H99 G99 U99 
7 4 3	CC.BBBHH.FL.GAAFLYG.DFLY..DUU.EE.... C99 G98 D99 E97 
7 5 2	CCBBBYHH.FLYAA.FL....FL.G.DUU.G.DEE. C99 B99 A99 Y96 
7 4 3	CC.BBBHH.FLY.AAFLY..DFL.G.D.UUG..EE. C99 Y99 D99 U99 
7 4 3	CC.BBBHH.FL..AAFLYG.DFLYG.DUU...EE.. C99 G99 D99 E99 
7 4 3	.CCBBBHH..L..AAFLY..DFLYG.DFUUGEE... F99 D99 U99 E98 
7 5 2	CCBBB.HH.FL.AA.FL....FL.G.DUUYG.DEEY C99 B99 A99 Y98 
7 3 4	.CCBBBHHDFL.AADFLY...FLYG..UU.G.EE.. A99 D97 E99 
7 4 3	CC.BBBHH.FL.GAAFLYG.DFLY..DUU..EE... C99 G98 D99 E98 
7 4 3	CC.BBBHH.FL.GAAFLYG.DFLY..DUU...EE.. C99 G98 D99 E99 
7 4 3	.CCBBB.HHFLY.AAFLY..DFL.G.DUU.G...EE H99 Y99 D99 E99 
7 4 3	CC.BBBHH.FL.GAAFLYG.DFLY..D.UU...EE. C99 G98 D99 U99 
7 4 3	CC.BBBHH.FLYGAAFLYG.DFL...DUU....EE. C99 G98 Y99 D99 
7 4 3	GCCBBBGHHFL..AAFLY..DFLY..DUU.....EE H99 G96 D99 E99 
7 5 2	.CCBBBHH..L...AALY..DFLYG.DFUUG..FEE F98 A99 D99 U99 E99 
7 5 2	CCBBB..HHFL..AAFL...DFL.G.DUUYG..EEY C99 B99 H99 D99 Y98 
7 4 3	CCBBB.HH.FL.AA.FLY..DFLYG.DUU.G..EE. C99 B99 A99 D99 
7 4 3	CCBBB.HH.FL.AA.FLYG..FLYG.DUU...DEE. C99 B99 A99 G99 
7 4 3	.CCBBBHH.FLYAA.FLYG..FL.G.DUU...D.EE A99 Y99 G99 E99 
7 4 3	.CCBBBHH.FLY.AAFLY..DFL.G.D.UUG.EE.. Y99 D99 U99 E99 
7 4 3	CCBBB.HH.FLYAA.FLY...FL.G.DUU.G.DEE. C99 B99 A99 Y99 
7 4 3	.CCBBB.HHFL..AAFLY..DFLYG.D.UUGEE... H99 D99 U99 E98 
7 4 3	CCBBB..HHFL.AA.FLY...FLYG.DUU.G.DEE. C99 B99 H99 A99 
7 5 2	.CCBBB.HHFL.AA.FL.G.DFL.G.DUUY...EEY H99 A99 Y98 G99 D99 
7 5 2	GCCBBBGHHFL..AAFL...DFLY..DUUY.EE... H99 Y99 G96 D99 E98 
7 4 3	.CCBBB.HHFL..AAFLY..DFLYG.D.UUG.EE.. H99 D99 U99 E99 
7 5 2	.CCBBB.HHFL..AAFL.G.DFL.G.DUUYEE...Y H99 Y98 G99 D99 E97 
7 3 4	.CCBBBHHDFL.AADFLY...FLYGUU...G..EE. A99 D97 U98 
7 3 4	.CCBBBHHDFL.AADFLY...FLYG.UU..G..EE. A99 D97 U99 
7 5 2	CC.BBBHH.FL.GAAFL.G.DFLY..DUUY.EE... C99 D99 Y99 G98 E98 
7 5 2	.CCBBBHH.FL.GAAFL.G.DFLY..DUUYEE.... Y99 G98 D99 E95 
7 5 2	.CCBBB.HHFL..AAFL.G.DFL.G.DUUY..EE.Y H99 Y98 G99 D99 E99 
7 4 3	.CCBBBGHHFL.GAAFLY..DFLY..DUU.....EE H99 G97 D99 E99 
7 4 3	.CCBBBHH..L..AAFLY..DFLYG.DFUUG...EE F99 D99 U99 E99 
7 5 2	.CCBBB.HHFL.GAAFL.G.DFL...DUUY...EEY H99 Y98 G98 D99 
7 4 3	.CCBBBHH.FL.AA.FLYG.DFLYG.DUU..EE... A99 G99 D99 E98 
7 4 3	.CCBBB.HHFL.GAAFLYG.DFLY..DUU.EE.... H99 G98 D99 E97 
7 4 3	.CCBBB.HHFL.AA.FLY...FLYG.DUU.G.DEE. H99 A99 Y98 
7 4 3	CC.BBB.HHFL..AAFLY..DFLYG.DUU.G...EE C99 H99 D99 E99 
7 4 3	CC.BBBHH.FL..AAFLY..DFLYG.D.UUG...EE C99 D99 U99 E99 
7 5 2	.CCBBBGHHFL.GAAFL...DFL...DUUY.EE..Y H99 Y98 G97 D99 E98 
7 5 2	.CCBBBGHHFL.GAAFL...DFL...DUUY..EE.Y H99 Y98 G97 D99 E99 
7 5 2	CCDBBBHHDFL.AA.FL....FLYG..UUYG...EE C99 A99 Y99 D96 E99 
7 5 2	GCCBBBGHHFL..AAFL...DFL...DUUY...EEY H99 Y98 G96 D99 
7 5 2	CC.BBBGHHFL.GAAFL...DFL...DUUY...EEY C99 G97 H99 D99 Y98 
7 4 3	.CCBBBHH.FL.AADFL...DFLYG..UUYG...EE A99 Y99 D98 E99 
7 5 2	CCBBBYHH.FLY.AAFL...DFL.G.DUU.G..EE. C99 B99 D99 Y94 
7 5 2	CC.BBB.HHFL..AAFL...DFLYG.DUUYG.EE.. C99 H99 Y99 D99 E99 
7 5 2	CCBBB.HH.FL.GAAFL.G.DFL...DUUY...EEY C99 B99 D99 G98 Y98 
7 5 2	CCBBB.HH.FL.AA.FL...DFL.G.DUUYG..EEY C99 B99 A99 D99 Y98 
7 5 2	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUY.EE... A99 Y99 G99 D99 E98 
7 5 2	CC.BBB.HHFL..AAFL...DFLYG.DUUYG...EE C99 H99 Y99 D99 E99 
7 5 2	CCBBB.HH.FL..AAFL...DFLYG.DUUYG...EE C99 B99 Y99 D99 E99 
7 5 2	GCCBBBGHHFL..AAFL...DFLY..DUUY....EE H99 Y99 G96 D99 E99 
7 5 2	CC.BBBHH.FL..AAFL.G.DFL.G.DUUY..EE.Y C99 D99 G99 Y98 E99 
7 5 2	CC.BBBHH.FL..AAFL.G.DFL.G.DUUY.EE..Y C99 D99 G99 Y98 E98 
7 5 2	.CCBBBGHHFL.GAAFL...DFLY..DUUY....EE H99 Y99 G97 D99 E99 
7 5 2	CC.BBBHH.FL.GAAFL.G.DFL...DUUY...EEY C99 D99 G98 Y98 
7 5 2	CCBBB..HHFL.GAAFL.G..FLY..DUUY..DEE. C99 B99 H99 Y99 G98 
7 4 3	.CCBBBHH.FL.AADFL...DFL.G..UUYGEE..Y A99 Y98 D98 E98 
7 5 2	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUY....EE A99 Y99 G99 D99 E99 
7 5 2	.CCBBB.HHFL..AAFL.G.DFLYG.DUUY....EE H99 Y99 G99 D99 E99 
7 4 3	.CCBBBHH.FL.AADFL...DFL.GUU..YG..EEY A99 Y98 D98 U98 
7 4 3	.CCBBBHH.FL.AADFL...DFL.G..UUYG.EE.Y A99 Y98 D98 E99 
7 4 3	.CCBBB.HHFLY.AAFLY...FL.G.D.UUG.D.EE H99 Y99 U99 E99 
7 5 2	CCBBBYHH.FLY.AAFL.G..FL.G.DUU...DEE. C99 B99 G99 Y94 
7 5 2	CCDBBBHHDFL.AA.FL....FLYG..UUYGEE... C99 A99 Y99 D96 E98 
7 4 3	.CCBBBHH.FL.AADFL...DFL.G.UU.YG..EEY A99 Y98 D98 U99 
7 4 3	.CCBBBHH.FL.AADFL.G.DFL.G..UUY...EEY A99 Y98 G99 D98 
7 4 3	CC.BBBHHDFL.AADFL....FLYG..UUYG..EE. C99 A99 Y99 D97 
7 3 4	.CCBBBHH.FL.AADFLY..DFLYG.UU..G..EE. A99 D98 U99 
7 4 3	.CCBBBHH.FLY.AAFLY..DFL.G.DUU.G.EE.. Y97 D99 E99 
7 5 2	CC.BBB.HHFL.AA.FL...DFL.G.DUUYG..EEY C99 H99 A99 D99 Y98 
7 4 3	CC.BBBHH.FL.AADFL...DFLYG..UUYG..EE. C99 A99 Y99 D98 
7 5 2	.CCBBB.HHFL.GAAFL.G.DFLY..DUUY..EE.. H99 Y99 G98 D99 E99 
7 4 3	.CCBBBHH.FL..AAFLYG.DFLYG.D.UU....EE G99 D99 U99 E99 
7 5 2	.CCBBBHH..L..AA.LYG.DFLYG.DFUU...FEE F98 G99 D99 U99 E99 
7 5 2	CC.BBBHH.FL.AA.FL.G.DFL.G.DUUY...EEY C99 A99 G99 D99 Y98 
7 4 3	.CCBBBGHHFLYGAAFLY...FL...D.UU..DEE. H99 Y99 G97 U99 
7 4 3	CC.BBBHH.FL..AAFLYG..FLYG.D.UU..D.EE C99 G99 U99 E99 
7 4 3	.CCBBB.HHFLYGAAFLYG..FL...D.UU..DEE. H99 Y99 G98 U99 
7 4 3	.CCBBB.HHFLYAA.FLY...FL.G.D.UUG.DEE. H99 A99 Y99 U99 
7 5 2	.CCBBB.HHFL.AA.FL...DFLYG.DUUYG.EE.. H99 A99 Y99 D99 E99 
7 5 2	CC.BBBHH.FL.AA.FL.G.DFLYG.DUUY...EE. C99 A99 Y99 G99 D99 
7 4 3	.CCBBB.HH.LY.AAFLY...FL.G.DFUUG.DEE. H99 F99 Y99 U99 
7 4 3	CC.BBB.HHFLY.AAFLY...FL.G.D.UUG.DEE. C99 H99 Y99 U99 
7 5 2	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUY..EE.. A99 Y99 G99 D99 E99 
7 5 2	.CCBBBHH.FL.AA.FL.G.DFLYG.DUUYEE.... A99 Y99 G99 D99 E97 
7 5 2	.CCBBB.HHFL..AAFL.G.DFLYG.DUUYEE.... H99 Y99 G99 D99 E97 
7 4 3	.CCBBBHH.FLY.AAFLYG..FL.G.D.UU..D.EE Y99 G99 U99 E99 
7 5 2	.CCBBB.HHFL..AAFL.G.DFLYG.DUUY..EE.. H99 Y99 G99 D99 E99 
7 5 2	.CCBBBHH..L.GAA.LYG.DFLY..DFUU...FEE F98 G98 D99 U99 E99 
7 5 2	CC.BBBHH.FL..AAFL.G.DFLYG.DUUYEE.... C99 G99 D99 Y99 E97 
7 5 2	CCBBB.HH..L..AA.LY...FLYG.DFUUG.DFEE C99 B99 F98 U99 E99 
7 4 3	CC.BBBHH.FLYAA.FLY...FL.G.DUU.G.DEE. C99 A99 Y97 
7 4 3	CC.BBB.HHFLY.AAFLYG..FL.G.DUU...DEE. C99 H99 Y99 G99 
7 4 3	CC.BBB.HHFL..AAFLY...FLYG.D.UUG.D.EE C99 H99 U99 E99 
7 5 2	CC.BBBHH.FL..AAFL.G.DFLYG.DUUY..EE.. C99 D99 Y99 G99 E99 
7 4 3	.CCBBB.HHFL.AA.FLYG..FLYG.DUU...D.EE H99 A99 G99 E99 
7 3 4	.CCBBBHHDFL.AADFLY...FLYG...UUG..EE. A99 D97 U99 
7 5 2	.CCBBBHH..L.AA..LY..DFLYG.DFUUG..FEE F98 A99 D99 U99 E99 
7 5 2	.CCBBB.HH.L.AA..LY...FLYG.DFUUG.DFEE H99 F98 A99 U99 E99 
7 5 2	.CCBBBHH..LY.AA.LY..DFL.G.DFUUG..FEE F98 Y99 D99 U99 E99 
7 5 2	CC.BBBHH..L.AA..LY...FLYG.DFUUG.DFEE C99 A99 F98 U99 E99 
7 5 2	GCCBBBG.HHL..AA.LY...FLY..DFUU..DFEE H98 F98 G96 U99 E99 
7 4 3	CC.BBBHH.FLY.AAFLY...FL.G.D.UUG.D.EE C99 Y99 U99 E99 
7 4 3	GCCBBBGHHFLY.AAFLY...FL...D.UU..DEE. H99 Y99 G96 U99 
7 4 3	CC.BBBHH.FL.AA.FLY..DFLYG.DUU.GEE... C99 A99 D99 E98 
7 5 2	CC.BBBHH.FL.GAAFL.G.DFL...DUUY..EE.Y C99 G98 Y98 D99 E99 
7 5 2	.CCBBBG.HHL.GAA.LY...FLY..DFUU..DFEE H98 F98 G97 U99 E99 
7 5 2	.CCBBB..HHL..AA.LY..DFLYG.DFUUG..FEE H98 F98 D99 U99 E99 
7 5 2	.CCBBB..HHL.AA..LY...FLYG.DFUUG.DFEE H98 F98 A99 U99 E99 
7 4 3	CC.BBBHHDFL.AADFL....FL.G..UUYG..EEY C99 A99 D97 Y98 
7 4 3	.CCBBB.HHFL..AAFLYG.DFLYG.DUU.....EE H99 G99 D99 E99 
7 5 2	.CCBBBHH..LYAA..LY...FL.G.DFUUG.DFEE F98 A99 Y99 U99 E99 
7 4 3	CC.BBBHH.FL.AADFL...DFL.G..UUYG..EEY C99 A99 D98 Y98 
7 5 2	.CCBBB.HH.LY.AA.LY...FL.G.DFUUG.DFEE H99 F98 Y99 U99 E99 
7 5 2	CC.BBBHH..LY.AA.LY...FL.G.DFUUG.DFEE C99 Y99 F98 U99 E99 
7 4 3	GCCBBBGHHFL..AAFLY...FLY..D.UU..D.EE H99 G96 U99 E99 
7 5 2	.CCBBBHH.FL..AAFL.G..FLYG.DUUYEED... Y99 G99 D98 E97 
7 5 2	.CCBBBHH..LY..AALY...FL.G.DFUUG.DFEE F98 A99 Y99 U99 E99 
7 5 2	GCCBBBGHH.L..AA.LY...FLY..DFUU..DFEE H99 F98 G96 U99 E99 
7 5 2	.CCBBB..HHL...AALY...FLYG.DFUUG.DFEE H98 F98 A99 U99 E99 
7 5 2	CC.BBBHH.FL..AAFL.G.DFLYG.DUUY....EE C99 G99 Y99 D99 E99 
7 5 2	.CCBBB.HH.L...AALY...FLYG.DFUUG.DFEE H99 F98 A99 U99 E99 
7 5 2	CC.BBBHH..L...AALY...FLYG.DFUUG.DFEE C99 A99 F98 U99 E99 
7 4 3	.CCBBB.HHFLY.AAFLYG..FL.G.D.UU..DEE. H99 Y99 G99 U99 
7 5 2	CC.BBB.HH.L..AA.LY...FLYG.DFUUG.DFEE C99 H99 F98 U99 E99 
7 5 2	.CCBBBHH..LY.AA.LYG..FL.G.DFUU..DFEE F98 Y99 G99 U99 E99 
7 5 2	CC.BBBHH..L..AA.LY..DFLYG.DFUUG..FEE C99 F98 D99 U99 E99 
7 5 2	.CCBBBHH..L...AALYG..FLYG.DFUU..DFEE F98 A99 G99 U99 E99 
7 5 2	.CCBBBHH..L.AA..LYG..FLYG.DFUU..DFEE F98 A99 G99 U99 E99 
7 5 2	CCDBBBHHDFL.AA.FL.G..FL.G..UUY...EEY C99 A99 G99 D96 Y98 
7 3 4	.CCBBB.HHFL.AADFLY..DFLYG..UU.G..EE. H99 A99 D98 
7 4 3	CCBBB.HH.FL..AAFLY...FLYG.D.UUG.D.EE C99 B99 U99 E99 
7 5 2	.CCBBB..HHL..AA.LYG..FLYG.DFUU..DFEE H98 F98 G99 U99 E99 
7 6 1	CCBBBYHH..LY.AA.L....FL.G.DFUUG.DFEE C99 B99 Y98 F98 U99 E99 
7 5 2	CCBBBYHH.FLY.AAFL....FL.G.D.UUG.D.EE C99 B99 Y98 U99 E99 
7 5 2	CC.BBBHH..L..AA.LYG..FLYG.DFUU..DFEE C99 G99 F98 U99 E99 
7 5 2	.CCBBBHH..LYGAA.LYG..FL...DFUU..DFEE F98 Y99 G98 U99 E99 
7 3 4	.CCBBBHH.FL.AADFLY..DFLYG..UU.G.EE.. A99 D98 E99 
7 4 3	GCCBBBGHHFLYAA.FLY...FL...DUU...DEE. H99 A99 Y99 G96 
7 4 3	.CCBBBHH.FL.AADFL...DFLYG..UUYG.EE.. A99 Y99 D98 E99 
7 5 2	CCBBB.HH.FL..AAFL...DFL.G.DUUYGEE..Y C99 B99 D99 Y98 E98 
7 5 2	.CCBBBGHHFL.GAAFL...DFL...DUUYEE...Y H99 Y98 G97 D99 E97 
7 5 2	CCBBB.HH.FL.AA.FL.G..FLYG.DUUY..DEE. C99 B99 A99 Y99 G99 
7 5 2	CC.BBBHH.FL..AAFL.G.DFL.G.DUUYEE...Y C99 D99 G99 Y98 E97 
7 5 2	CCBBB.HH.FL..AAFL...DFLYG.DUUYG.EE.. C99 B99 D99 Y99 E99 
7 4 3	.CCBBB.HHFL..AAFLYG..FLYG.D.UU..D.EE H99 G99 U99 E99 
7 5 2	CCBBB.HH.FL..AAFL...DFL.G.DUUYG.EE.Y C99 B99 D99 Y98 E99 
7 4 3	CC.BBBGHHFLYGAAFLY...FL...DUU...DEE. C99 G97 H99 Y99 
7 4 3	.CCBBBHH.FLY.AAFLY..DFL.G.D.UUG...EE Y99 D99 U99 E99 
7 3 4	CC.BBBHHDFL.AADFLY...FLYG..UU.G..EE. C99 A99 D97 
7 3 4	CC.BBBHH.FL.AADFLY..DFLYG..UU.G..EE. C99 A99 D98 
7 5 2	CCBBB.HH.FL.AA.FL...DFLYG.DUUYG..EE. C99 B99 A99 Y99 D99 
7 4 3	.CCBBBHH.FL.AA.FLY..DFLYG.D.UUGEE... A99 D99 U99 E98 
7 4 3	CC.BBB.HHFLY.AAFLY...FL.G.DUU.G.D.EE C99 H99 Y99 E99 
7 5 2	CC.BBBHH.FL..AAFL....FLYG.DUUYG.D.EE C99 H98 Y99 E99 
7 3 4	.CCBBBHHDFL.AADFLYG..FLYG..UU....EE. A99 G99 D97 
7 4 3	.CCBBBHH.FL.AA.FLYG.DFLYG.DUU....EE. A99 G99 D95 
7 4 3	.CCBBBHHDFL.AADFL.G..FL.G..UUY...EEY A99 Y98 G99 D97 
7 5 2	.CCBBB.HHFL..AAFL.G.DFL.G.DUUY.EE..Y H99 Y98 G99 D99 E98 
7 4 3	.CCBBBHH.FLYGAAFLYG..FL...DUU...D.EE Y97 G98 E99 
7 4 3	CC.BBBHH.FLY.AAFLYG..FL.G.DUU...D.EE C99 Y99 G99 E99 
7 4 3	CC.BBB.HHFL..AAFLYG..FLYG.DUU...D.EE C99 H99 G99 E99 
7 4 3	CC.BBB.HHFLYAA.FLY...FL.G.DUU.G.DEE. C99 H99 Y99 A99 
7 4 3	CCBBB.HH.FLY.AAFLY...FL.G.DUU.G.D.EE C99 B99 Y99 E99 
7 3 4	.CCBBBHHDFL.AADFLY...FLYG..UU.GEE... A99 D97 E98 
7 4 3	.CCBBBHHDFL.AADFL....FLYG..UUYG.EE.. A99 Y99 D97 E99 
7 5 2	GCCBBBGHHFL..AAFL...DFLY..DUUYEE.... H99 Y99 G96 D99 E97 
7 4 3	.CCBBBHHDFL.AADFL....FLYG..UUYGEE... A99 Y99 D97 E98 
7 5 2	GCCBBBGHHFL.AA.FL...DFLY..DUUY...EE. H99 A99 Y99 G96 D99 
7 4 3	CC.BBBHH.FLYGAAFLYG..FL...DUU...D.EE C99 Y99 G98 E99 
7 4 3	CC.BBBHH.FLYAA.FLY...FL.G.DUU.G.D.EE C99 Y99 A99 E99 
7 4 3	CCBBB..HHFLY.AAFLY...FL.G.DUU.G.DEE. C99 B99 H99 Y99 
7 5 2	CCDBBBHHDFL.AA.FL....FLYGUU..YG..EE. C99 A99 Y99 D96 U98 
7 5 2	CCDBBBHHDFL.AA.FL....FLYG.UU.YG..EE. C99 A99 Y99 D96 U99 
7 4 3	.CCBBBHH.FL.AADFL...DFLYG..UUYG..EE. A99 Y97 D98 
7 5 2	CCDBBBHHDFL.AA.FL.G..FLYG..UUY...EE. C99 A99 Y99 G99 D96 
7 3 4	.CCBBBHH.FLYAADFLY..DFL.G..UU.G..EE. A99 Y99 D98 
7 5 2	CCBBB..HHFL.AA.FL....FL.G.DUUYG.DEEY C99 B99 H99 A99 Y98 
7 5 2	CC.BBBHH.FL.GAAFL.G.DFL...DUUYEE...Y C99 G98 Y98 D99 E97 
7 4 3	.CCBBBHH.FLYGAAFLYG.DFL...DUU..EE... Y99 G98 D99 E98 
7 5 2	CCBBB.HH.FL..AAFL.G.DFL.G.DUUY...EEY C99 B99 G99 D99 Y98 
7 4 3	.CCBBB.HHFL..AAFLYG.DFLYG.D.UU...EE. H99 G99 D99 U99 
7 5 2	CCBBB.HH.FL.AA.FL.G..FL.G.DUUY..DEEY C99 B99 A99 G99 Y98 
7 5 2	CC.BBBHH.FL.GAAFL.G.DFL...DUUY.EE..Y C99 G98 Y98 D99 E98 
7 4 3	.CCBBBHH.FLYGAAFLYG.DFL...DUU.EE.... Y99 G98 D99 E97 
7 4 3	CC.BBBHH.FL.GAAFLYG..FLY..D.UU..D.EE C99 G98 U99 E99 
7 4 3	.CCBBBHH.FLYGAAFLYG.DFL...D.UU...EE. Y99 G98 D99 U99 
7 5 2	.CCBBBHH.FL.GAAFL.G.DFL...DUUYEE...Y Y96 G98 D99 E97 
7 5 2	CC.BBBHH..L.GAA.LYG..FLY..DFUU..DFEE C99 F98 G98 U99 E99 
7 5 2	CCBBB.HH.FL.GAAFL.G..FLY..DUUY..D.EE C99 B99 Y99 G98 E99 
7 4 3	.CCBBBHH.FL..AAFLYG.DFLYG.D.UUEE.... G99 D99 U99 E97 
7 5 2	CCBBB.HH.FL..AAFL.G..FLYG.DUUY..D.EE C99 B99 Y99 G99 E99 
7 5 2	.CCBBBHH..L..AA.LYG.DFLYG.DFUUEE.F.. F98 G99 D99 U99 E97 
7 5 2	CCBBBYHH.FLY.AAFL....FL.G.DUU.G.D.EE C99 B99 Y96 E99 
7 5 2	GCCBBBGHHFL..AAFL...DFL...DUUY.EE..Y H99 Y98 G96 D99 E98 
7 5 2	.CCBBBHH.FL.AA.FL.G.DFL.G.DUUY...EEY A99 Y98 G99 D99 
7 4 3	.CCBBB.HH.L..AAFLY..DFLYG.DFUUG..EE. H99 F99 D99 U99 
7 4 3	CCBBB.HH.FL.GAAFLYG..FLY..DUU...DEE. C99 B99 G98 
7 3 4	.CCBBBHH.FL.AADFLYG.DFLYG..UU....EE. A99 G99 D98 
7 5 2	CCBBBY.HHFLY.AAFL....FL.G.DUU.G.DEE. C99 B99 H99 Y96 
7 4 3	CC.BBB.HHFL.GAAFLYG..FLY..DUU...DEE. C99 H99 G98 
7 5 2	.CCBBB.HHFL.AA.FL...DFLYG.DUUYG...EE H99 A99 Y99 D99 E99 
7 5 2	CC.BBB.HHFL.GAAFL.G..FLY..DUUY..DEE. C99 H99 Y99 G98 
7 3 4	.CCBBBHH.FL.AADFLY..DFLYG..UU.G...EE A99 D98 E99 
7 5 2	.CCBBB.HHFL.AA.FL.G..FLYG.DUUY..D.EE H99 A99 Y99 G99 E99 
7 4 3	CC.BBBGHHFL.GAAFLY...FLY..DUU...D.EE C99 G97 H99 E99 
7 5 2	CC.BBB.HHFL.AA.FL.G..FLYG.DUUY..DEE. C99 H99 A99 Y99 G99 
7 4 3	.CCBBBHH.FLYAA.FLYG..FL.G.DUU...DEE. A99 Y97 G99 
7 5 2	CCBBB..HHFL..AAFL.G..FLYG.DUUY..DEE. C99 B99 H99 Y99 G99 
7 5 2	.CCBBBGHHFL.GAAFL...DFLY..DUUYEE.... H99 Y99 G97 D99 E97 
7 5 2	.CCBBBGHHFL.GAAFL...DFLY..DUUY..EE.. H99 Y99 G97 D99 E99 
7 5 2	.CCBBB.HHFL.GAAFL.G.DFL...DUUY.EE..Y H99 Y98 G98 D99 E98 
7 4 3	CC.BBB.HHFL.GAAFLYG..FLY..DUU...D.EE C99 H99 G98 E99 
7 4 3	GCCBBBGHHFLY.AAFLY...FL...DUU...D.EE H99 Y99 G96 E99 
7 4 3	.CCBBBGHHFLYGAAFLY...FL...DUU...D.EE H99 Y99 G97 E99 
7 5 2	CC.BBB.HHFL..AAFL...DFL.G.DUUYGEE..Y C99 H99 D99 Y98 E98 
7 4 3	.CCBBB.HHFLYGAAFLYG..FL...DUU...D.EE H99 Y99 G98 E99 
7 4 3	.CCBBBHHDFL.AADFL....FL.G..UUYG..EEY A99 Y96 D97 
7 4 3	.CCBBB.HHFLY.AAFLYG..FL.G.DUU...D.EE H99 Y99 G99 E99 
7 4 3	.CCBBBHH.FL.AA.FLYG.DFLYG.DUU.....EE A99 G99 D99 E99 
7 4 3	.CCBBB.HHFLYAA.FLY...FL.G.DUU.G.D.EE H99 A99 Y99 E99 
7 4 3	CC.BBB.HHFLY.AAFLY...FL.G.DUU.G.D.EE C99 H99 Y99 E99 
7 4 3	CC.BBBHH.FL..AAFLYG.DFLYG.DUU.....EE C99 D99 G99 E99 
7 4 3	CC.BBBHH.FL..AAFLY...FLYG.DUU.G.D.EE C99 D98 E99 
7 4 3	CC.BBBHH.FLY.AAFLY..DFL.G.DUU.G...EE C99 Y99 D99 E99 
7 4 3	.CCBBBHH.FLY.AAFLYG.DFL.G.DUU....EE. Y97 G99 D99 
7 4 3	CC.BBBHH.FL.AA.FLY..DFLYG.DUU.G...EE C99 A99 D99 E99 
7 5 2	.CCBBB.HHFL.GAAFL.G.DFL...DUUYEE...Y H99 Y98 G98 D99 E97 
7 4 3	CCBBB.HH.FL..AAFLY..DFLYG.DUU.G...EE C99 B99 D99 E99 
7 5 2	CCBBB.GHHFL.GAAFL....FLY..DUUY..DEE. C99 B99 H99 Y99 G97 
7 5 2	CCBBBYHH.FLY.AAFL...DFL.G.DUU.G...EE C99 B99 Y98 D99 E99 
7 4 3	CC.BBBHH.FLYGAAFLYG..FL...D.UU..DEE. C99 Y99 G98 U99 
7 4 3	CCDBBBHHDFLYAA.FLY...FL.G..UU.G..EE. C99 Y99 A99 D96 
7 5 2	CC.BBB.HHFL.AA.FL...DFLYG.DUUYG..EE. C99 H99 A99 Y99 D99 
7 4 3	CCBBB.HH.FLYGAAFLYG..FL...DUU...DEE. C99 B99 Y99 G98 
7 5 2	CCBBB..HHFL..AAFL...DFLYG.DUUYG..EE. C99 B99 H99 Y99 D99 
7 4 3	CC.BBB.HHFL..AAFLY..DFLYG.D.UUG..EE. C99 H99 D99 U99 
7 4 3	CC.BBBHH.FLYAA.FLY..DFL.G.DUU.G..EE. C99 Y99 A99 D99 
7 3 4	.CCBBBHHDFL.AADFLY...FLYG..UU.G...EE A99 D97 E99 
7 4 3	CC.BBB.HHFL.AA.FLY..DFLYG.DUU.G..EE. C99 H99 A99 D99 
7 4 3	CCDBBBHHDFL.AA.FLY...FLYG..UU.G...EE C99 A99 D96 E99 
7 4 3	.CCBBBHH.FLYAA.FLY..DFL.G.D.UUG..EE. A99 Y99 D99 U99 
7 5 2	CC.BBBHH.FL.AA.FL...DFL.G.DUUYG.EE.Y C99 A99 D99 Y98 E99 
7 4 3	GCCBBBG.HHL..AAFLY...FLY..DFUU..DEE. H98 F99 G96 U99 
