4 4 0	GGG..D..E..DAAE..DH.....HBB.CC.ZZFF. G98 B99 Z99 F99 
4 4 0	GGG..D..E..DAAE..D......HBB.CCH.ZZFF G98 H99 B99 Z98 
4 4 0	GGG..D..E..DAAE..D......H.BBCCHZZFF. G98 H99 Z99 F99 
4 4 0	...GGG.....DAAE..DH.E..DHBB.CCZZ..FF G99 D99 E99 B99 
4 4 0	...GGG.....DAAE..DH.E..DH.BBCC.ZZ.FF G99 D99 E99 Z99 
4 4 0	...GGG.....DAAE..DH.E..DH.BBCC..ZZFF G99 D99 E99 Z98 
4 4 0	...GGG.....DAAE..DH.E..DH.BBCCZZ.FF. G99 D99 E99 F99 
4 4 0	...GGG.....DAAE..DH.E..DH.BBCCZZFF.. G99 D99 E99 F98 
4 4 0	..EGGG..E..D.AA..DH....DH.BBCCZZ..FF G99 D99 E99 A99 
4 4 0	..EGGG..E..D..AA.DH....DH.BBCCZZ..FF G99 D99 E99 A98 
4 4 0	..EGGG..E..D...AADH....DH.BBCCZZ..FF G99 D99 E99 A97 
4 4 0	..EGGG..E..DAA...DH....DHBB.CCZZ..FF G99 D99 E99 B99 
4 4 0	..EGGG..E..DAA...DH....DH.BBCC.ZZ.FF G99 D99 E99 Z99 
4 4 0	..EGGG..E..DAA...DH....DH.BBCC..ZZFF G99 D99 E99 Z98 
4 4 0	..EGGG..E..DAA...DH....DH.BBCCZZ.FF. G99 D99 E99 F99 
4 4 0	..EGGG..E..DAA...DH....DH.BBCCZZFF.. G99 D99 E99 F98 
4 4 0	...GGG..E..DAAE..DH....DHBBCC.ZZ..FF G99 D99 B99 C99 
4 4 0	...GGG..E..DAAE..DH....DHBB.CC.ZZ.FF G99 D99 B99 Z99 
4 4 0	...GGG..E..DAAE..DH....DHBB.CC..ZZFF G99 D99 B99 Z98 
4 4 0	...GGG..E..DAAE..DH....DHBB.CCZZ.FF. G99 D99 B99 F99 
4 4 0	...GGG..E..DAAE..DH....DHBB.CCZZFF.. G99 D99 B99 F98 
4 4 0	...GGG..E..DAAE..D.....DH.BBCCHZZ.FF G99 D99 H99 Z99 
4 4 0	...GGG..E..DAAE..DH....DH.BBCC.ZZFF. G99 D99 Z99 F99 
4 4 0	...GGG..E..DAAE..D.....DH.BBCCH.ZZFF G99 D99 H99 Z98 
4 4 0	..GGG......DAAE..DH.E..DHBBCC.ZZ..FF D99 E99 B99 C99 
4 4 0	..GGG......DAAE..DH.E..DHBB.CC.ZZ.FF D99 E99 B99 Z99 
4 4 0	..GGG......DAAE..DH.E..DHBB.CC..ZZFF D99 E99 B99 Z98 
4 4 0	..GGG......DAAE..DH.E..DHBB.CCZZ.FF. D99 E99 B99 F99 
4 4 0	..GGG......DAAE..DH.E..DHBB.CCZZFF.. D99 E99 B99 F98 
4 4 0	..GGG......DAAE..D..E..DH.BBCCHZZ.FF D99 E99 H99 Z99 
4 4 0	..GGG......DAAE..DH.E..DH.BBCC.ZZFF. D99 E99 Z99 F99 
4 4 0	..GGG......DAAE..D..E..DH.BBCCH.ZZFF D99 E99 H99 Z98 
4 4 0	..GGG...E..DAAE..DH....DHBBCC..ZZ.FF D99 B99 C99 Z99 
4 4 0	..GGG...E..DAAE..DH....DHBBCC...ZZFF D99 B99 C99 Z98 
4 4 0	..GGG...E..DAAE..DH....DHBBCC.ZZ.FF. D99 B99 C99 F99 
4 4 0	..GGG...E..DAAE..DH....DHBBCC.ZZFF.. D99 B99 C99 F98 
4 4 0	..GGG...E..DAAE..D.....DHBB.CCHZZ.FF D99 H99 B99 Z99 
4 4 0	..GGG...E..DAAE..DH....DHBB.CC.ZZFF. D99 B99 Z99 F99 
4 4 0	..GGG...E..DAAE..D.....DHBB.CCH.ZZFF D99 H99 B99 Z98 
4 4 0	..GGG...E..DAAE..D.....DH.BBCCHZZFF. D99 H99 Z99 F99 
4 4 0	..GGG.......AAE..DH.E..DHBBCCDZZ..FF D98 E99 B99 C99 
4 4 0	..GGGD.....DAAE..DH.E...HBBCC..ZZ.FF E99 B99 C99 Z99 
4 4 0	..GGGD.....DAAE..DH.E...HBBCC...ZZFF E99 B99 C99 Z98 
4 4 0	..GGGD.....DAAE..DH.E...HBBCC.ZZ.FF. E99 B99 C99 F99 
4 4 0	..GGGD.....DAAE..DH.E...HBBCC.ZZFF.. E99 B99 C99 F98 
4 4 0	..GGGD.....DAAE..D..E...HBB.CCHZZ.FF E99 H99 B99 Z99 
4 4 0	..GGGD.....DAAE..DH.E...HBB.CC.ZZFF. E99 B99 Z99 F99 
4 4 0	..GGGD.....DAAE..D..E...HBB.CCH.ZZFF E99 H99 B99 Z98 
4 4 0	..GGGD.....DAAE..D..E...H.BBCCHZZFF. E99 H99 Z99 F99 
4 4 0	...GGG..E...AAE..DH....DHBBCCDZZ..FF G99 D98 B99 C99 
4 4 0	..GGG...E...AAE..DH....DHBBCCD.ZZ.FF D98 B99 C99 Z99 
4 4 0	..GGG...E...AAE..DH....DHBBCCD..ZZFF D98 B99 C99 Z98 
4 4 0	..GGG...E...AAE..DH....DHBBCCDZZ.FF. D98 B99 C99 F99 
4 4 0	..GGG...E...AAE..DH....DHBBCCDZZFF.. D98 B99 C99 F98 
4 4 0	..GGGD..E..DAAE..D......HBBCC.HZZ.FF H99 B99 C99 Z99 
4 4 0	..GGGD..E..DAAE..DH.....HBBCC..ZZFF. B99 C99 Z99 F99 
4 4 0	..GGGD..E..DAAE..D......HBBCC.H.ZZFF H99 B99 C99 Z98 
4 4 0	..GGG...E...AAE...H....DHBBCCDZZ.FFD D97 B99 C99 F99 
4 4 0	..GGG...E...AAE...H....DHBBCCDZZFF.D D97 B99 C99 F98 
4 4 0	..GGGD..E..DAAE..D......HBB.CCHZZFF. H99 B99 Z99 F99 
5 5 0	.GGG.......DAAE..DH.E..DHBBCC.ZZ..FF G99 D99 E99 B99 C99 
5 5 0	.GGG.......DAAE..DH.E..DHBB.CC.ZZ.FF G99 D99 E99 B99 Z99 
5 5 0	.GGG.......DAAE..DH.E..DHBB.CC..ZZFF G99 D99 E99 B99 Z98 
5 5 0	.GGG.......DAAE..DH.E..DHBB.CCZZ.FF. G99 D99 E99 B99 F99 
5 5 0	.GGG.......DAAE..DH.E..DHBB.CCZZFF.. G99 D99 E99 B99 F98 
5 5 0	.GGG.......DAAE..D..E..DH.BBCCHZZ.FF G99 D99 E99 H99 Z99 
5 5 0	.GGG.......DAAE..DH.E..DH.BBCC.ZZFF. G99 D99 E99 Z99 F99 
5 5 0	.GGG.......DAAE..D..E..DH.BBCCH.ZZFF G99 D99 E99 H99 Z98 
5 5 0	.GGG....E..DAAE..DH....DHBBCC..ZZ.FF G99 D99 B99 C99 Z99 
5 5 0	.GGG....E..DAAE..DH....DHBBCC...ZZFF G99 D99 B99 C99 Z98 
5 5 0	.GGG....E..DAAE..DH....DHBBCC.ZZ.FF. G99 D99 B99 C99 F99 
5 5 0	.GGG....E..DAAE..DH....DHBBCC.ZZFF.. G99 D99 B99 C99 F98 
5 5 0	.GGG....E..DAAE..D.....DHBB.CCHZZ.FF G99 D99 H99 B99 Z99 
5 5 0	.GGG....E..DAAE..DH....DHBB.CC.ZZFF. G99 D99 B99 Z99 F99 
5 5 0	.GGG....E..DAAE..D.....DHBB.CCH.ZZFF G99 D99 H99 B99 Z98 
5 5 0	.GGG....E..DAAE..D.....DH.BBCCHZZFF. G99 D99 H99 Z99 F99 
5 5 0	.GGG........AAE..DH.E..DHBBCCDZZ..FF G99 D98 E99 B99 C99 
5 5 0	.GGG.D.....DAAE..DH.E...HBBCC..ZZ.FF G99 E99 B99 C99 Z99 
5 5 0	.GGG.D.....DAAE..DH.E...HBBCC...ZZFF G99 E99 B99 C99 Z98 
5 5 0	.GGG.D.....DAAE..DH.E...HBBCC.ZZ.FF. G99 E99 B99 C99 F99 
5 5 0	.GGG.D.....DAAE..DH.E...HBBCC.ZZFF.. G99 E99 B99 C99 F98 
5 5 0	.GGG.D.....DAAE..D..E...HBB.CCHZZ.FF G99 E99 H99 B99 Z99 
5 5 0	.GGG.D.....DAAE..DH.E...HBB.CC.ZZFF. G99 E99 B99 Z99 F99 
5 5 0	.GGG.D.....DAAE..D..E...HBB.CCH.ZZFF G99 E99 H99 B99 Z98 
5 5 0	.GGG.D.....DAAE..D..E...H.BBCCHZZFF. G99 E99 H99 Z99 F99 
5 5 0	.GGG....E...AAE..DH....DHBBCCD.ZZ.FF G99 D98 B99 C99 Z99 
5 5 0	.GGG....E...AAE..DH....DHBBCCD..ZZFF G99 D98 B99 C99 Z98 
5 5 0	.GGG....E...AAE..DH....DHBBCCDZZ.FF. G99 D98 B99 C99 F99 
5 5 0	.GGG....E...AAE..DH....DHBBCCDZZFF.. G99 D98 B99 C99 F98 
5 5 0	.GGG.D..E..DAAE..D......HBBCC.HZZ.FF G99 H99 B99 C99 Z99 
5 5 0	.GGG.D..E..DAAE..DH.....HBBCC..ZZFF. G99 B99 C99 Z99 F99 
5 5 0	.GGG.D..E..DAAE..D......HBBCC.H.ZZFF G99 H99 B99 C99 Z98 
5 5 0	.GGG....E...AAE...H....DHBBCCDZZ.FFD G99 D97 B99 C99 F99 
5 5 0	.GGG....E...AAE...H....DHBBCCDZZFF.D G99 D97 B99 C99 F98 
5 5 0	.GGG.D..E..DAAE..D......HBB.CCHZZFF. G99 H99 B99 Z99 F99 
5 5 0	GGG........DAAE..DH.E..DHBBCC.ZZ..FF G98 D99 E99 B99 C99 
5 5 0	GGG........DAAE..DH.E..DHBB.CC.ZZ.FF G98 D99 E99 B99 Z99 
5 5 0	GGG........DAAE..DH.E..DHBB.CC..ZZFF G98 D99 E99 B99 Z98 
5 5 0	GGG........DAAE..DH.E..DHBB.CCZZ.FF. G98 D99 E99 B99 F99 
5 5 0	GGG........DAAE..DH.E..DHBB.CCZZFF.. G98 D99 E99 B99 F98 
5 5 0	GGG........DAAE..D..E..DH.BBCCHZZ.FF G98 D99 E99 H99 Z99 
5 5 0	GGG........DAAE..DH.E..DH.BBCC.ZZFF. G98 D99 E99 Z99 F99 
5 5 0	GGG........DAAE..D..E..DH.BBCCH.ZZFF G98 D99 E99 H99 Z98 
5 5 0	GGG.....E..DAAE..DH....DHBBCC..ZZ.FF G98 D99 B99 C99 Z99 
5 5 0	GGG.....E..DAAE..DH....DHBBCC...ZZFF G98 D99 B99 C99 Z98 
5 5 0	GGG.....E..DAAE..DH....DHBBCC.ZZ.FF. G98 D99 B99 C99 F99 
5 5 0	GGG.....E..DAAE..DH....DHBBCC.ZZFF.. G98 D99 B99 C99 F98 
5 5 0	GGG.....E..DAAE..D.....DHBB.CCHZZ.FF G98 D99 H99 B99 Z99 
5 5 0	GGG.....E..DAAE..DH....DHBB.CC.ZZFF. G98 D99 B99 Z99 F99 
5 5 0	GGG.....E..DAAE..D.....DHBB.CCH.ZZFF G98 D99 H99 B99 Z98 
5 5 0	GGG.....E..DAAE..D.....DH.BBCCHZZFF. G98 D99 H99 Z99 F99 
5 5 0	GGG.........AAE..DH.E..DHBBCCDZZ..FF G98 D98 E99 B99 C99 
5 5 0	GGG..D.....DAAE..DH.E...HBBCC..ZZ.FF G98 E99 B99 C99 Z99 
5 5 0	GGG..D.....DAAE..DH.E...HBBCC...ZZFF G98 E99 B99 C99 Z98 
5 5 0	GGG..D.....DAAE..DH.E...HBBCC.ZZ.FF. G98 E99 B99 C99 F99 
5 5 0	GGG..D.....DAAE..DH.E...HBBCC.ZZFF.. G98 E99 B99 C99 F98 
5 5 0	GGG..D.....DAAE..D..E...HBB.CCHZZ.FF G98 E99 H99 B99 Z99 
5 5 0	GGG..D.....DAAE..DH.E...HBB.CC.ZZFF. G98 E99 B99 Z99 F99 
5 5 0	GGG..D.....DAAE..D..E...HBB.CCH.ZZFF G98 E99 H99 B99 Z98 
