3 3 0	.CCBBBHH..L..AAFLY...FLYG.DFUUG.D.EE F99 U99 E99 
3 3 0	.CCBBBHH..L..AA.LY...FLYG.DFUUG.DFEE F98 U99 E99 
4 4 0	CCBBB..HHFL.AA.FLY...FLYG.DUU.G.DEE. C99 B99 H99 A99 
4 4 0	CCBBB..HHFL..AAFL....FLYG.DUUYG.DEE. C99 B99 H99 Y99 
4 4 0	CCBBB..HHFL..AAFL....FL.G.DUUYG.DEEY C99 B99 H99 Y98 
4 4 0	CCBBB..HHFLY.AAFLY...FL.G.DUU.G.DEE. C99 B99 H99 Y99 
4 4 0	CCBBBY.HHFLY.AAFL....FL.G.DUU.G.DEE. C99 B99 H99 Y98 
4 4 0	CCBBB..HHFL..AAFLYG..FLYG.DUU...DEE. C99 B99 H99 G99 
4 4 0	CCBBB..HHFL.GAAFLYG..FLY..DUU...DEE. C99 B99 H99 G98 
4 4 0	CCBBB.GHHFL.GAAFLY...FLY..DUU...DEE. C99 B99 H99 G97 
4 4 0	CCBBB..HHFL..AAFLY..DFLYG.DUU.G..EE. C99 B99 H99 D99 
4 4 0	CCBBB..HHFL..AAFLY...FLYG.D.UUG.DEE. C99 B99 H99 U99 
4 4 0	CCBBB..HHFL..AAFLY...FLYG.DUU.G.D.EE C99 B99 H99 E99 
4 4 0	CCBBB.HH.FL.AA.FL....FLYG.DUUYG.DEE. C99 B99 A99 Y99 
4 4 0	CCBBB.HH.FL.AA.FL....FL.G.DUUYG.DEEY C99 B99 A99 Y98 
4 4 0	CCBBB.HH.FLYAA.FLY...FL.G.DUU.G.DEE. C99 B99 A99 Y99 
4 4 0	CCBBBYHH.FLYAA.FL....FL.G.DUU.G.DEE. C99 B99 A99 Y98 
4 4 0	CCBBB.HH.FL.AA.FLYG..FLYG.DUU...DEE. C99 B99 A99 G99 
4 4 0	CCBBB.HH.FL.AA.FLY..DFLYG.DUU.G..EE. C99 B99 A99 D99 
4 4 0	CCBBB.HH.FL.AADFLY..DFLYG..UU.G..EE. C99 B99 A99 D98 
4 4 0	CCBBB.HHDFL.AADFLY...FLYG..UU.G..EE. C99 B99 A99 D97 
4 4 0	CCBBB.HH.FL.AA.FLY...FLYG.D.UUG.DEE. C99 B99 A99 U99 
4 4 0	CCBBB.HH.FL.AA.FLY...FLYG.DUU.G.D.EE C99 B99 A99 E99 
4 4 0	CCBBB.HH.FL..AAFL.G..FLYG.DUUY..DEE. C99 B99 Y99 G99 
4 4 0	CCBBB.HH.FL.GAAFL.G..FLY..DUUY..DEE. C99 B99 Y99 G98 
4 4 0	CCBBB.HH.FL..AAFL...DFLYG.DUUYG..EE. C99 B99 Y99 D99 
4 4 0	CCBBB.HH.FL..AAFL....FLYG.DUUYG.D.EE C99 B99 Y99 E99 
4 4 0	CCBBB.HH.FL..AAFL.G..FL.G.DUUY..DEEY C99 B99 Y98 G99 
4 4 0	CCBBB.HH.FL.GAAFL.G..FL...DUUY..DEEY C99 B99 Y98 G98 
4 4 0	CCBBB.HH.FL..AAFL...DFL.G.DUUYG..EEY C99 B99 Y98 D99 
4 4 0	CCBBB.HH.FLY.AAFLYG..FL.G.DUU...DEE. C99 B99 Y99 G99 
4 4 0	CCBBB.HH.FLYGAAFLYG..FL...DUU...DEE. C99 B99 Y99 G98 
4 4 0	CCBBB.HH.FLY.AAFLY..DFL.G.DUU.G..EE. C99 B99 Y99 D99 
4 4 0	CCBBB.HH.FLY.AAFLY...FL.G.D.UUG.DEE. C99 B99 Y99 U99 
4 4 0	CCBBB.HH.FLY.AAFLY...FL.G.DUU.G.D.EE C99 B99 Y99 E99 
4 4 0	CCBBBYHH.FLY.AAFL.G..FL.G.DUU...DEE. C99 B99 Y98 G99 
4 4 0	CCBBBYHH.FLYGAAFL.G..FL...DUU...DEE. C99 B99 Y98 G98 
4 4 0	CCBBBYHH.FLY.AAFL...DFL.G.DUU.G..EE. C99 B99 Y98 D99 
4 4 0	CCBBBYHH.FLY.AAFL....FL.G.D.UUG.DEE. C99 B99 Y98 U99 
4 4 0	CCBBBYHH.FLY.AAFL....FL.G.DUU.G.D.EE C99 B99 Y98 E99 
4 4 0	CCBBB.HH.FL..AAFLYG.DFLYG.DUU....EE. C99 B99 G99 D99 
