9 0 9	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
21 9 12	HJJJ.SH..DPSAANDPUB.NDPUBIN.LO.IGGLO J99 P99 H98 A99 D99 N99 L99 B99 G99 
21 15 6	HJJJPSH...PSB.AAPUBIND.U.INDLOGGNDLO J99 H98 A97 D99 N98 L99 B98 I97 G97 
21 12 9	HJJJPSH...PSAA.DPUBIND.UBINDLOGGN.LO J99 H98 A99 D98 N98 L99 B99 I99 G97 
21 9 12	HJJJPSH...PSAANDPUBIND.UBINDLO.GG.LO J99 H98 A99 N99 L99 B99 I99 G96 
21 12 9	H.JJJSH.N.PSAAN.PUBINDPUBI.DLO.GGDLO J98 P99 H98 A99 D99 N98 L99 B99 I99 G96 
21 9 12	HJJJPSH.NDPSAANDPUBIND.UBI..LO..GGLO J99 H98 A99 D99 N98 L99 B99 I99 G99 
21 12 9	H.JJJSH...PSAAN.PUBINDPUBINDLOGG.DLO J98 P99 H98 A99 D99 N97 L99 B99 I99 G97 
21 12 9	HJJJPSH..DPSAA.DPUBIND.UBIN.LOGGN.LO J99 H98 A99 D97 N98 L99 B99 I99 G97 
21 15 6	JJJ.PSH...PSHIAAPUBIND.UB.NDLOGGNDLO J98 H97 I98 A97 B99 N98 D99 L99 G97 
21 9 12	HJJJPSH.N.PSAANDPUBINDLUBI.DLO..GG.O J99 H98 A99 D98 N98 B99 I99 G99 
21 12 9	H.JJJSH...PSAAN.PUBINDPUBINDLOGG.DLO J98 P99 H98 A99 D99 N99 L99 B99 I99 G97 
21 9 12	HJJJPSH.NDPSAANDPU.IND.UBI..LOBGG.LO J99 H98 A99 D99 N98 L99 I99 G98 
21 12 9	HJJJPSH.N.PSAAN.PUBIND.UBI.DLOGG.DLO J99 H98 A99 D99 N96 L99 B99 I99 G97 
21 15 6	JJJ.PSHI..PSHIAAPUB.NDLUB.NDLOGGND.O J98 H97 I97 A97 B99 N98 D99 G97 
21 15 6	HJJJ.SH...PSBIAAPUBINDPU..NDLOGGNDLO J99 P99 H98 A97 D99 N98 L99 B98 I98 G97 
21 9 12	HJJJPSH.N.PSAANDPUBIND.UBI.DLO.GG.LO J99 H98 A99 N98 L99 B99 I99 G96 
