4 4 0	FFFEEDU..R.DUAARO.BBB.O.III..J.....J O99 J98 B98 I97 
4 4 0	FFFEE.U..RODUAARODBBB..J..IIIJ...... D99 J99 B98 I99 
4 4 0	FFFEE.U..RODUAARODBBB.....IIIJ.....J D99 J98 B98 I99 
4 4 0	FFFEE.U..RO.UAARODBBB..D..IIIJ.....J D98 J98 B98 I99 
4 4 0	FFFEEDU..R.DUAAR..BBB.OJ.IIIOJ...... O98 J99 B98 I98 
4 4 0	FFFEEDU..R.DUAAR..BBB.O..IIIOJ.....J O98 J98 B98 I98 
4 4 0	FFFEEDU..R.DUAAR..BBB..J.IIIOJ....O. O97 J99 B98 I98 
4 4 0	FFFEEDU..R.DUAAR..BBB....IIIOJ....OJ O97 J98 B98 I98 
4 4 0	FFFEE.U..RODUAARODBBB..J.III.J...... D99 J99 B98 I98 
4 4 0	FFFEE.U..RODUAARODBBB....III.J.....J D99 J98 B98 I98 
4 4 0	FFFEE.U..RO.UAARODBBB..D.III.J.....J D98 J98 B98 I98 
4 4 0	FFFEEDU....DUAA..JBBBROJIIIRO....... R98 O98 B98 I97 
4 4 0	FFFEEDU....DUAA..JBBBR.JIIIRO.....O. R98 O97 B98 I97 
4 4 0	FFFEEDU...ODU.AAOJBBBR.JIIIR........ R98 A99 B98 I97 
4 4 0	FFFEEDU...ODUAA.O.BBBR.JIIIR.J...... R98 J99 B98 I97 
4 4 0	FFFEEDU...ODUAA.O.BBBR..IIIR.J.....J R98 J98 B98 I97 
4 4 0	FFFEEDU....DUAA..JBBB.OJIIIRO....R.. R97 O98 B98 I97 
4 4 0	FFFEEDU....DUAA..JBBB..JIIIRO....RO. R97 O97 B98 I97 
4 4 0	FFFEEDU...ODU.AAOJBBB..JIIIR.....R.. R97 A99 B98 I97 
4 4 0	FFFEEDU...ODUAA.O.BBB..JIIIR.J...R.. R97 J99 B98 I97 
4 4 0	FFFEEDU...ODUAA.O.BBB...IIIR.J...R.J R97 J98 B98 I97 
4 4 0	FFFEEDU...ODUAA.OJ.BBB.JIIIR.....R.. R97 B97 I97 
4 4 0	FFFEEDU...ODUAA.OJ..BBBJIIIR.....R.. R97 B96 I97 
4 4 0	FFFEEDU..R.DUAAR..BBB.OJIII.OJ...... O98 J99 B98 I97 
4 4 0	FFFEEDU..R.DUAAR..BBB.O.III.OJ.....J O98 J98 B98 I97 
