3 3 0	BB....CCCK...AAKUG.FFKUG....UGEEETT. K99 U99 T99 
3 3 0	BB..U.CCCKU.AA.KUG.FFK.G.....GEEE.TT K99 U99 A99 
3 3 0	BB..U.CCCKUG.AAKUG.FFK.G......EEE.TT K99 U99 G99 
3 3 0	BB..UGCCCKUG.AAKUG.FFK........EEE.TT K99 U99 G98 
3 3 0	BB..U.CCCKU..AAKUGFF.K.G.....GEEE.TT K99 U99 F99 
3 3 0	BB..U.CCCKU..AAKUG.FFK.G.....G.EEETT K99 U99 E99 
3 3 0	BB..U.CCCKU..AAKUG.FFK.G.....GEEETT. K99 U99 T99 
3 3 0	BB....CCCKUGAA.KUG.FFKUG......EEE.TT K99 A99 G99 
3 3 0	BB...GCCCKUGAA.KUG.FFKU.......EEE.TT K99 A99 G98 
3 3 0	BB....CCCKU.AA.KUGFF.KUG.....GEEE.TT K99 A99 F99 
3 3 0	BB....CCCKU.AA.KUG.FFKUG.....G.EEETT K99 A99 E99 
3 3 0	BB....CCCKU.AA.KUG.FFKUG.....GEEETT. K99 A99 T99 
3 3 0	BB....CCCKUG.AAKUGFF.KUG......EEE.TT K99 G99 F99 
3 3 0	BB....CCCKUG.AAKUG.FFKUG.......EEETT K99 G99 E99 
3 3 0	BB....CCCKUG.AAKUG.FFKUG......EEETT. K99 G99 T99 
3 3 0	BB...GCCCKUG.AAKUGFF.KU.......EEE.TT K99 G98 F99 
3 3 0	BB...GCCCKUG.AAKUG.FFKU........EEETT K99 G98 E99 
3 3 0	BB...GCCCKUG.AAKUG.FFKU.......EEETT. K99 G98 T99 
3 3 0	BB....CCCKU..AAKUGFF.KUG.....G.EEETT K99 F99 E99 
3 3 0	BB....CCCKU..AAKUGFF.KUG.....GEEETT. K99 F99 T99 
3 3 0	BB....CCCKU..AAKU..FFKUG.....GEEETTG K99 G99 T99 
3 3 0	..BB...CCCU..AAKUG.FFKUG...K.GEEE.TT B98 K98 C99 
3 3 0	..BB..CCC....AAKUG.FFKUG...KUGEEE.TT B98 K98 U99 
3 3 0	..BBU.CCC.U..AAKUG.FFK.G...K.GEEE.TT B98 K98 U99 
3 3 0	..BB..CCC.U.AA.KUG.FFKUG...K.GEEE.TT B98 K98 A99 
